ID,blind_code,sex,morph,size_stratum,measurement_round,left_eye,right_eye
CVQJ,R008,f,female,1,1,2.332,2.213
CVQJ,R008,f,female,1,2,2.232,2.216
CVQJ,R008,f,female,1,3,2.337,2.131
DOCI,R033,m,ninth,3,1,2.788,2.718
DOCI,R033,m,ninth,3,2,2.696,2.665
DOCI,R033,m,ninth,3,3,2.81,2.704
DYFV,R048,m,tenth,8,1,3.286,3.421
DYFV,R048,m,tenth,8,2,3.358,3.337
DYFV,R048,m,tenth,8,3,3.34,3.226
ECJN,R021,m,tenth,3,1,3.162,3.063
ECJN,R021,m,tenth,3,2,3.157,3.083
ECJN,R021,m,tenth,3,3,3.11,3.053
EWKB,R038,m,ninth,1,1,2.589,2.641
EWKB,R038,m,ninth,1,2,2.576,2.571
EWKB,R038,m,ninth,1,3,2.568,2.566
GLXO,R034,f,female,11,1,2.893,2.757
GLXO,R034,f,female,11,2,2.749,2.613
GLXO,R034,f,female,11,3,2.806,2.666
GWYL,R039,m,eighth,2,1,2.641,2.812
GWYL,R039,m,eighth,2,2,2.832,2.659
GWYL,R039,m,eighth,2,3,2.779,2.662
HDZC,R009,m,tenth,1,1,3.241,3.374
HDZC,R009,m,tenth,1,2,3.327,3.259
HDZC,R009,m,tenth,1,3,3.327,3.173
HNUV,R041,m,eighth,5,1,2.383,2.404
HNUV,R041,m,eighth,5,2,2.372,2.368
HNUV,R041,m,eighth,5,3,2.45,2.374
ILNB,R002,m,tenth,12,1,3.432,3.451
ILNB,R002,m,tenth,12,2,3.393,3.415
ILNB,R002,m,tenth,12,3,3.362,3.371
JDYH,R011,m,ninth,4,1,2.73,2.854
JDYH,R011,m,ninth,4,2,2.997,2.818
JDYH,R011,m,ninth,4,3,2.966,2.724
JUCL,R012,m,ninth,5,1,2.739,2.749
JUCL,R012,m,ninth,5,2,2.788,2.722
JUCL,R012,m,ninth,5,3,2.688,2.748
JUJH,R028,m,ninth,7,1,2.918,2.974
JUJH,R028,m,ninth,7,2,2.986,2.931
JUJH,R028,m,ninth,7,3,2.997,2.972
JXVQ,R014,m,tenth,7,1,2.871,2.84
JXVQ,R014,m,tenth,7,2,2.874,2.888
JXVQ,R014,m,tenth,7,3,2.911,2.879
LAZJ,R022,m,ninth,6,1,2.994,3.008
LAZJ,R022,m,ninth,6,2,3.016,3.01
LAZJ,R022,m,ninth,6,3,2.994,2.984
LLJC,R035,m,tenth,9,1,3.221,3.353
LLJC,R035,m,tenth,9,2,3.321,3.127
LLJC,R035,m,tenth,9,3,3.278,3.177
LRSS,R007,m,ninth,11,1,2.605,2.673
LRSS,R007,m,ninth,11,2,2.665,2.674
LRSS,R007,m,ninth,11,3,2.625,2.668
LUXM,R004,f,female,8,1,2.721,2.825
LUXM,R004,f,female,8,2,2.935,2.657
LUXM,R004,f,female,8,3,2.839,2.685
MJSX,R026,m,eighth,9,1,2.199,2.153
MJSX,R026,m,eighth,9,2,2.416,2.168
MJSX,R026,m,eighth,9,3,2.458,2.167
MUVY,R019,m,tenth,4,1,3.062,3.007
MUVY,R019,m,tenth,4,2,3.069,3.065
MUVY,R019,m,tenth,4,3,3.158,3.054
NRDG,R043,m,eighth,7,1,2.582,2.506
NRDG,R043,m,eighth,7,2,2.597,2.57
NRDG,R043,m,eighth,7,3,2.567,2.548
ONAU,R005,f,female,3,1,2.274,2.376
ONAU,R005,f,female,3,2,2.4,2.253
ONAU,R005,f,female,3,3,2.342,2.298
PIKP,R047,m,tenth,10,1,3,3.085
