"trait","model","group","adjusted_log_mean","adjusted_geometric_mean","body_size_slope"
"foreleg","M0_original","female",3.16768020487458,23.7523198801504,0.671113982040405
"foreleg","M0_original","eighth",3.21690500033614,24.950777906685,0.671113982040405
"foreleg","M0_original","ninth",3.2661486742714,26.210200689063,0.671113982040405
"foreleg","M0_original","tenth",3.31539234820666,27.5331944651272,0.671113982040405
"foreleg","M1_group_variance","female",3.16810351130232,23.7623765181991,0.665825654137567
"foreleg","M1_group_variance","eighth",3.21681468578309,24.9485245900855,0.665825654137567
"foreleg","M1_group_variance","ninth",3.26509438858282,26.182582211023,0.665825654137567
"foreleg","M1_group_variance","tenth",3.31337409138254,27.4776814461167,0.665825654137567
"foreleg","M2_group_slopes","female",3.16451159440638,23.6771771426365,0.710699138451505
"foreleg","M2_group_slopes","eighth",3.22202588390093,25.0788756420598,0.746198603943731
"foreleg","M2_group_slopes","ninth",3.27170969357597,26.356362147749,0.599079165314178
"foreleg","M2_group_slopes","tenth",3.32139350325101,27.6989222155672,0.327644116217172
"foreleg","M3_free_groups","female",3.16451159440639,23.6771771426367,0.710699138451533
"foreleg","M3_free_groups","eighth",3.22122060129883,25.0586881892183,0.74084908679646
"foreleg","M3_free_groups","ninth",3.27215132620399,26.3680045478721,0.603804686120298
"foreleg","M3_free_groups","tenth",3.32106725598097,27.6898869917499,0.331705812397344
"midleg","M0_original","female",3.1573548458923,23.5083304576143,0.673748629022558
"midleg","M0_original","eighth",3.17657542985833,23.9645446033449,0.673748629022558
"midleg","M0_original","ninth",3.21871723265486,24.9960355090436,0.673748629022558
"midleg","M0_original","tenth",3.2608590354514,26.0719242326916,0.673748629022558
"midleg","M1_group_variance","female",3.1574962576445,23.5116550468781,0.671981985130769
"midleg","M1_group_variance","eighth",3.17710821494594,23.9773159572322,0.671981985130769
"midleg","M1_group_variance","ninth",3.21803607198378,24.979014990234,0.671981985130769
"midleg","M1_group_variance","tenth",3.25896392902163,26.0225619496054,0.671981985130769
"midleg","M2_group_slopes","female",3.15306148577995,23.407617083415,0.727385178318483
"midleg","M2_group_slopes","eighth",3.17874339492699,24.0165552572005,0.717880067101503
"midleg","M2_group_slopes","ninth",3.22389363135382,25.1257604189932,0.635669053586668
"midleg","M2_group_slopes","tenth",3.26904386778065,26.2861942469194,0.312481492484382
"midleg","M3_free_groups","female",3.15306148577995,23.407617083415,0.7273851783185
"midleg","M3_free_groups","eighth",3.17527805039475,23.9334736550858,0.694942984604735
"midleg","M3_free_groups","ninth",3.2256583211507,25.1701387375098,0.6545514409433
"midleg","M3_free_groups","tenth",3.26774151153483,26.2519825404136,0.328695499081418
"hindleg","M0_original","female",3.68799678545646,39.9647088311967,0.674167245685038
"hindleg","M0_original","eighth",3.621070342784,37.3775532135644,0.674167245685038
"hindleg","M0_original","ninth",3.66552888706284,39.0767979116247,0.674167245685038
"hindleg","M0_original","tenth",3.70998743134168,40.8532930526819,0.674167245685038
"hindleg","M1_group_variance","female",3.68840395167223,39.9809844236666,0.66908055595202
"hindleg","M1_group_variance","eighth",3.62074479343697,37.365386955988,0.66908055595202
"hindleg","M1_group_variance","ninth",3.66543730396992,39.0732193014829,0.66908055595202
"hindleg","M1_group_variance","tenth",3.71012981450286,40.8591102878198,0.66908055595202
"hindleg","M2_group_slopes","female",3.67718141584706,39.5348047103984,0.809282654135889
"hindleg","M2_group_slopes","eighth",3.61970774830419,37.3266574489054,0.700810715840212
"hindleg","M2_group_slopes","ninth",3.6694076015901,39.2286599797785,0.535126447244202
"hindleg","M2_group_slopes","tenth",3.71910745487601,41.2275802063333,0.2302463809179
"hindleg","M3_free_groups","female",3.67718141584706,39.5348047103983,0.80928265413588
"hindleg","M3_free_groups","eighth",3.61330869650901,37.0885648304957,0.658324673097827
"hindleg","M3_free_groups","ninth",3.67261843668781,39.3548191678662,0.569482758569064
"hindleg","M3_free_groups","tenth",3.71570373839146,41.0874917578944,0.272621792186494
"ear_lin","M0_original","female",0.518661063593938,1.67977702869813,0.534469957905903
"ear_lin","M0_original","eighth",0.52493106339114,1.69034231789532,0.534469957905903
"ear_lin","M0_original","ninth",0.559857932325231,1.75042380399097,0.534469957905903
"ear_lin","M0_original","tenth",0.594784801259322,1.81264082496216,0.534469957905903
"ear_lin","M1_group_variance","female",0.518739751989292,1.67990921285768,0.533486911088037
"ear_lin","M1_group_variance","eighth",0.524404257648799,1.68945207037007,0.533486911088037
"ear_lin","M1_group_variance","ninth",0.559473769908583,1.74975148610018,0.533486911088037
"ear_lin","M1_group_variance","tenth",0.594543282168368,1.81220309046064,0.533486911088037
"ear_lin","M2_group_slopes","female",0.520273309424863,1.68248742653624,0.514328320418134
"ear_lin","M2_group_slopes","eighth",0.52834233962964,1.69611838876469,0.574574572592865
"ear_lin","M2_group_slopes","ninth",0.563516897968309,1.75684027621766,0.55935955827882
"ear_lin","M2_group_slopes","tenth",0.598691456306978,1.8197360376409,0.373510502167839
"ear_lin","M3_free_groups","female",0.520273309424865,1.68248742653624,0.514328320418141
"ear_lin","M3_free_groups","eighth",0.524241862072552,1.68917773310375,0.547334973790767
"ear_lin","M3_free_groups","ninth",0.566642726723039,1.76234044989261,0.592806291785018
"ear_lin","M3_free_groups","tenth",0.595087707557776,1.81318996845019,0.418376264651077
"eye","M0_original","female",0.906199242350078,2.47489814676116,0.654125944007843
"eye","M0_original","eighth",0.99385381702811,2.70162600826329,0.654125944007843
"eye","M0_original","ninth",1.06016653013074,2.88685169703122,0.654125944007843
"eye","M0_original","tenth",1.12647924323337,3.0847766105159,0.654125944007843
"eye","M1_group_variance","female",0.905549323771689,2.473290187054,0.662245316470342
"eye","M1_group_variance","eighth",0.994819805958531,2.70423700997776,0.662245316470342
"eye","M1_group_variance","ninth",1.06078402159163,2.88863485378838,0.662245316470342
"eye","M1_group_variance","tenth",1.12674823722474,3.08560650850261,0.662245316470342
"eye","M2_group_slopes","female",0.899912249213699,2.4593872885194,0.732668765587545
"eye","M2_group_slopes","eighth",0.98612141217561,2.68081649966342,0.59119822118311
"eye","M2_group_slopes","ninth",1.05971413105377,2.88554598336222,0.642343455945485
"eye","M2_group_slopes","tenth",1.13330684993192,3.10591031618286,0.516230058015191
"eye","M3_free_groups","female",0.899912249213697,2.4593872885194,0.732668765587546
"eye","M3_free_groups","eighth",0.995509460823944,2.70610264343657,0.653563317724863
"eye","M3_free_groups","ninth",1.05388108908132,2.8687634666745,0.57992922417166
"eye","M3_free_groups","tenth",1.13904183661258,3.12377384506655,0.444830921125943
