"trait","model","group","n","observed_mean_log","fitted_mean_log","simulated_mean_lower","simulated_mean_upper","observed_sd_log","simulated_sd_lower","simulated_sd_upper","mean_in_simulation_band","sd_in_simulation_band","residual_sd_model","normalised_residual_mean","normalised_residual_sd"
"foreleg","M0_original","female",118,3.22139980539257,3.22139980539257,3.21521382012763,3.22748212604547,0.0491088518769583,0.0444237352195446,0.0552711811718985,TRUE,TRUE,0.0345652724548165,7.43801648098033e-15,0.91301223690247
"foreleg","M0_original","eighth",78,3.12903310978333,3.13339499050025,3.12561672585902,3.141069872823,0.0564166740644172,0.0450036641504774,0.0584443726825016,TRUE,TRUE,0.0345652724548165,-0.126192574429174,1.07986639304837
"foreleg","M0_original","ninth",79,3.24873194423965,3.24011861016574,3.23227970860315,3.24774071629383,0.0455446133674905,0.0398822710812957,0.0530123508149235,FALSE,TRUE,0.0345652724548165,0.249190400138613,1.04353443912228
"foreleg","M0_original","tenth",38,3.33536353193981,3.34431686604296,3.33261226853492,3.35510295987529,0.0299500270022134,0.0343700957737446,0.0531471388892003,TRUE,FALSE,0.0345652724548165,-0.25902686330198,0.870581282572622
"foreleg","M1_group_variance","female",118,3.22139980539257,3.22139980539257,3.21578076197301,3.22725366271889,0.0491088518769583,0.0420903412293224,0.0524820555853481,TRUE,TRUE,0.0316425668629028,7.02589106722056e-14,0.99797235503639
"foreleg","M1_group_variance","eighth",78,3.12903310978333,3.13396272856867,3.12555610841725,3.14224943028913,0.0564166740644172,0.0462670337654361,0.0607388611648536,TRUE,TRUE,0.037711062416369,-0.130720761216116,0.990680031469324
"foreleg","M1_group_variance","ninth",79,3.24873194423965,3.2392694394323,3.23086026419145,3.24692190121841,0.0455446133674905,0.0411199691775713,0.0548438941830585,FALSE,TRUE,0.0371806007643678,0.2545011272766,0.969583179187464
"foreleg","M1_group_variance","tenth",38,3.33536353193981,3.34207068618514,3.33217097226329,3.3518500469573,0.0299500270022134,0.0325163833162413,0.0491149987749909,TRUE,FALSE,0.0307026416522165,-0.218455282164344,0.976925940277858
"foreleg","M2_group_slopes","female",118,3.22139980539257,3.22139980539257,3.2156939572326,3.22716254531718,0.0491088518769583,0.0440596828732571,0.054043798595739,TRUE,TRUE,0.0316240680136628,9.58665232884841e-14,0.995717423174752
"foreleg","M2_group_slopes","eighth",78,3.12903310978333,3.12917272568568,3.1208420211309,3.13793046746376,0.0564166740644172,0.0492858248699041,0.063754242056705,TRUE,TRUE,0.0372580181998677,-0.00374727130134321,0.996086855536422
"foreleg","M2_group_slopes","ninth",79,3.24873194423965,3.24847359733181,3.24077971212961,3.25661852031,0.0455446133674905,0.0385055836298589,0.0520411905082668,TRUE,TRUE,0.0360665986578272,0.0071630516172541,0.996367569065006
"foreleg","M2_group_slopes","tenth",38,3.33536353193981,3.33551472309905,3.3266819609632,3.34401064261142,0.0299500270022134,0.023253376697435,0.0366090115587343,TRUE,TRUE,0.027062007008115,-0.00558684206936448,0.988593288899276
"foreleg","M3_free_groups","female",118,3.22139980539257,3.22139980539258,3.21576560653144,3.22714746030855,0.0491088518769583,0.0442583783862035,0.054217235315834,TRUE,TRUE,0.0316240711489306,-2.2741995433732e-13,0.99571732445752
"foreleg","M3_free_groups","eighth",78,3.12903310978333,3.12903310978334,3.12073490729324,3.13736308959711,0.0564166740644172,0.0492629052605313,0.0640545978766966,TRUE,TRUE,0.0373543068146804,-1.61998619647035e-13,0.993485275388314
"foreleg","M3_free_groups","ninth",79,3.24873194423965,3.24873194423966,3.24094678262917,3.25663775614601,0.0455446133674905,0.0390879149361409,0.0519685581932538,TRUE,TRUE,0.0361675129483276,-1.70794461555373e-13,0.993569062710037
"foreleg","M3_free_groups","tenth",38,3.33536353193981,3.33536353193982,3.32654146951047,3.34398408855236,0.0299500270022134,0.0232502869207819,0.0369602981041646,TRUE,TRUE,0.0271218321670995,-2.22815917763192e-13,0.986393925238348
"midleg","M0_original","female",118,3.21128533783437,3.21128533783436,3.20505179670634,3.21787169321272,0.0490536443178977,0.0442434094201748,0.0546801736271027,TRUE,TRUE,0.0342401175997323,7.8159700933611e-14,0.889083700016574
"midleg","M0_original","eighth",77,3.08854202901506,3.09248468171635,3.08502949747642,3.10018298937786,0.0553320800719954,0.0447411847709709,0.0585749752247526,TRUE,TRUE,0.0342401175997323,-0.115147171729439,1.11548972098187
"midleg","M0_original","ninth",79,3.20027065761788,3.19258498020017,3.18520325505674,3.2000574024221,0.0469181122516427,0.0401959395509421,0.0529858414862077,FALSE,TRUE,0.0342401175997323,0.224464106915798,1.04568911456271
