"trait","model","contrast","n","estimate_log","SE","df","lower_95_log","upper_95_log","p_value","percent","lower_95_percent","upper_95_percent","units","df_method","p_holm","holm_family","direction","holm_below_05"
"foreleg","M0_original","average_male_step",313,0.0492436739352607,0.00463593796957902,309,0.0401216737662036,0.0583656741043178,1.13246299672949e-22,5.04762932477765,4.09374212638463,6.01025769020598,"percent length","residual (matches OLS)",5.66231498364743e-22,"Five traits: M0_original average_male_step","positive",TRUE
"foreleg","M0_original","matched_sex",313,0.147712143332077,0.00585166673752408,309,0.136197989061845,0.15922629760231,4.47994823360022e-77,15.9179170879071,14.5908748534805,17.260327396748,"percent length","residual (matches OLS)",2.23997411680011e-76,"Five traits: M0_original matched_sex","positive",TRUE
"foreleg","M0_original","step_minus_sex",313,-0.0984684693968167,0.00615603505699478,309,-0.110581520347696,-0.0863554184459372,2.24570189796386e-42,-9.3775734038474,-10.4686659040379,-8.27318407460819,"percent ratio of multiplicative effects (not percentage points)","residual (matches OLS)",1.12285094898193e-41,"Five traits: M0_original step_minus_sex","negative",TRUE
"foreleg","M1_group_variance","average_male_step",313,0.0482797027997246,0.00456302232844844,213.366824133282,0.0392853263300084,0.0572740792694409,2.64558885750184e-21,4.94641523382085,4.00671998747715,5.89460057730546,"percent length","Satterthwaite (emmeans)",1.32279442875092e-20,"Five traits: M1_group_variance average_male_step","positive",TRUE
"foreleg","M1_group_variance","matched_sex",313,0.145270580080216,0.00545264219359261,134.607362603128,0.134486647253604,0.156054512906828,1.58434016075798e-55,15.6352413870392,14.39493840344,16.8889920940483,"percent length","Satterthwaite (emmeans)",7.92170080378988e-55,"Five traits: M1_group_variance matched_sex","positive",TRUE
"foreleg","M1_group_variance","step_minus_sex",313,-0.0969908772804914,0.00599471614541346,288.648648321205,-0.108789776570082,-0.0851919779909012,2.36209256562745e-42,-9.24357144500797,-10.3081048941294,-8.16640328164659,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",9.4483702625098e-42,"Five traits: M1_group_variance step_minus_sex","negative",TRUE
"foreleg","M2_group_slopes","average_male_step",313,0.0496838096750417,0.0056947023031445,101.089783833121,0.0383871737960713,0.060980445554012,5.68808320903406e-14,5.09387471720119,3.91334802578267,6.28781299909995,"percent length","Satterthwaite (emmeans)",2.84404160451703e-13,"Five traits: M2_group_slopes average_male_step","positive",TRUE
"foreleg","M2_group_slopes","matched_sex",313,0.156881908844631,0.00792508488667234,124.318910107504,0.141196342377853,0.172567475311409,3.02917847389368e-40,16.985745592487,15.16507436334,18.8352002331236,"percent length","Satterthwaite (emmeans)",1.51458923694684e-39,"Five traits: M2_group_slopes matched_sex","positive",TRUE
"foreleg","M2_group_slopes","step_minus_sex",313,-0.107198099169589,0.00661528614162891,234.759013872675,-0.120231010211692,-0.0941651881274866,3.82840282460919e-40,-10.1652306569985,-11.3284427296932,-8.98675932453985,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",1.9142014123046e-39,"Five traits: M2_group_slopes step_minus_sex","negative",TRUE
"foreleg","M3_free_groups","average_male_step",313,0.0499233273410686,0.00601980305157803,111.434906428101,0.0379951987143773,0.0618514559677598,2.81152503717142e-13,5.11904957157801,3.87262456451361,6.38043112089546,"percent length","Welch-Satterthwaite (independent group regressions)",1.40576251858571e-12,"Five traits: M3_free_groups average_male_step","positive",TRUE
"foreleg","M3_free_groups","matched_sex",313,0.15655566157458,0.00835015243973956,88.0664107435201,0.139961662668899,0.173149660480262,1.69908617734959e-32,16.9475855374979,15.0229701275041,18.9044044671216,"percent length","Welch-Satterthwaite (independent group regressions)",8.49543088674793e-32,"Five traits: M3_free_groups matched_sex","positive",TRUE
"foreleg","M3_free_groups","step_minus_sex",313,-0.106632334233512,0.00801199525345137,222.485412276335,-0.122421443725187,-0.0908432247418371,4.05804869652392e-30,-10.1143909141478,-11.5224593126448,-8.68391392925198,"percent ratio of multiplicative effects (not percentage points)","Welch-Satterthwaite (independent group regressions)",2.02902434826196e-29,"Five traits: M3_free_groups step_minus_sex","negative",TRUE
"foreleg","M3_free_groups","ninth_minus_eighth",313,0.0509307249051615,0.0114667532230723,114.883723122873,0.0282170492238186,0.0736444005865044,2.06552730231352e-05,5.22499960399819,2.86189211323081,7.64239617012861,"percent length","Welch-Satterthwaite (independent group regressions)",8.26210920925408e-05,"Five traits: M3_free_groups ninth_minus_eighth","positive",TRUE
"foreleg","M3_free_groups","tenth_minus_ninth",313,0.0489159297769756,0.0083711604673656,83.4127155387431,0.0322672465413475,0.0655646130126037,9.5888638668833e-08,5.01320621921876,3.27934789121454,6.77617263865629,"percent length","Welch-Satterthwaite (independent group regressions)",4.79443193344165e-07,"Five traits: M3_free_groups tenth_minus_ninth","positive",TRUE
"foreleg","M3_free_groups","ninth_minus_midpoint",313,0.00100739756409295,0.00803388758602108,187.73949910562,-0.014840895211171,0.0168556903393569,0.900346179460763,0.100790515945482,-1.47313119004263,1.6998549019609,"percent length","Welch-Satterthwaite (independent group regressions)",1,"Five traits: M3_free_groups ninth_minus_midpoint","positive",FALSE
"midleg","M0_original","average_male_step",312,0.042141802796534,0.00460605056419148,308,0.0330784955043124,0.0512051100887556,8.08968392962934e-18,4.3042374590114,3.36316714963325,5.25387574624485,"percent length","residual (matches OLS)",3.23587357185173e-17,"Five traits: M0_original average_male_step","positive",TRUE
"midleg","M0_original","matched_sex",312,0.103504189559096,0.00579726223104659,308,0.0920969398293507,0.114911439288841,1.92982947288463e-49,10.9050439787692,9.64711086511934,12.1774088061773,"percent length","residual (matches OLS)",5.78948841865389e-49,"Five traits: M0_original matched_sex","positive",TRUE
"midleg","M0_original","step_minus_sex",312,-0.0613623867625619,0.00610405594917764,308,-0.0733733132657149,-0.0493514602594088,9.52379412047005e-21,-5.95176403430438,-7.07461375280507,-4.81534653264718,"percent ratio of multiplicative effects (not percentage points)","residual (matches OLS)",2.85713823614101e-20,"Five traits: M0_original step_minus_sex","negative",TRUE
"midleg","M1_group_variance","average_male_step",312,0.0409278570378483,0.00456313371564566,151.479736105095,0.0319122529956202,0.0499434610800764,1.05718246214825e-15,4.17769459596117,3.24269089618952,5.12116603239289,"percent length","Satterthwaite (emmeans)",3.17154738644476e-15,"Five traits: M1_group_variance average_male_step","positive",TRUE
"midleg","M1_group_variance","matched_sex",312,0.101467671377132,0.00538062830705419,75.0820487605791,0.0907491021247245,0.112186240629539,3.33338694504412e-30,10.6794136683315,9.49942390627596,11.8721192583693,"percent length","Satterthwaite (emmeans)",1.00001608351324e-29,"Five traits: M1_group_variance matched_sex","positive",TRUE
"midleg","M1_group_variance","step_minus_sex",312,-0.0605398143392834,0.00589773396747305,282.138282713167,-0.0721489595439233,-0.0489306691346435,3.26062825414743e-21,-5.87437072250286,-6.96077053234037,-4.77528524712869,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",9.7818847624423e-21,"Five traits: M1_group_variance step_minus_sex","negative",TRUE
"midleg","M2_group_slopes","average_male_step",312,0.0451502364268278,0.00577179548640931,105.150227204213,0.0337060227581983,0.0565944500954572,4.24442358482842e-12,4.61850232022821,3.42805071003965,5.82265596798271,"percent length","Satterthwaite (emmeans)",1.27332707544853e-11,"Five traits: M2_group_slopes average_male_step","positive",TRUE
