"trait","model","n","parameters","logLik_ML","AIC","AICc","BIC","delta_AIC","delta_AICc"
"foreleg","M0_original",313,5,611.100639993648,-1212.2012799873,-1212.00584024788,-1193.4702640346,12.2353798823865,11.5537432098399
"foreleg","M1_group_variance",313,8,613.474299098307,-1210.94859819661,-1210.47491398609,-1180.97897267229,13.4880616730691,13.0846694716352
"foreleg","M2_group_slopes",313,11,623.218329934841,-1224.43665986968,-1223.55958345772,-1183.22842477374,0,0
"foreleg","M3_free_groups",313,12,623.226433388715,-1222.45286677743,-1221.41286677743,-1177.49842849095,1.98379309225311,2.14671668029291
"midleg","M0_original",312,5,612.10358425512,-1214.20716851024,-1214.01109007887,-1195.49215257119,11.8316512454696,11.1477296768421
"midleg","M1_group_variance",312,8,615.49627960684,-1214.99255921368,-1214.51731168893,-1185.0485337112,11.0462605420291,10.6415080667814
"midleg","M2_group_slopes",312,11,624.019409877855,-1226.03881975571,-1225.15881975571,-1184.86578468981,0,0
"midleg","M3_free_groups",312,12,624.153690146592,-1224.30738029318,-1223.26390203232,-1179.39134203947,1.73143946252458,1.89491772339397
"hindleg","M0_original",311,5,581.110173136461,-1152.22034627292,-1152.02362496145,-1133.52138171203,15.967198819357,15.2809769870196
"hindleg","M1_group_variance",311,8,581.242452030305,-1146.48490406061,-1146.00808286856,-1116.56656076318,21.7026410316705,21.2965190799107
"hindleg","M2_group_slopes",311,11,595.09377254614,-1168.18754509228,-1167.30460194847,-1127.04982305831,0,0
"hindleg","M3_free_groups",311,12,595.603388464753,-1167.20677692951,-1166.15979706373,-1122.32926198335,0.980768162774211,1.14480488473328
"ear_lin","M0_original",313,5,524.17865069098,-1038.35730138196,-1038.16186164255,-1019.62628542926,0,0
"ear_lin","M1_group_variance",313,8,524.925560966075,-1033.85112193215,-1033.37743772162,-1003.88149640783,4.50617944981059,4.78442392092325
"ear_lin","M2_group_slopes",313,11,525.741344303835,-1029.48268860767,-1028.60561219571,-988.274453511729,8.87461277428997,9.55624944683655
"ear_lin","M3_free_groups",313,12,525.959895493062,-1027.91979098612,-1026.87979098612,-982.965352699642,10.4375103958366,11.282070656423
"eye","M0_original",313,5,469.211788677151,-928.423577354302,-928.228137614888,-909.692561401601,0,0
"eye","M1_group_variance",313,8,471.50950725091,-927.01901450182,-926.545330291294,-897.049388977499,1.4045628524816,1.68280732359426
"eye","M2_group_slopes",313,11,472.313059855534,-922.626119711068,-921.749043299108,-881.417884615126,5.79745764323366,6.47909431578012
"eye","M3_free_groups",313,12,472.832200632894,-921.664401265788,-920.624401265788,-876.709962979306,6.75917608851353,7.60373634909979
