"ID","trait","group","included"
"ACGN","foreleg","female",TRUE
"ACIU","foreleg","female",TRUE
"AGNG","foreleg","female",TRUE
"AIZJ","foreleg","female",TRUE
"AKPI","foreleg","tenth",TRUE
"AQZC","foreleg","eighth",TRUE
"ASOK","foreleg","female",TRUE
"ATEZ","foreleg","female",TRUE
"AZJJ","foreleg","female",TRUE
"BBRM","foreleg","ninth",TRUE
"BCSB","foreleg","female",TRUE
"BLLA","foreleg","ninth",TRUE
"BYLH","foreleg","female",TRUE
"BZCS","foreleg","ninth",TRUE
"CAPF","foreleg","tenth",TRUE
"CAXC","foreleg","eighth",TRUE
"CBMA","foreleg","female",TRUE
"CBRE","foreleg","eighth",TRUE
"CCQV","foreleg","female",TRUE
"CGRD","foreleg","eighth",TRUE
"CHCF","foreleg","female",TRUE
"CPWC","foreleg","female",TRUE
"CTFK","foreleg","tenth",TRUE
"CVHB","foreleg","female",TRUE
"CVLU","foreleg","eighth",TRUE
"CVQJ","foreleg","female",TRUE
"CWPJ","foreleg","ninth",TRUE
"CWRT","foreleg","eighth",TRUE
"DESX","foreleg","female",TRUE
"DFDF","foreleg","ninth",TRUE
"DFME","foreleg","eighth",TRUE
"DJFZ","foreleg","tenth",TRUE
"DNHH","foreleg","tenth",TRUE
"DOCI","foreleg","ninth",TRUE
"DQAS","foreleg","eighth",TRUE
"DQAV","foreleg","eighth",TRUE
"DSPJ","foreleg","eighth",TRUE
"DUFU","foreleg","ninth",TRUE
"DYFV","foreleg","tenth",TRUE
"EAXA","foreleg","ninth",TRUE
"EAXN","foreleg","eighth",TRUE
"ECHF","foreleg","ninth",TRUE
"ECJN","foreleg","tenth",TRUE
"ECOO","foreleg","ninth",TRUE
"EDIK","foreleg","eighth",TRUE
"EFLR","foreleg","ninth",TRUE
"EJSA","foreleg","ninth",TRUE
"EMIY","foreleg","female",TRUE
"EMMR","foreleg","tenth",TRUE
"EWKB","foreleg","ninth",TRUE
"EXFC","foreleg","eighth",TRUE
"FDUO","foreleg","female",TRUE
"FFVD","foreleg","female",TRUE
"FHEO","foreleg","female",TRUE
"FJIV","foreleg","ninth",TRUE
"FKWM","foreleg","eighth",TRUE
"FLUS","foreleg","female",TRUE
"FRAY","foreleg","female",TRUE
"FRKH","foreleg","female",TRUE
"FXZS","foreleg","ninth",TRUE
"FYEF","foreleg","female",TRUE
"FZRV","foreleg","female",TRUE
"GDWH","foreleg","tenth",TRUE
"GLXO","foreleg","female",TRUE
"GMLX","foreleg","eighth",TRUE
"GRAC","foreleg","ninth",TRUE
"GRRD","foreleg","female",TRUE
"GVKA","foreleg","eighth",TRUE
"GWYL","foreleg","eighth",TRUE
"GXQD","foreleg","ninth",TRUE
"GYFU","foreleg","female",TRUE
"HDAF","foreleg","tenth",TRUE
"HDAI","foreleg","female",TRUE
"HDZC","foreleg","tenth",TRUE
"HEDP","foreleg","eighth",TRUE
"HIHW","foreleg","eighth",TRUE
"HKWK","foreleg","eighth",TRUE
"HNNH","foreleg","female",TRUE
"HNUV","foreleg","eighth",TRUE
"HOHH","foreleg","ninth",TRUE
"HRBI","foreleg","eighth",TRUE
"HTCT","foreleg","ninth",TRUE
"HZFK","foreleg","eighth",TRUE
"IEAL","foreleg","female",TRUE
"IEJY","foreleg","eighth",TRUE
"IEPT","foreleg","tenth",TRUE
"IJNE","foreleg","ninth",TRUE
"ILNB","foreleg","tenth",TRUE
"INPV","foreleg","female",TRUE
"IULK","foreleg","ninth",TRUE
"IVIQ","foreleg","female",TRUE
"IVMB","foreleg","ninth",TRUE
"JDGM","foreleg","female",TRUE
"JDYH","foreleg","ninth",TRUE
"JHFO","foreleg","female",TRUE
"JONV","foreleg","ninth",TRUE
"JOYH","foreleg","tenth",TRUE
"JOZD","foreleg","eighth",TRUE
"JPJS","foreleg","female",TRUE
"JPJT","foreleg","female",TRUE
"JRYP","foreleg","eighth",TRUE
"JUCL","foreleg","ninth",TRUE
"JUGA","foreleg","female",TRUE
"JUJH","foreleg","ninth",TRUE
"JUYN","foreleg","female",TRUE
"JXVQ","foreleg","tenth",TRUE
"JZEI","foreleg","ninth",TRUE
"JZJE","foreleg","female",TRUE
"KAIL","foreleg","ninth",TRUE
"KAOK","foreleg","female",TRUE
"KDQD","foreleg","female",TRUE
"KECL","foreleg","female",TRUE
"KEHR","foreleg","female",TRUE
"KEMO","foreleg","tenth",TRUE
"KIIU","foreleg","tenth",TRUE
"KORY","foreleg","eighth",TRUE
"KPNC","foreleg","female",TRUE
"KSLC","foreleg","female",TRUE
"KTFS","foreleg","ninth",TRUE
"KTNC","foreleg","female",TRUE
"KVWU","foreleg","female",TRUE
"KWNJ","foreleg","female",TRUE
"KYRB","foreleg","ninth",TRUE
"LAZJ","foreleg","ninth",TRUE
"LEZS","foreleg","eighth",TRUE
"LGMD","foreleg","female",TRUE
"LHWT","foreleg","tenth",TRUE
"LIHW","foreleg","female",TRUE
"LJJN","foreleg","tenth",TRUE
"LKHO","foreleg","eighth",TRUE
"LLJC","foreleg","tenth",TRUE
"LMMX","foreleg","female",TRUE
"LNMX","foreleg","female",TRUE
"LQLO","foreleg","female",TRUE
"LRRL","foreleg","tenth",TRUE
"LRSS","foreleg","ninth",TRUE
"LTEN","foreleg","female",TRUE
"LUXM","foreleg","female",TRUE
"LYTH","foreleg","female",TRUE
"MAKB","foreleg","tenth",TRUE
"MEAE","foreleg","female",TRUE
"MEMQ","foreleg","eighth",TRUE
"MJSX","foreleg","eighth",TRUE
"MKMF","foreleg","ninth",TRUE
"MLES","foreleg","female",TRUE
"MONY","foreleg","eighth",TRUE
"MQFA","foreleg","female",TRUE
"MTZI","foreleg","female",TRUE
"MUVY","foreleg","tenth",TRUE
"MVOV","foreleg","eighth",TRUE
"MXAY","foreleg","female",TRUE
"MYTW","foreleg","female",TRUE
"NACP","foreleg","ninth",TRUE
"NAPZ","foreleg","ninth",TRUE
"NBFT","foreleg","ninth",TRUE
"NDWV","foreleg","ninth",TRUE
"NFQJ","foreleg","female",TRUE
"NFZB","foreleg","female",TRUE
"NLMH","foreleg","female",TRUE
"NMCP","foreleg","ninth",TRUE
"NRDG","foreleg","eighth",TRUE
"NRVV","foreleg","eighth",TRUE
"NSFR","foreleg","ninth",TRUE
"NUDB","foreleg","female",TRUE
"NVHP","foreleg","eighth",TRUE
"OCGB","foreleg","female",TRUE
"ODLJ","foreleg","eighth",TRUE
"OHRS","foreleg","female",TRUE
"OHZZ","foreleg","eighth",TRUE
"OLFY","foreleg","female",TRUE
"ONAU","foreleg","female",TRUE
"OQDA","foreleg","ninth",TRUE
"OTIL","foreleg","female",TRUE
"OVOZ","foreleg","female",TRUE
"OWAU","foreleg","ninth",TRUE
"OZHE","foreleg","female",TRUE
"PAQJ","foreleg","ninth",TRUE
"PBXK","foreleg","eighth",TRUE
"PFPR","foreleg","eighth",TRUE
"PIKP","foreleg","tenth",TRUE
"PMTK","foreleg","eighth",TRUE
"PQXQ","foreleg","female",TRUE
"PTRO","foreleg","female",TRUE
"PVUO","foreleg","ninth",TRUE
"PVXU","foreleg","female",TRUE
"PWML","foreleg","eighth",TRUE
"PXBQ","foreleg","eighth",TRUE
"PXBW","foreleg","eighth",TRUE
"PZFT","foreleg","ninth",TRUE
"PZMO","foreleg","eighth",TRUE
"PZWX","foreleg","eighth",TRUE
"QDVU","foreleg","female",TRUE
"QDXY","foreleg","ninth",TRUE
"QIIV","foreleg","eighth",TRUE
"QMKN","foreleg","female",TRUE
"QOGZ","foreleg","female",TRUE
"QQJU","foreleg","ninth",TRUE
"QRKY","foreleg","female",TRUE
"QSRM","foreleg","ninth",TRUE
"QUAR","foreleg","eighth",TRUE
"QXSG","foreleg","female",TRUE
"QYFB","foreleg","female",TRUE
"QZHA","foreleg","eighth",TRUE
"RBAX","foreleg","ninth",TRUE
"RBFY","foreleg","female",TRUE
"RCMK","foreleg","eighth",TRUE
"RDRL","foreleg","eighth",TRUE
"RIJE","foreleg","female",TRUE
"RIWP","foreleg","ninth",TRUE
"RJGO","foreleg","female",TRUE
"RJVU","foreleg","female",TRUE
"RMQE","foreleg","female",TRUE
"RNCJ","foreleg","female",TRUE
"RNFD","foreleg","female",TRUE
"RPNA","foreleg","eighth",TRUE
"RQME","foreleg","ninth",TRUE
"RSFE","foreleg","tenth",TRUE
"RTXD","foreleg","eighth",TRUE
"RWGW","foreleg","eighth",TRUE
"SBJV","foreleg","tenth",TRUE
"SBJVC","foreleg","ninth",TRUE
"SCBI","foreleg","tenth",TRUE
"SCXD","foreleg","ninth",TRUE
"SDBA","foreleg","ninth",TRUE
"SDVC","foreleg","ninth",TRUE
"SEVZ","foreleg","female",TRUE
"SFBL","foreleg","female",TRUE
"SGBK","foreleg","ninth",TRUE
"SMVB","foreleg","eighth",TRUE
"SMXT","foreleg","eighth",TRUE
"SNCY","foreleg","female",TRUE
"SNDZ","foreleg","ninth",TRUE
"SQCA","foreleg","tenth",TRUE
"SSQG","foreleg","tenth",TRUE
"SVLP","foreleg","ninth",TRUE
"SXDN","foreleg","female",TRUE
"SYKW","foreleg","tenth",TRUE
"TABC","foreleg","ninth",TRUE
"TART","foreleg","female",TRUE
"TKBC","foreleg","ninth",TRUE
"TKSH","foreleg","ninth",TRUE
"TRCQ","foreleg","female",TRUE
"TSNP","foreleg","tenth",TRUE
"TSPY","foreleg","female",TRUE
"TWQN","foreleg","eighth",TRUE
"TYRB","foreleg","eighth",TRUE
"UCYK","foreleg","female",TRUE
"UHRS","foreleg","ninth",TRUE
"UKOQ","foreleg","tenth",TRUE
"ULBD","foreleg","ninth",TRUE
"UMXA","foreleg","female",TRUE
"UNBX","foreleg","eighth",TRUE
"UPBJ","foreleg","female",TRUE
"UQVJ","foreleg","ninth",TRUE
"UWVR","foreleg","female",TRUE
"UYSP","foreleg","tenth",TRUE
"VDBS","foreleg","female",TRUE
"VDVI","foreleg","tenth",TRUE
"VECM","foreleg","ninth",TRUE
"VFCQ","foreleg","eighth",TRUE
"VFPH","foreleg","ninth",TRUE
"VGLK","foreleg","ninth",TRUE
"VHBT","foreleg","tenth",TRUE
"VJOC","foreleg","female",TRUE
"VJTT","foreleg","female",TRUE
"VNSP","foreleg","eighth",TRUE
"VNVH","foreleg","female",TRUE
"VUNA","foreleg","female",TRUE
"WDBI","foreleg","ninth",TRUE
"WHQS","foreleg","female",TRUE
"WHVM","foreleg","tenth",TRUE
"WJST","foreleg","female",TRUE
"WKXK","foreleg","ninth",TRUE
"WNVZ","foreleg","ninth",TRUE
"WQOI","foreleg","ninth",TRUE
"WQRK","foreleg","ninth",TRUE
"WSXA","foreleg","eighth",TRUE
"WWFJ","foreleg","eighth",TRUE
"WYMS","foreleg","eighth",TRUE
"XDBU","foreleg","female",TRUE
"XKES","foreleg","female",TRUE
"XMEN","foreleg","eighth",TRUE
"XNIH","foreleg","female",TRUE
"XOAF","foreleg","ninth",TRUE
"XQBJ","foreleg","tenth",TRUE
"XQHC","foreleg","ninth",TRUE
"XRPL","foreleg","eighth",TRUE
"XVQB","foreleg","ninth",TRUE
"XWCJ","foreleg","eighth",TRUE
"YAKT","foreleg","eighth",TRUE
"YBYC","foreleg","ninth",TRUE
"YCTD","foreleg","eighth",TRUE
"YFAT","foreleg","female",TRUE
"YGFO","foreleg","eighth",TRUE
"YMRF","foreleg","eighth",TRUE
"YNBA","foreleg","ninth",TRUE
"YNFN","foreleg","female",TRUE
"YNZS","foreleg","female",TRUE
"YRUA","foreleg","female",TRUE
"YRUH","foreleg","female",TRUE
"YSQQ","foreleg","eighth",TRUE
"YUWR","foreleg","eighth",TRUE
"YYNS","foreleg","female",TRUE
"YZUH","foreleg","eighth",TRUE
"ZAQJ","foreleg","eighth",TRUE
"ZAVH","foreleg","eighth",TRUE
"ZFKD","foreleg","eighth",TRUE
"ZFXN","foreleg","ninth",TRUE
"ZIER","foreleg","tenth",TRUE
"ZRDE","foreleg","ninth",TRUE
"ZSUF","foreleg","eighth",TRUE
"ZVNV","foreleg","ninth",TRUE
"ZWYP","foreleg","female",TRUE
"ACGN","midleg","female",TRUE
"ACIU","midleg","female",TRUE
"AGNG","midleg","female",TRUE
"AIZJ","midleg","female",TRUE
"AKPI","midleg","tenth",TRUE
"AQZC","midleg","eighth",TRUE
"ASOK","midleg","female",TRUE
"ATEZ","midleg","female",TRUE
"AZJJ","midleg","female",TRUE
"BBRM","midleg","ninth",TRUE
"BCSB","midleg","female",TRUE
"BLLA","midleg","ninth",TRUE
"BYLH","midleg","female",TRUE
"BZCS","midleg","ninth",TRUE
"CAPF","midleg","tenth",TRUE
"CAXC","midleg","eighth",TRUE
"CBMA","midleg","female",TRUE
"CBRE","midleg","eighth",TRUE
"CCQV","midleg","female",TRUE
"CGRD","midleg","eighth",TRUE
"CHCF","midleg","female",TRUE
"CPWC","midleg","female",TRUE
"CTFK","midleg","tenth",TRUE
"CVHB","midleg","female",TRUE
"CVLU","midleg","eighth",TRUE
"CVQJ","midleg","female",TRUE
"CWPJ","midleg","ninth",TRUE
"CWRT","midleg","eighth",TRUE
"DESX","midleg","female",TRUE
"DFDF","midleg","ninth",TRUE
"DFME","midleg","eighth",TRUE
"DJFZ","midleg","tenth",TRUE
"DNHH","midleg","tenth",TRUE
"DOCI","midleg","ninth",TRUE
"DQAS","midleg","eighth",TRUE
"DQAV","midleg","eighth",TRUE
"DSPJ","midleg","eighth",TRUE
"DUFU","midleg","ninth",TRUE
"DYFV","midleg","tenth",TRUE
"EAXA","midleg","ninth",TRUE
"EAXN","midleg","eighth",TRUE
"ECHF","midleg","ninth",TRUE
"ECJN","midleg","tenth",TRUE
"ECOO","midleg","ninth",TRUE
"EDIK","midleg","eighth",TRUE
"EFLR","midleg","ninth",TRUE
"EJSA","midleg","ninth",TRUE
"EMIY","midleg","female",TRUE
"EMMR","midleg","tenth",TRUE
"EWKB","midleg","ninth",TRUE
"EXFC","midleg","eighth",TRUE
"FDUO","midleg","female",TRUE
"FFVD","midleg","female",TRUE
"FHEO","midleg","female",TRUE
"FJIV","midleg","ninth",TRUE
"FKWM","midleg","eighth",TRUE
"FLUS","midleg","female",TRUE
"FRAY","midleg","female",TRUE
"FRKH","midleg","female",TRUE
"FXZS","midleg","ninth",TRUE
"FYEF","midleg","female",TRUE
"FZRV","midleg","female",TRUE
"GDWH","midleg","tenth",TRUE
"GLXO","midleg","female",TRUE
"GMLX","midleg","eighth",TRUE
"GRAC","midleg","ninth",TRUE
"GRRD","midleg","female",TRUE
