trait,R,SE,CI_lower,CI_upper,LRT_P,n_obs,n_ind
pronotum,0.995,0.001,0.992,0.997,3.289999999999999e-99,142,48
head_length,1,0,1,1,4.269999999999999e-162,144,48
head_width,0.999,0,0.998,0.999,6.419999999999999e-136,144,48
forefemur,0.994,0.002,0.989,0.996,1.0999999999999998e-95,143,48
foretibia,0.993,0.002,0.989,0.996,1.5899999999999998e-94,143,48
ear,0.976,0.006,0.961,0.986,4.329999999999999e-68,143,48
midfemur,0.995,0.001,0.991,0.997,1.0499999999999998e-98,143,48
midtibia,0.996,0.001,0.993,0.997,5.039999999999999e-104,143,48
hindfemur,0.996,0.001,0.992,0.997,2.44e-103,144,48
hindtibia,0.987,0.004,0.977,0.992,9.129999999999998e-81,144,48
eye,0.991,0.003,0.984,0.994,8.619999999999998e-88,144,48
