trait,model,R,SE,CI_lower,CI_upper,LRT_P,n_obs,n_ind
pronotum,primary_unadjusted,0.995,0.0014,0.9916,0.9968,3.2869999999999997e-99,142,48
head_length,primary_unadjusted,0.9997,1e-4,0.9995,0.9998,4.2699999999999986e-162,144,48
head_width,primary_unadjusted,0.9991,3e-4,0.9984,0.9994,6.420999999999998e-136,144,48
forefemur,primary_unadjusted,0.9938,0.0017,0.9893,0.9962,1.0949999999999996e-95,143,48
foretibia,primary_unadjusted,0.9934,0.0019,0.9887,0.996,1.5929999999999997e-94,143,48
ear,primary_unadjusted,0.9763,0.0064,0.961,0.9855,4.328999999999999e-68,143,48
midfemur,primary_unadjusted,0.9946,0.0014,0.9911,0.9967,1.0479999999999997e-98,143,48
midtibia,primary_unadjusted,0.9959,0.0011,0.993,0.9975,5.0429999999999994e-104,143,48
hindfemur,primary_unadjusted,0.9955,0.0012,0.9924,0.9972,2.4399999999999993e-103,144,48
hindtibia,primary_unadjusted,0.9868,0.0037,0.9773,0.9919,9.128999999999998e-81,144,48
eye,primary_unadjusted,0.9906,0.0025,0.9841,0.9942,8.622999999999997e-88,144,48
pronotum,morph_adjusted,0.9819,0.005,0.969,0.9887,7.754999999999999e-72,142,48
head_length,morph_adjusted,0.996,0.0012,0.9931,0.9976,3.1079999999999994e-104,144,48
head_width,morph_adjusted,0.9886,0.0032,0.981,0.9932,1.8899999999999997e-82,144,48
forefemur,morph_adjusted,0.9794,0.0058,0.9642,0.9869,1.1389999999999998e-69,143,48
foretibia,morph_adjusted,0.9817,0.0054,0.9687,0.9889,4.4559999999999994e-72,143,48
ear,morph_adjusted,0.9488,0.0138,0.9158,0.9691,4.1179999999999995e-51,143,48
midfemur,morph_adjusted,0.9824,0.0048,0.9707,0.9893,6.400999999999999e-73,143,48
midtibia,morph_adjusted,0.988,0.0034,0.979,0.9925,1.4139999999999998e-80,143,48
hindfemur,morph_adjusted,0.9835,0.0045,0.9724,0.9898,8.957999999999999e-75,144,48
hindtibia,morph_adjusted,0.9562,0.0123,0.92490000000000006,0.9733,1.1399999999999998e-54,144,48
eye,morph_adjusted,0.9717,0.0077,0.9527,0.9826,1.1729999999999998e-63,144,48
pronotum,morph_and_round_adjusted,0.9942,0.0016,0.99,0.9965,1.5799999999999996e-95,142,48
head_length,morph_and_round_adjusted,0.9982,5e-4,0.9968,0.9989,6.1229999999999995e-121,144,48
head_width,morph_and_round_adjusted,0.9937,0.0018,0.9894,0.9962,3.704999999999999e-95,144,48
forefemur,morph_and_round_adjusted,0.9803,0.0056,0.9657,0.9876,5.130999999999999e-71,143,48
foretibia,morph_and_round_adjusted,0.9864,0.004,0.9765,0.9917,1.2639999999999998e-78,143,48
ear,morph_and_round_adjusted,0.9565,0.0118,0.9276,0.9736,7.710999999999999e-55,143,48
midfemur,morph_and_round_adjusted,0.9851,0.0041,0.975,0.9909,9.335999999999999e-77,143,48
midtibia,morph_and_round_adjusted,0.988,0.0034,0.9788,0.9926,5.008999999999999e-81,143,48
hindfemur,morph_and_round_adjusted,0.9847,0.0042,0.9742,0.9905,7.55e-77,144,48
hindtibia,morph_and_round_adjusted,0.9596,0.0114,0.9302,0.9754,9.957000000000001e-57,144,48
eye,morph_and_round_adjusted,0.9714,0.0078,0.9519,0.9824,7.038999999999999e-64,144,48
