trait,measurement_round,n,mean,SD
ear,1,48,2.9800625,0.496861978619689
ear,2,47,3.011255319148936,0.4964379298337441
ear,3,48,2.9518020833333334,0.49840465422914076
eye,1,48,2.7669791666666668,0.3269496505959636
eye,2,48,2.7683958333333334,0.32267787373018847
eye,3,48,2.762166666666667,0.31642975647075583
forefemur,1,48,12.349364583333333,1.1169266187613647
forefemur,2,47,12.396010638297872,1.1480990834066322
forefemur,3,48,12.376677083333334,1.129839668015378
foretibia,1,48,13.000760416666667,1.1039000831172203
foretibia,2,47,13.075808510638298,1.1077518290251671
foretibia,3,48,12.992302083333334,1.1018734324138129
head_length,1,48,18.8306875,5.481019151838383
head_length,2,48,18.699333333333335,5.446385365184812
head_length,3,48,18.747229166666667,5.462999835409516
head_width,1,48,10.101958333333334,1.9826566097712188
head_width,2,48,10.020125,1.9638444561299502
head_width,3,48,10.058208333333333,1.9674950588851774
hindfemur,1,48,18.64959375,1.7838381958880247
hindfemur,2,48,18.576510416666668,1.774916457397431
hindfemur,3,48,18.604614583333333,1.7726267959917303
hindtibia,1,48,20.2780625,2.113763452276733
hindtibia,2,48,20.13128125,2.1280539079574265
hindtibia,3,48,20.167,2.134678783948137
midfemur,1,48,11.6088125,0.9606670478691889
midfemur,2,47,11.657851063829787,0.9783428697619567
midfemur,3,48,11.659385416666666,0.96589979128483
midtibia,1,48,12.820333333333334,1.0668358082872789
midtibia,2,47,12.800755319148935,1.0862076022262663
midtibia,3,48,12.833447916666666,1.0874470211579754
pronotum,1,48,7.147208333333333,0.652370602098431
pronotum,2,47,7.0740425531914894,0.6591796270809324
pronotum,3,47,7.115148936170213,0.6623205574448532
