ID,pronotum,head_length,head_width,forefemur,foretibia,ear,midfemur,midtibia,hindfemur,hindtibia,eye,measurement_round
CVQJ,7.115,11.173,7.326,11.5255,11.8885,2.8145,11.123,12.259,18.827,20.406,2.2725,1
DOCI,6.725,19.216,10.791,12.4,13.065,3.0775,11.516,12.757,18.1505,21.131,2.753,1
DYFV,7.603,25.875,12.758,13.829,15.121,4.066,12.837,14.6595,20.625,22.425,3.3535,1
ECJN,7.26,24.824,12.285,13.27,13.561,3.3145,12.263,13.2395,19.6975,20.965,3.1125,1
EWKB,6.396,18.923,10.094,11.4345,11.93,2.3705,10.519,11.265,17.26,17.958,2.615,1
GLXO,8.316,13.411,8.499,13.4325,14.0585,3.5875,12.592,13.754,22.2525,23.8665,2.825,1
GWYL,5.92,16.774,8.731,10.914,11.6735,2.3685,10.323,11.751,16.3805,18.251,2.7265,1
HDZC,7.016,26.317,12.597,14.1885,14.2935,3.452,12.6905,13.972,19.216,21.682,3.3075,1
HNUV,6.209,14.297,7.959,10.4925,11.482,2.4635,9.7135,10.987,15.4,16.8415,2.3935,1
ILNB,7.986,28.721,13.475,14.826,15.2115,4.2485,13.407,14.9305,21.793,23.204,3.4415,1
JDYH,6.774,19.74,10.168,11.907,12.843,2.9,10.84,12.246,17.5515,18.9925,2.792,1
JUCL,6.851,19.717,10.705,12.4775,12.6395,3.168,11.792,12.4715,18.661,19.8905,2.744,1
JUJH,6.96,22.524,11.538,12.855,13.918,3.578,11.905,13.329,18.9465,20.903,2.946,1
JXVQ,7.569,24.528,11.963,13.0375,14.0435,3.125,12.0875,13.6655,18.5095,20.92,2.8555,1
LAZJ,6.897,23.07,11.614,12.329,12.5445,2.6815,11.236,12.1275,18.7345,20.194,3.001,1
LLJC,7.639,27.183,13.245,13.469,14.7275,3.9895,12.9305,13.8935,19.615,21.677,3.287,1
LRSS,7.33,21.951,11.401,13.2435,13.6845,3.3115,12.229,13.325,20.1825,21.3995,2.639,1
LUXM,8.022,12.93,8.356,12.6065,13.5785,2.9205,12.0585,13.6785,20.079,22.414,2.773,1
MJSX,6.586,13.104,8.215,10.418,11.3995,2.69,10.01,11.041,16.3105,17.945,2.176,1
MUVY,7.374,25.853,12.644,13.5175,14.065,3.1265,12.5225,13.963,19.7075,22.1285,3.0345,1
NRDG,6.364,15.594,8.86,11.647,12.1895,2.638,10.872,12.0505,16.368,18.118,2.544,1
ONAU,7.438,11.382,7.124,11.3995,12.5645,3.016,11.3115,12.4575,19.151,20.571,2.325,1
PIKP,7.657,25.808,12.814,13.437,14.281,2.8995,12.408,14.087,19.162,21.7625,3.0425,1
PTRO,7.38,11.8,7.429,11.755,11.985,2.711,11.2895,12.3005,18.949,19.778,2.559,1
PZMO,5.991,14.349,8.032,10.2865,11.0925,2.193,9.7945,10.7765,15.5825,16.672,2.3565,1
QDVU,7.674,12.175,8.015,11.9465,12.875,2.9415,11.738,13.1725,19.481,21.5945,2.293,1
QRKY,7.762,11.798,7.79,11.3615,11.972,2.7825,11.552,12.2965,20.338,20.503,2.569,1
QSRM,7.046,22.9,11.347,12.9225,13.1505,3.1015,11.9865,12.9435,17.7925,20.333,2.7865,1
RDRL,6.74,17.552,9.405,11.849,12.2265,2.474,11.0745,12.0285,17.4245,17.4235,2.7655,1
SEVZ,8.389,13.706,8.851,13.321,14.369,3.529,12.871,13.858,21.5105,24.5195,2.8265,1
SMVB,6.867,18.044,9.605,11.9315,12.455,2.7065,10.919,12.35,15.525,16.313,2.755,1
SMXT,5.744,12.156,7.891,10.303,10.7595,1.996,9.685,10.431,15.433,16.095,2.243,1
TKSH,7.189,21.423,11.301,13.167,13.388,2.6975,12.132,13.7945,19.6005,22.3575,3.115,1
UKOQ,7.438,26.978,12.939,13.5745,14.244,3.376,12.6895,14.102,19.551,21.6545,3.2065,1
UNBX,6.437,16.453,9.195,11.173,12.506,2.4145,10.74,11.986,16.4795,18.2405,2.7125,1
UQVJ,6.663,20.062,10.446,12.045,12.117,2.6575,10.8845,12.559,17.347,19.4805,2.6445,1
UWVR,7.505,12.629,7.934,11.469,12.3055,2.8295,11.3095,12.59,19.329,21.2145,2.446,1
UYSP,7.95,26.57,12.62,13.749,13.94,3.4685,12.6795,13.8095,19.699,20.93,3.3545,1
VFPH,7.425,24.147,12.393,13.282,13.544,3.007,12.5325,13.832,20.076,20.8155,3.054,1
WHVM,7.382,25.282,12.289,13.5615,14.265,3.351,12.32,13.5205,18.847,19.8945,3.087,1
WJST,8.133,12.557,7.809,12.2775,12.8005,3.469,11.915,12.771,20.0135,21.705,2.829,1
WWFJ,6.773,15.47,8.732,10.76,11.5685,2.361,10.1935,11.2315,16.306,17.351,2.364,1
XQBJ,7.139,25.668,12.88,13.3015,13.4925,3.092,12.264,13.3,20.5875,21.4435,3.0975,1
XWCJ,6.176,16.224,8.741,11.819,12.411,2.759,10.9715,12.0995,16.4425,17.551,2.4385,1
YNZS,7.828,13.901,8.793,12.681,13.4515,3.005,12.42,13.4105,20.817,23.2045,2.696,1
YRUH,8.094,12.915,8.12,12.2545,13.0755,3.145,12.2955,13.591,20.587,22.8305,2.6115,1
YZUH,6.293,15.195,8.306,10.6585,11.34,1.969,10.086,11.32,16.4875,16.921,2.4105,1
ZFXN,7.041,21.004,10.869,12.6635,13.9395,3.1995,11.6935,13.392,18.394,20.876,2.634,1
CVQJ,7.036,11.034,7.329,11.369,11.867,2.8265000000000002,11.303,12.207999999999998,18.488,18.097,2.224,2
DOCI,6.578,19.123,10.595,12.168,13.0155,3.1035,11.496500000000001,12.63,18.132,21.182000000000002,2.6805000000000003,2
DYFV,7.534,25.683,12.601,14.0565,14.908000000000001,4.1565,12.872,14.655999999999999,20.4235,22.5435,3.3475,2
ECJN,7.192,24.649,12.127,13.086500000000001,13.494,3.455,12.246,13.206499999999998,19.5235,21.192500000000003,3.12,2
EWKB,6.272,18.821,10.082,11.319500000000001,11.8445,2.3095,10.491,11.280000000000001,16.918,18.0355,2.5735,2
GLXO,8.305,13.316,8.556,13.3285,14.0945,3.6145,12.633,13.7335,22.2305,23.534,2.681,2
GWYL,5.818,16.661,8.897,10.8505,11.677,2.3575,10.399000000000001,11.713000000000001,16.42,18.185499999999998,2.7455,2
HDZC,6.904,26.078,12.457,14.117,14.314499999999999,3.2845,12.6525,14.001000000000001,19.089,21.764,3.293,2
HNUV,6.154,14.241,7.893,10.3925,11.3035,2.569,9.7045,10.960999999999999,15.331499999999998,16.802500000000002,2.37,2
ILNB,7.898,28.518,13.405,14.826,15.225999999999999,4.0935,13.4905,15.099,21.6035,23.122500000000002,3.404,2
JDYH,6.71,19.667,10.156,11.953,12.877,2.956,10.978,12.339500000000001,17.4375,19.0985,2.9074999999999998,2
JUCL,6.755,19.849,10.598,12.5395,12.654,3.087,11.8,12.553,18.664,19.863,2.755,2
JXVQ,7.48,24.364,11.799,13.023,14.092500000000001,3.124,12.1465,13.771,18.5595,20.898,2.8810000000000002,2
LAZJ,6.851,22.919,11.561,12.308499999999999,12.559999999999999,2.771,11.258,12.196,18.6495,18.8185,3.013,2
LLJC,7.569,26.831,13.186,13.436,14.752,4.025,13.030000000000001,14.081,18.9805,21.4925,3.224,2
LRSS,7.246,21.841,11.329,13.1585,13.7075,3.4124999999999996,12.8315,12.847999999999999,20.0965,21.344,2.6695,2
LUXM,7.944,12.788,8.257,12.494,13.6655,3.1055,12.190999999999999,13.7775,20.0285,22.533,2.7960000000000003,2
MJSX,6.468,13.063,8.05,10.3095,11.334,2.5655,10.029,11.061,16.16,18.316,2.292,2
MUVY,7.273,25.881,12.548,13.5155,14.144,3.1205,12.4915,13.991,19.695,21.9745,3.067,2
