trait,measurement_round,n,signed_slope_per_10_positions,signed_slope_SE,signed_slope_P,absolute_error_slope_per_10_positions,absolute_error_slope_SE,absolute_error_slope_P,signed_slope_P_BH,absolute_error_slope_P_BH
ear,2,47,-0.003072153880773348,0.009823113416913441,0.7559173513928399,0.005878987192229086,0.006268054823528138,0.3532881815717359,0.9238989850356932,0.9131028678426424
ear,3,48,-0.005009498480243159,0.010404555065383415,0.6324639405181016,0.005108825445071697,0.006196830683005105,0.41395236630818266,0.9238989850356932,0.9131028678426424
eye,2,48,8.651758575771079e-4,0.00505425901749808,0.8648349088336915,-0.001278224055579655,0.003370065732480838,0.7062196195963715,0.9516060979540595,0.9131028678426424
eye,3,48,-0.006266283108988285,0.0045962708511533,0.17941098310956685,9.563612679113633e-4,0.0029284884789299672,0.7454731833144785,0.6637049118197484,0.9131028678426424
forefemur,2,47,0.013081541714328484,0.01334648084957076,0.3322528692892186,-0.0011636811558873655,0.008030081353817796,0.8854249204630997,0.6991036470559979,0.9275880119137235
forefemur,3,48,0.02560410334346511,0.014926923175586018,0.09302061061067092,0.009821428571428613,0.009272184713883382,0.29502296154483615,0.524442687598023,0.9131028678426424
foretibia,2,47,0.0014946227989573336,0.012910469476865633,0.908351275319784,0.00981585313255941,0.009211773085417303,0.2922990147938084,0.9516060979540595,0.9131028678426424
foretibia,3,48,-0.003778766825879257,0.01163147314229272,0.7467491293000723,-0.0025591619626575495,0.0067884290774875775,0.7079154966303849,0.9238989850356932,0.9131028678426424
head_length,2,48,-0.017034845853234767,0.009951612331318693,0.09367490907399184,0.01650510204081625,0.00889262350760784,0.06985973972295195,0.524442687598023,0.8670517369988302
head_length,3,48,-0.004881676074685019,0.010186399072316879,0.6340421720608549,0.003639817629179493,0.009470459483964608,0.7025021008278407,0.9238989850356932,0.9131028678426424
head_width,2,48,0.006282023447677089,0.007642608267005198,0.41533213649222234,-0.0021602257924448055,0.005749884263940731,0.7088677146721516,0.761442250235741,0.9131028678426424
head_width,3,48,-0.009755753365175856,0.007182615404400858,0.18101043049629503,0.004195614415979089,0.005677205201359142,0.4636444171196592,0.6637049118197484,0.9131028678426424
hindfemur,2,48,-0.004688449848024284,0.014405424042807279,0.7463056027415862,0.0025906426400349445,0.012004530512768612,0.8300935162205839,0.9238989850356932,0.9131028678426424
hindfemur,3,48,0.02036311333043836,0.019970951507858815,0.3132337094773346,-0.0034574468085107495,0.0152526399242956,0.8216780160180891,0.6991036470559979,0.9131028678426424
hindtibia,2,48,0.039992129830655476,0.042315762413778914,0.34955182352799896,-0.04568850412505392,0.038732377886587344,0.2442262886019885,0.6991036470559979,0.9131028678426424
hindtibia,3,48,0.04239850195397289,0.036870321022343944,0.2561137806076696,-0.027911419887103897,0.034377003260675255,0.42101859598503644,0.6991036470559979,0.9131028678426424
midfemur,2,47,0.007029337382246128,0.010681309906325986,0.5138286697083573,0.003068344207735529,0.009904093897106999,0.7581389200316129,0.8695562102756815,0.9131028678426424
midfemur,3,48,0.009180145462440214,0.008166717712760643,0.26680578112863307,-0.0021919778549718853,0.0068049962009472924,0.7488264371953017,0.6991036470559979,0.9131028678426424
midtibia,2,47,-0.0014558928605004331,0.011079425269478114,0.896040609965923,3.4583419513760236e-4,0.008762685595076954,0.9686928899429399,0.9516060979540595,0.9686928899429399
midtibia,3,48,0.014683293530178068,0.008622993789297246,0.09535321592691329,-0.004840696917064554,0.00641904812754964,0.45462367955955507,0.524442687598023,0.9131028678426424
pronotum,2,47,0.0066429072157027595,0.003494865018694642,0.06374985399639115,-0.0061214636910134285,0.0034038312276228173,0.07882288518171184,0.524442687598023,0.8670517369988302
pronotum,3,47,2.1896771009321495e-4,0.004157548973351813,0.9582299478400127,-0.0012267222232768356,0.002830183577631479,0.6667640024335832,0.9582299478400127,0.9131028678426424
