trait,trait_mean,round_F,round_num_df,round_den_df,round_P,overall_TEM,relative_TEM_percent,random_TEM_after_round_adjustment,relative_random_TEM_percent,n_complete_triplets,absolute_agreement_ICC_A1,consistency_ICC_C1,round_P_BH,round_P_Holm,round_mean_min,round_mean_max,round_mean_range,max_absolute_pairwise_bias,max_absolute_pairwise_bias_percent,max_pairwise_relative_TEM_percent,round_adjusted_R,round_adjusted_CI_lower,round_adjusted_CI_upper,round_mean_range_percent
pronotum,7.1123802816901405,102.34086578294199,2,92.00399989729165,4.059245149023839e-24,0.046473816314532165,0.6534214211545002,0.02615798790609701,0.36778106442701336,47,0.9950601706026809,0.9984297213606254,4.4651696639262227e-23,4.4651696639262227e-23,7.0740425531914894,7.147208333333333,0.07316578014184394,0.07714893617021273,1.0846772143000298,0.8360141669528602,0.9942,0.99,0.9965,1.0287101820216127
head_length,18.759083333333333,57.83252145721818,2,94.00000017373844,4.219741282429826e-17,0.0894988749153368,0.4770962062752007,0.06056060129068905,0.3228334786651216,48,0.9997316928539304,0.9998771314815657,2.320857705336404e-16,4.2197412824298256e-16,18.699333333333335,18.8306875,0.13135416666666444,0.13135416666666638,0.6999951705329218,0.6140437195633551,0.9982,0.9968,0.9989,0.7002163396398959
head_width,10.060097222222222,39.82947556397513,2,94.00000070224596,2.959660763938131e-13,0.060461420206056354,0.6010023449127339,0.04495369268448044,0.4468514736137949,48,0.9990597419425631,0.999479999483565,1.0852089467773148e-12,2.663694687544318e-12,10.020125,10.101958333333334,0.08183333333333387,0.08183333333333312,0.8133683970761788,0.7676134166978472,0.9937,0.9894,0.9962,0.8134447563048235
forefemur,12.373863636363636,3.1951017150341814,2,93.00390290007061,0.0454965882077488,0.0889686298942675,0.719004447671553,0.0869817225367626,0.7029471561424474,47,0.9938513853656742,0.9941133002202288,0.055606941142804095,0.1364897646232464,12.349364583333333,12.396010638297872,0.046646054964538664,0.04462765957446823,0.3606655332283016,0.842042892476159,0.9803,0.9657,0.9876,0.37697243428041166
foretibia,13.022587412587413,17.643257548069666,2,93.00319729563125,3.191595861554481e-7,0.08936019905661914,0.6861938893206819,0.07689674379340158,0.5904874458287337,47,0.9934930665858724,0.9951759706223587,8.776888619274822e-7,2.553276689243585e-6,12.992302083333334,13.075808510638298,0.0835064273049646,0.08590425531914887,0.6591360542524066,0.7739557179838653,0.9864,0.9765,0.9917,0.6412429777530132
ear,2.980828671328671,9.670909341799968,2,93.01225032872543,1.5283930116209523e-4,0.07646967923370192,2.5653832428958894,0.07031149260691273,2.3587901338714703,47,0.976490180767044,0.9801024033096445,2.8448879793002604e-4,0.0010698751081346667,2.9518020833333334,3.011255319148936,0.05945323581560258,0.06417021276595745,2.1539626198927304,2.9278658167187315,0.9565,0.9276,0.9736,1.994520395870386
midfemur,11.641905594405594,9.652680084119199,2,93.00298006574849,1.551757079618324e-4,0.07076870839374773,0.6078790780416133,0.06508764719228557,0.5590806991560112,47,0.994694684497631,0.9954969732159331,2.8448879793002604e-4,0.0010698751081346667,11.6088125,11.659385416666666,0.05057291666666508,0.05084042553191494,0.4370576209121878,0.6814815988651126,0.9851,0.975,0.9909,0.43440411242440763
midtibia,12.8183006993007,1.0540737644635476,2,93.00231202017561,0.3526410560959044,0.06935425207369596,0.5410565230185275,0.06931631755599593,0.5407605827173134,47,0.9958793317664798,0.9958803789039106,0.3879051617054949,0.7052821121918088,12.800755319148935,12.833447916666666,0.03269259751773035,0.02021276595744679,0.15777834799426335,0.5830472770535373,0.988,0.9788,0.9926,0.2550462677124893
hindfemur,18.610239583333332,4.992096837479322,2,94.00000140526787,0.008700509337585682,0.11897089104762873,0.6392765150330189,0.114312220431954,0.614243679776847,48,0.9955198579294211,0.9958624322896554,0.011963200339180313,0.03944152512542408,18.576510416666668,18.64959375,0.07308333333333294,0.0730833333333337,0.3926456177424799,0.7402826782266454,0.9847,0.9742,0.9905,0.39270495689256885
hindtibia,20.192114583333332,5.10061927756902,2,94.00001076744337,0.007888305025084816,0.24464181938431262,1.2115710733250353,0.23481715893672928,1.1629151467402452,48,0.9867663453069104,0.9877951979059926,0.011963200339180313,0.03944152512542408,20.13128125,20.2780625,0.14678125000000009,0.1467812499999998,0.7264718323964359,1.4958728512558919,0.9596,0.9302,0.9754,0.7269236185949244
eye,2.7658472222222223,0.5171068783120539,2,94.00000014496976,0.5979292176749049,0.031300126464068254,1.1316650541138762,0.03145876832020853,1.1374007959460954,48,0.9905530312287044,0.9904579423887498,0.5979292176749049,0.7052821121918088,2.762166666666667,2.7683958333333334,0.006229166666666508,0.006229166666666716,0.22526340373756618,1.2142050036967105,0.9714,0.9519,0.9824,0.2252173083393116
