trait,comparison,n_pairs,mean_bias,bias_SE,bias_CI_lower,bias_CI_upper,bias_P,bias_percent,TEM,relative_TEM_percent,random_TEM,relative_random_TEM_percent,bias_P_Holm
pronotum,round_2_minus_round_1,47,-0.07714893617021273,0.004933505931911633,-0.08707956854780055,-0.06721830379262492,4.9392645479939547e-20,-1.0846772143000298,0.059462485938972874,0.8360141669528602,0.023916057332572,0.33624834939136744,1.4817793643981865e-19
pronotum,round_3_minus_round_1,47,-0.03604255319148929,0.005679943245310024,-0.04747568595208597,-0.024609420430892606,8.768255807430977e-8,-0.5052809917108851,0.037303527869215744,0.5229586110598492,0.027534546461557334,0.38600714184949386,8.768255807430977e-8
pronotum,round_3_minus_round_2,47,0.041106382978723446,0.00554522521666744,0.029944423545076523,0.05226834241237037,2.196920790117769e-9,0.5794041613934495,0.03939678137841625,0.5553069236954601,0.026881476587675843,0.3789007514322453,4.393841580235538e-9
head_length,round_2_minus_round_1,48,-0.13135416666666638,0.014066599743862044,-0.1596525152618144,-0.10305581807151837,2.784617911475303e-12,-0.6999951705329218,0.11522536793895105,0.6140437195633551,0.0689119835768531,0.3672365857875944,8.353853734425909e-12
head_length,round_3_minus_round_1,48,-0.08345833333333325,0.013995502010883478,-0.11161365173861394,-0.05530301492805255,3.059492752351976e-7,-0.4441881867674937,0.08992045095527496,0.4785813527285749,0.06856367724152083,0.3649147335639283,6.118985504703952e-7
head_length,round_3_minus_round_2,48,0.047895833333333096,0.008043941796819184,0.03171350973058774,0.06407815693607846,3.1563535296688156e-7,0.25580897222987076,0.05164855193194341,0.2758520327837484,0.039407105845706954,0.21047115256951532,6.118985504703952e-7
head_width,round_2_minus_round_1,48,-0.08183333333333312,0.010551013082569732,-0.10305923381243143,-0.06060743285423481,5.905735844685168e-10,-0.8133683970761788,0.07722990569289404,0.7676134166978472,0.051689196643451354,0.5137559147051675,1.7717207534055505e-9
head_width,round_3_minus_round_1,48,-0.0437499999999999,0.010039394919745414,-0.06394665749338453,-0.023553342506615265,7.091659781825861e-5,-0.4340241896148336,0.057667870893014006,0.5720971641406472,0.04918278975933187,0.4879204678466469,7.091659781825861e-5
head_width,round_3_minus_round_2,48,0.03808333333333323,0.006363252862933827,0.025282119749862338,0.05088454691680413,2.8371964595546273e-7,0.3793475554079844,0.04094762915399766,0.4078787663716875,0.031173445236984194,0.3105182558676935,5.674392919109255e-7
forefemur,round_2_minus_round_1,47,0.04462765957446823,0.01853966338498524,0.007309252741383762,0.0819460664075527,0.02014812012482831,0.3606655332283016,0.09434698576745443,0.7624801805598025,0.08987435275467198,0.726333885058961,0.06044436037448493
forefemur,round_3_minus_round_1,48,0.027312500000000028,0.021101807136025778,-0.015138860328454903,0.06976386032845495,0.20187832915584933,0.2209209251379705,0.10410193822243015,0.842042892476159,0.10337732026776801,0.8361817201588851,0.3571005964081014
forefemur,round_3_minus_round_2,47,-0.01770212765957464,0.012958177045905083,-0.04378558520529574,0.008381329886146465,0.1785502982040507,-0.14290707690616625,0.06339331799138953,0.5117663788077235,0.0628170938542687,0.5071145929511135,0.3571005964081014
foretibia,round_2_minus_round_1,47,0.07663829787234049,0.017748217862924142,0.040912988247397294,0.11236360749728368,8.300407366111771e-5,0.5878301852921693,0.10090439439643176,0.7739557179838653,0.08603767823913405,0.6599252037886325,1.6600814732223543e-4
foretibia,round_3_minus_round_1,48,-0.008458333333333175,0.015959479061884,-0.04056466394014713,0.02364799727348078,0.5986151998651057,-0.06508146805197099,0.07759728437043825,0.5970614995477216,0.0781851605244955,0.6015848307562489,0.5986151998651057
foretibia,round_3_minus_round_2,47,-0.08590425531914887,0.013489182961197289,-0.11305657233476184,-0.05875193830353591,8.102995756411703e-8,-0.6591360542524066,0.08874010283442223,0.6808952713567786,0.06539124053399964,0.5017414342062607,2.4308987269235107e-7
ear,round_2_minus_round_1,47,0.034702127659574464,0.013516638080139233,0.007494546355875448,0.06190970896327348,0.013563878992135828,1.1590927665078332,0.0693123902834732,2.315117130426889,0.06552433416107747,2.188591503708344,0.027127757984271656
ear,round_3_minus_round_1,48,-0.028260416666666684,0.014295567538137155,-0.057019389049897284,4.985557165639136e-4,0.05394020245575251,-0.9528341812141002,0.07212393485637528,2.431745831117614,0.07003369210386225,2.3612707646979945,0.05394020245575251
ear,round_3_minus_round_2,47,-0.06417021276595745,0.015533253968862428,-0.09543703131677839,-0.03290339421513653,1.5078412198296808e-4,-2.1539626198927304,0.08722610628144117,2.9278658167187315,0.07530024238498664,2.5275575750025867,4.5235236594890426e-4
midfemur,round_2_minus_round_1,47,0.05084042553191494,0.014732121656662446,0.021186202686473497,0.08049464837735637,0.0012076281661582994,0.4370576209121878,0.07927287575070842,0.6814815988651126,0.0714166094120094,0.61394398407688,0.002415256332316599
midfemur,round_3_minus_round_1,48,0.05057291666666652,0.011345360120899737,0.027748996068598493,0.07339683726473456,5.122571590015584e-5,0.4346956033964443,0.06560231750860634,0.5638796587819668,0.05558068648865044,0.4777395025408377,1.536771477004675e-4
midfemur,round_3_minus_round_2,47,-2.021276595746425e-4,0.013976727216854896,-0.028335820361679257,0.027931565042529975,0.9885241531869178,-0.00173384795157421,0.06703018135710175,0.5749838635851836,0.06775469900175006,0.5811987647852292,0.9885241531869178
