"trait","contrast","effect_unit","median","lower_95","upper_95","effect_median","effect_lower_95","effect_upper_95","probability_positive","probability_negative","probability_in_region","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","frequentist_p","frequentist_holm_p"
"fore","per_male_instar","percent linear dimension (ear is square root of area)",0.048647195,0.039811420275,0.057435814425,4.98498931026813,4.06145168884698,5.91172884208664,1,0,,0.0487088576662616,0.0395714452379221,0.057846270094601,3.34319186654083e-22,1.67159593327041e-21
"fore","matched_sex","percent linear dimension (ear is square root of area)",0.14731333,0.1360130205,0.15861537725,15.871696694413,14.5696811043073,17.1887125539327,1,0,,0.147690948375029,0.136184275283017,0.159197621467042,6.28724785544551e-77,3.14362392772276e-76
"fore","instar_minus_sex","percent linear dimension (ear is square root of area)",-0.098731397,-0.1104735781,-0.086636760925,-9.40139740913542,-10.4590011689891,-8.29898709448419,0,1,,-0.0989820907087675,-0.111092888569823,-0.0868712928477118,1.22229355444529e-42,6.11146777222644e-42
"mid","per_male_instar","percent linear dimension (ear is square root of area)",0.042190692,0.0331226227,0.051083362,4.30933693475253,3.3677283769733,5.24106206807486,1,0,,0.0422411945276653,0.0331905871400711,0.0512918019152594,6.37699936710038e-18,2.55079974684015e-17
"mid","matched_sex","percent linear dimension (ear is square root of area)",0.10339381,0.092305231825,0.1144455015,10.8928030045025,9.66995185937417,12.1251532872161,1,0,,0.103796578714172,0.0923992185413723,0.115193938886971,1.1945494263106e-49,3.5836482789318e-49
"mid","instar_minus_sex","percent linear dimension (ear is square root of area)",-0.0612379405,-0.07287134315,-0.049307530125,-5.94005935455119,-7.02795627656804,-4.81116496617899,0,1,,-0.0615553841865065,-0.0735511299679902,-0.0495596384050228,6.90573929090168e-21,2.0717217872705e-20
"hind","per_male_instar","percent linear dimension (ear is square root of area)",0.0443744495,0.034601197775,0.0541296258,4.53737212776421,3.52067836986974,5.56214290589789,1,0,,0.0444585442788408,0.0345069102635811,0.0544101782941004,1.08085850117064e-16,2.16171700234128e-16
"hind","matched_sex","percent linear dimension (ear is square root of area)",0.021514892,0.009260309885,0.033772627325,2.1748006095392,0.930331921196866,3.43493971996955,0.999625,0.000375,,0.0219906458852189,0.00945862982016814,0.0345226619502697,0.000632542977342073,0.000632542977342073
"hind","instar_minus_sex","percent linear dimension (ear is square root of area)",0.0227899755,0.009671251275,0.03589348345,2.30516510705947,0.971816895452409,3.65454313672416,0.99925,0.00075,,0.0224678983936219,0.00927792487636893,0.0356578719108748,0.000903200103887573,0.000903200103887573
"earlin","per_male_instar","percent linear dimension (ear is square root of area)",0.034678875,0.0228645091,0.04705133495,3.52871988121273,2.31279056348632,4.81758157516552,1,0,,0.0348070882299134,0.0226973233962096,0.0469168530636171,3.5515881638918e-08,3.5515881638918e-08
"earlin","matched_sex","percent linear dimension (ear is square root of area)",0.0758174385,0.060319121475,0.09100281095,7.87656151104184,6.21754554639829,9.52720840092028,1,0,,0.0762426546881533,0.0609929211059841,0.0914923882703224,4.96449075781026e-20,9.92898151562051e-20
"earlin","instar_minus_sex","percent linear dimension (ear is square root of area)",-0.041117463,-0.05738637805,-0.02467896235,-4.02836078399031,-5.57708305488416,-2.43769265038669,0,1,,-0.0414355664582399,-0.0574859434326935,-0.0253851894837863,6.5690914342951e-07,1.31381828685902e-06
"eye","per_male_instar","percent linear dimension (ear is square root of area)",0.06541652,0.050883447975,0.079267224475,6.76036100440111,5.22002500663344,8.24935521950857,1,0,,0.0655487630829859,0.0511529269867353,0.0799445991792364,3.23001163479354e-17,9.69003490438062e-17
"eye","matched_sex","percent linear dimension (ear is square root of area)",0.21958671,0.201843522,0.237645549,24.5561845941063,22.3656517805146,26.8259577270853,1,0,,0.220194597256426,0.202066031741314,0.238323162771538,4.8114434855983e-72,1.92457739423932e-71
"eye","instar_minus_sex","percent linear dimension (ear is square root of area)",-0.1542392445,-0.1733373319,-0.1348579228,-14.2933052072292,-15.9146079852828,-12.6159944382835,0,1,,-0.15464583417344,-0.173726187869838,-0.135565480477043,3.9506524526386e-42,1.58026098105544e-41
