"fit","trait","group","observed_mean","replicated_mean_lower","replicated_mean_upper","observed_sd","replicated_sd_lower","replicated_sd_upper"
"instar_prior1","fore","female",0.00252398052436941,-0.00522364994306179,0.011470711140892,0.0491088518769583,0.0438483147405874,0.0550514072204035
"instar_prior1","fore","eighth",-0.0892916172741325,-0.0946916856085831,-0.0734815501596268,0.0570336387025075,0.0449023024301492,0.0603841146675267
"instar_prior1","fore","ninth",0.0298561193714521,0.011771288969344,0.0312665266947225,0.0455446133674905,0.038824592897107,0.0537449987993331
"instar_prior1","fore","tenth",0.116487707071613,0.111841382618249,0.139800643931794,0.0299500270022133,0.0334785027131116,0.0542479019866656
"instar_prior1","mid","female",-0.00759048703383411,-0.0164313764484371,0.00185106793099963,0.0490536443178977,0.0422453708019584,0.0555204769586699
"instar_prior1","mid","eighth",-0.130554936522382,-0.137970866242471,-0.114207716418892,0.0556654757117932,0.0434744880448479,0.0586636466575651
"instar_prior1","mid","ninth",-0.0186051672503194,-0.0349696075103303,-0.0173931621101243,0.0469181122516426,0.0400481157575534,0.0534831177205176
"instar_prior1","mid","tenth",0.063032220340955,0.0572865939688243,0.0854569317012448,0.0297932570765253,0.0346424313881135,0.052643927688821
"instar_prior1","hind","female",0.0530813316311323,0.0440201659732047,0.0632442518438254,0.057090246644809,0.0444920609529957,0.0597998817351245
"instar_prior1","hind","eighth",-0.15729295268366,-0.162609134443761,-0.141489716546336,0.0531631198131494,0.0463411731949262,0.0615286500463727
"instar_prior1","hind","ninth",-0.0383491769777212,-0.0607615069895627,-0.0404980436987451,0.0435550559868974,0.0404600497023256,0.0576803853756503
"instar_prior1","hind","tenth",0.0385740825259403,0.0321177706351499,0.066037918593535,0.0328393885805859,0.03512924955351,0.0557021602470851
"instar_prior1","earlin","female",0.00182714788278329,-0.0101291047757254,0.016367319687397,0.052984887772904,0.0468111490148928,0.0621540569383518
"instar_prior1","earlin","eighth",-0.103508086712686,-0.114245028989663,-0.0854664923931162,0.053498262945642,0.0476946836254734,0.0654941099941152
"instar_prior1","earlin","ninth",-0.015965855566762,-0.0313258506569759,-0.00844408170883577,0.0557243557378188,0.04310501597727,0.0609027398921033
"instar_prior1","earlin","tenth",0.0535036281741475,0.0374903810987006,0.0787065985103487,0.0482234147661895,0.0401454135298024,0.0622286536919277
"instar_prior1","eye","female",-0.140053260438262,-0.154424845597829,-0.126701131831546,0.0623520908358125,0.0559285896884883,0.0747428946447486
"instar_prior1","eye","eighth",-0.183420622969945,-0.202295996864374,-0.16924936519028,0.0693383925870415,0.0540686296316539,0.0793766196274033
"instar_prior1","eye","ninth",-0.0672245394454498,-0.0770005197843495,-0.0505089569889489,0.0652427313706381,0.0532148256985398,0.0735380691104702
"instar_prior1","eye","tenth",0.0596014326862062,0.0307296095932462,0.0804165022275005,0.0541868285585567,0.0467230773659838,0.077314232218473
