"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"b_fore_Intercept",0.02233988818851,0.0358273145,0.566795678662969,0.573385720362,-0.911881332,0.9111599305,1.00659688170371,3423.74221388427,1610.3429237356
"b_mid_Intercept",-0.00413617389787999,-0.0004421241,0.558337187349938,0.55064005797234,-0.9412581095,0.9112468345,1.00019743810568,3461.58135250003,1306.837755548
"b_hind_Intercept",0.00484366272295999,0.0121058575,0.57479795317901,0.5627329317225,-0.980536584,0.9346418575,1.00799464738529,2433.3886214072,1253.81181752114
"b_earlin_Intercept",0.01080586193735,0.00695838045,0.548502361671578,0.55193434353183,-0.8843971675,0.8920987075,0.999672977206782,3188.34139181234,1480.49385440378
"b_eye_Intercept",0.000423435239911989,0.00549114025,0.567378553570706,0.584497755471,-0.9076951975,0.9289226955,0.999648674815949,2853.67449243249,1565.18419559568
"b_fore_logP",-0.00116235295570999,0.0328278,1.00828847408489,1.01438357811,-1.735571035,1.64913632,1.00506256288074,2775.66129981058,1409.05516789902
"b_fore_instar",0.001654618707855,-0.00270620375,0.245416003456596,0.245149407426,-0.3985513905,0.4071098855,1.0003156268736,3079.91799237647,1565.76718097126
"b_fore_male",-0.002134652395905,-0.00744697025,0.242746600037034,0.23037611348535,-0.394227139,0.3899469255,1.00589009821213,2948.41390401181,1469.78810804482
"b_mid_logP",-3.77661111000167e-05,-0.030227055,1.00392557150224,1.047706147299,-1.65026169,1.660756835,1.00505733651818,2969.98672116791,1642.04355377502
"b_mid_instar",-0.0039036381813035,-0.00068522152,0.245616159467912,0.249257981133,-0.4065085745,0.4077945005,1.00065616234253,3189.90302415598,1724.75389179931
"b_mid_male",-0.0030474381508095,0.000808221435,0.233653544937425,0.240190807248,-0.3864796435,0.3850038165,0.999889694528699,3043.87395694027,1494.07505368254
"b_hind_logP",-0.027058453306645,-0.0146195415,1.02034005237684,0.999440652861,-1.721882795,1.667036975,1.00378354507418,3060.65247196224,1383.01153018157
"b_hind_instar",0.00124203364814999,0.00661326625,0.250566329001638,0.257345445525,-0.4138859165,0.413649882,1.00168452076272,3440.6188326089,1470.5766446022
"b_hind_male",-0.00853385670059,-0.00299637125,0.262450963883893,0.262544797704,-0.441547474,0.4277365995,0.999576664412762,3778.45001085634,1303.15083986968
"b_earlin_logP",0.00948493876845499,-0.0062083145,0.95584970376302,0.9763969428003,-1.546997555,1.662399975,1.00135047214584,3313.53579042566,1597.4365884969
"b_earlin_instar",-0.00101839522643701,-0.00404778505,0.255966936240901,0.24208582209,-0.4307101535,0.4373775465,0.99951933534232,3358.29109332843,1567.88822981042
"b_earlin_male",0.000228080748584996,-0.000290499325,0.2527367596518,0.245586590101755,-0.415168044,0.4188487105,1.00138760463443,3283.70975847854,1436.44212723946
"b_eye_logP",-0.0027104256152435,0.0150671575,1.04146226363403,1.04162739093,-1.746279395,1.65538409,1.0012543933279,3223.75037183577,1427.1587236118
"b_eye_instar",0.0005055751257625,-0.0005969001,0.249471378825415,0.25915677501,-0.3946153635,0.412000724,1.00138900940985,3283.46299633777,1427.45511148986
"b_eye_male",-0.00329639570389,-0.00301795195,0.248053615693866,0.23773695887907,-0.4298607775,0.399567686,1.00154593975326,2711.1648066836,1366.54970176363
"sigma_fore",0.161602774387935,0.115890995,0.170572779854874,0.1069282951422,0.0110783196,0.458271402,1.0019419493835,2179.10988286734,1102.192734803
"sigma_mid",0.167835562903133,0.11755692,0.197830122501286,0.1093837624362,0.01110570015,0.4888657015,1.00238818549035,2534.54791902467,1136.03415968154
"sigma_hind",0.160706868451193,0.11666497,0.195315650533406,0.1052974010424,0.0115681981,0.4417094175,1.00133477983333,2008.95976934945,1191.04661706739
"sigma_earlin",0.161740032415466,0.115306505,0.175343729201719,0.1071651649551,0.0101225603,0.4580456885,1.00166484770197,1941.85155651214,877.029054782626
"sigma_eye",0.162789642632368,0.116046285,0.172788069769466,0.1119439739376,0.01041505435,0.4857924135,1.00005932065012,2067.76837532173,873.946295967789
"Intercept_fore",0.01979146476047,0.032968125,0.507650922975048,0.509128642869,-0.800864336,0.8530111485,1.00676890471722,3238.13395700909,1436.85322958487
"Intercept_mid",-0.00312769107784899,-0.0089123457,0.505808458542966,0.513293585028,-0.84811959,0.833032299,1.00011444867527,3316.60644358916,1414.95475385963
"Intercept_hind",-0.001251663379455,0.00413492695,0.518289111929572,0.52802640650907,-0.831507689,0.8443167775,1.00073551019431,2457.65511040468,1447.79204634899
"Intercept_earlin",0.01166066616223,0.00832799685,0.50066864842225,0.490867354887,-0.8002265635,0.816757358,1.00168375948966,3083.03936238758,1527.72099433695
"Intercept_eye",-0.001985426565558,0.0116531405,0.506484766998419,0.5219391808617,-0.846794777,0.8265585445,1.00101830275926,2824.0854389989,1673.17249111536
"rescor__fore__mid",-0.00516283085389499,0.00246646615,0.352592994396178,0.37220766233301,-0.6026231595,0.5810197535,1.00302569855978,3743.60365315989,1513.10729366799
"rescor__fore__hind",0.00337157861576501,0.00800497905,0.373577423927172,0.412166113611,-0.5988385005,0.6138937935,1.00449329461014,2795.03054040317,1285.43271087104
"rescor__mid__hind",0.000635858870179976,0.00349602,0.343068544846046,0.37684482171,-0.556523147,0.564788584,1.00495161758587,2321.27965282389,1028.51040439148
"rescor__fore__earlin",-0.014322086713023,-0.0167035615,0.340048198984858,0.3554767624779,-0.5743807955,0.5576887105,0.999016074185982,2784.6084723263,1476.96287841304
"rescor__mid__earlin",0.01351320390496,0.020929985,0.344110741254055,0.368139076053,-0.5559779105,0.581046746,1.00063881483058,2546.08586785897,1425.59125314358
"rescor__hind__earlin",-0.00292438563506999,0.0103398565,0.350510732356911,0.3737798182671,-0.579482191,0.5972977315,1.00020282088774,2150.74650102063,1460.72862235986
"rescor__fore__eye",0.00690423734121,0.012864879,0.339632642502841,0.352658789847,-0.5468697895,0.5548870455,0.999886081397283,2779.4873436746,1339.97929975038
"rescor__mid__eye",-0.0118382050128735,-0.0056961341,0.364973382060973,0.38062272506034,-0.608698393,0.5879962085,1.00433871474364,2524.5948722973,1071.91572828979
"rescor__hind__eye",0.0031272811790675,0.00367883035,0.351171172613369,0.38479705867491,-0.5828879195,0.5772484155,1.00315869841213,1833.20285951268,1636.17274734848
"rescor__earlin__eye",-0.00235083396141151,-0.009956754,0.359921340840781,0.4001751101964,-0.588591262,0.594734143,1.00345970487754,1461.66079336712,1483.25803727637
