"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"b_fore_Intercept",-0.05144599286875,-0.0514157605,0.00441041877844058,0.0043843380483,-0.05879268315,-0.04423196385,1.00047155553998,3980.0187774396,5325.35657067349
"b_mid_Intercept",-0.0617447243635,-0.0617379745,0.00435061709392176,0.0042509544567,-0.06909400675,-0.0545592427,1.00070838496977,3965.3812877083,4958.47061267383
"b_hind_Intercept",-0.000867358506256155,-0.000876223045,0.00475163832883288,0.004791017000007,-0.008609117215,0.00700086465,1.00038302479845,4585.44731640578,6084.90156310054
"b_earlin_Intercept",-0.041151474091375,-0.041133203,0.00581322231901538,0.0058437620451,-0.0507772541,-0.0316479744,1.00026690382781,6351.98549516047,5726.82444370432
"b_eye_Intercept",-0.19260627074625,-0.192621975,0.00707597683817305,0.00716523530099999,-0.2042222085,-0.180915696,1.00015030122743,8162.73509041874,5977.86587025448
"b_fore_logP",0.6746614147675,0.67428249,0.0380274985441899,0.037357657827,0.6118994845,0.7374485135,1.00147251131054,2996.74494359886,4688.14948117107
"b_fore_instar",0.048619141694875,0.0486254765,0.00465025321327052,0.0046567561614,0.04102448675,0.05625927605,1.0014800305253,2953.56777591419,4808.47224107669
"b_fore_male",0.147531770595,0.147422185,0.00587747379295244,0.00586412777999997,0.138027324,0.1575421815,1.00034408622576,4343.38106131766,5727.83543333771
"b_mid_logP",0.67684348582,0.67739649,0.0375687283058737,0.0378844033680001,0.614532402,0.737573994,1.00193116027223,2950.40545724034,4511.56499297648
"b_mid_instar",0.0421780388325,0.042160475,0.00460224833747336,0.0045524448732,0.0344914059,0.0498127803,1.00187295349534,2933.73044033974,4783.35513672404
"b_mid_male",0.10364481828375,0.103566125,0.00584233390525476,0.0058354120419,0.09408601655,0.113379755,1.00032106169321,4180.13315504708,5822.04815781984
"b_hind_logP",0.67425401153125,0.674264885,0.0414091846942309,0.041463177378,0.60498741,0.7414870135,1.00124794408493,3599.47014156587,4981.89330645034
"b_hind_instar",0.044368569717875,0.044323245,0.00503383980998713,0.0049598366664,0.03601146375,0.05282443365,1.00107204084675,3354.2269347318,5508.03979320859
"b_hind_male",0.0218283245707625,0.0218307145,0.00637141534498561,0.006358589706,0.01137767405,0.0323439064,1.00074074228512,4886.44028563034,6198.59157727016
"b_earlin_logP",0.53686503528,0.535995235,0.050320949322973,0.049967237544,0.4545544795,0.6199694195,1.00101845641544,4787.43700240259,5569.75202909122
"b_earlin_instar",0.034735714929875,0.034766225,0.00609855789584104,0.0060582601653,0.02470875305,0.0448447736,1.00060482591834,4734.31223131358,5824.86621654446
"b_earlin_male",0.07612036136175,0.07606396,0.00781016024080022,0.007686005964,0.063274361,0.0891120155,1.00040840370533,6806.99362854161,5945.87070971628
"b_eye_logP",0.65735524884,0.65775299,0.0616614704837672,0.0608440210979999,0.557178109,0.7596646795,1.00125138155202,6477.92750689809,6139.75359211767
"b_eye_instar",0.06552451582825,0.065628361,0.00730732499228066,0.00733341329070001,0.0533936713,0.07744612555,1.00053357756891,6402.53352242508,6158.03344804991
"b_eye_male",0.21994132259125,0.21993423,0.00926324020413938,0.00929615404200001,0.2044837345,0.235217041,1.00007147571208,8212.03807562547,5160.93433326489
"sigma_fore",0.034260789512125,0.034213409,0.00135679550284883,0.0013443015894,0.03208343755,0.0365790145,1.00041932233701,4151.7488842386,5577.07071247608
"sigma_mid",0.033934451771875,0.0339046825,0.00134390688156601,0.001324562253,0.0317261621,0.0362131065,1.00006350801433,4572.51268865342,5068.74680017259
"sigma_hind",0.0374624831155,0.0374098705,0.00148325527115472,0.0015152557476,0.0351066545,0.03996705815,1.00005444711808,5719.58548912589,5368.18102928798
"sigma_earlin",0.045919854972625,0.0458569045,0.00185520123921635,0.00180635017290001,0.04298126355,0.0491218406,1.00014778591786,8820.6643166863,5961.10535543437
"sigma_eye",0.054728888726875,0.054665634,0.00220476739578479,0.0021782863284,0.05117400895,0.0584567061,1.00007164682579,11303.0986911358,6083.86462601202
"Intercept_fore",0.000926072943717169,0.000911759775,0.00198243328373604,0.001974472446492,-0.002314351795,0.00417637058,1.00047041403397,8638.70653774045,5828.58628573639
"Intercept_mid",-0.031833672976,-0.0317936855,0.00196852675826295,0.00194466785729999,-0.03504691595,-0.02859828345,1.00020909865194,8509.22223836246,6099.87833652356
"Intercept_hind",-0.023345152277625,-0.0233580245,0.00216838701427513,0.0021731706171,-0.02683242445,-0.0197697979,1.00072451138559,8638.61718674001,6570.50400407032
"Intercept_earlin",-0.022156569462,-0.0221789385,0.00261906109562394,0.0026350850253,-0.02638829785,-0.01778832295,1.00049155911945,11394.034242072,6622.14599851674
"Intercept_eye",-0.107776337379625,-0.107779275,0.00318397479959001,0.00313466118,-0.113007172,-0.1025298375,1.00016652694748,12096.6736696338,6178.89628788812
"rescor__fore__mid",0.86837283631625,0.868991665,0.0140636449908227,0.0138471652410001,0.8442662985,0.8903955905,1.00009317474002,5446.5639316763,6438.24629023843
"rescor__fore__hind",0.68783448400125,0.68907442,0.0302164534776237,0.0296722819680001,0.6364200345,0.7354736075,0.999784427323534,6170.33106671334,5743.33325943975
"rescor__mid__hind",0.723236629905,0.72421008,0.0270439188138101,0.0271343747009999,0.6766060625,0.765536229,0.999997077195151,6439.92381781838,5947.06058797605
"rescor__fore__earlin",0.5244605878925,0.5251436,0.0407752852105676,0.040453445235,0.4560715195,0.589690635,1.00081680133857,7999.08788406862,5863.78826519271
"rescor__mid__earlin",0.45247944686625,0.453648875,0.0449280242909513,0.045134613888,0.3779025675,0.52489911,1.00106571202616,7926.74722211863,6127.29870930197
"rescor__hind__earlin",0.33838868177825,0.33924131,0.0495841534686139,0.04951387329,0.2552919635,0.417752146,1.00057493931556,8284.8879780168,5748.98807052422
"rescor__fore__eye",0.33515288238725,0.33590958,0.0497443016917502,0.0501732077490001,0.2508857365,0.415655375,1.00014388727627,10322.0532835469,6217.48046748327
"rescor__mid__eye",0.324868103574625,0.32607051,0.0503517726962459,0.050014458354,0.2399939675,0.405305875,0.999972700873151,10667.7124868761,5893.42014917024
"rescor__hind__eye",0.3332013856065,0.33488915,0.0495642874479798,0.049172178468,0.249307117,0.412658539,0.99985653232986,9904.99987389865,5860.89484747684
"rescor__earlin__eye",0.117096590107297,0.117737015,0.0543386240463228,0.05541773475,0.02781045675,0.2047127005,0.999752364631298,9169.05327716708,5810.59007239378
