"prior","class","coef","group","resp","dpar","nlpar","lb","ub","source"
"lkj(2)","rescor","","","","","",,,"user"
"student_t(3, 0, 0.15 * prior_scale)","sigma","","","fore","","",,,"user"
"normal(0, 0.5 * prior_scale)","Intercept","","","fore","","",,,"user"
"normal(0, 0.25 * prior_scale)","b","instar","","fore","","",,,"user"
"normal(0, 1 * prior_scale)","b","logP","","fore","","",,,"user"
"normal(0, 0.25 * prior_scale)","b","male","","fore","","",,,"user"
"student_t(3, 0, 0.15 * prior_scale)","sigma","","","mid","","",,,"user"
"normal(0, 0.5 * prior_scale)","Intercept","","","mid","","",,,"user"
"normal(0, 0.25 * prior_scale)","b","instar","","mid","","",,,"user"
"normal(0, 1 * prior_scale)","b","logP","","mid","","",,,"user"
"normal(0, 0.25 * prior_scale)","b","male","","mid","","",,,"user"
"student_t(3, 0, 0.15 * prior_scale)","sigma","","","hind","","",,,"user"
"normal(0, 0.5 * prior_scale)","Intercept","","","hind","","",,,"user"
"normal(0, 0.25 * prior_scale)","b","instar","","hind","","",,,"user"
"normal(0, 1 * prior_scale)","b","logP","","hind","","",,,"user"
"normal(0, 0.25 * prior_scale)","b","male","","hind","","",,,"user"
"student_t(3, 0, 0.15 * prior_scale)","sigma","","","earlin","","",,,"user"
"normal(0, 0.5 * prior_scale)","Intercept","","","earlin","","",,,"user"
"normal(0, 0.25 * prior_scale)","b","instar","","earlin","","",,,"user"
"normal(0, 1 * prior_scale)","b","logP","","earlin","","",,,"user"
"normal(0, 0.25 * prior_scale)","b","male","","earlin","","",,,"user"
"student_t(3, 0, 0.15 * prior_scale)","sigma","","","eye","","",,,"user"
"normal(0, 0.5 * prior_scale)","Intercept","","","eye","","",,,"user"
"normal(0, 0.25 * prior_scale)","b","instar","","eye","","",,,"user"
"normal(0, 1 * prior_scale)","b","logP","","eye","","",,,"user"
"normal(0, 0.25 * prior_scale)","b","male","","eye","","",,,"user"
