"trait","group","slope_region_halfwidth","median","lower_95","upper_95","effect_median","effect_lower_95","effect_upper_95","probability_positive","probability_negative","probability_in_region","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","frequentist_p"
"fore","female",,0.414735775,0.278869605,0.545039239,0.414735775,0.278869605,0.545039239,1,0,,0.419393840622729,0.281282569709393,0.557505111536065,6.50076028104107e-09
"fore","eighth",,0.453196985,0.3416867745,0.562544776,0.453196985,0.3416867745,0.562544776,1,0,,0.453720090499833,0.340842439734544,0.566597741265121,5.02052204400384e-14
"fore","ninth",,0.321132085,0.21690698,0.42758340275,0.321132085,0.21690698,0.42758340275,1,0,,0.322881588339157,0.215745210868038,0.430017965810277,8.3153394339225e-09
"fore","tenth",,0.220468175,-0.052453736375,0.487646221,0.220468175,-0.052453736375,0.487646221,0.942375,0.057625,,0.23426232254306,-0.0498192254101789,0.5183438704963,0.105682818146504
"mid","female",,0.41655813,0.28703986475,0.5466144635,0.41655813,0.28703986475,0.5466144635,1,0,,0.42158156291765,0.288268870252164,0.554894255583136,1.64180301875071e-09
"mid","eighth",,0.461474095,0.353441572,0.5666062185,0.461474095,0.353441572,0.5666062185,1,0,,0.462417090325967,0.353461293556003,0.571372887095932,2.5383693075507e-15
"mid","ninth",,0.35872638,0.25600583525,0.4599068175,0.35872638,0.25600583525,0.4599068175,1,0,,0.360554374958311,0.257140375009943,0.46396837490668,3.93418491878288e-11
"mid","tenth",,0.35264327,0.085597483675,0.610581146,0.35264327,0.085597483675,0.610581146,0.995,0.005,,0.367025252928294,0.0928139170700492,0.641236588786538,0.00887711706056572
"hind","female",,0.62573571,0.48498558575,0.76997732725,0.62573571,0.48498558575,0.76997732725,1,0,,0.632757888635759,0.488509091874856,0.777006685396662,3.6321405015107e-16
"hind","eighth",,0.342110175,0.224624442,0.45671821275,0.342110175,0.224624442,0.45671821275,1,0,,0.342489619958491,0.224595800023206,0.460383439893777,2.62534319766009e-08
"hind","ninth",,0.36284563,0.25404730625,0.47416594625,0.36284563,0.25404730625,0.47416594625,1,0,,0.365048926434244,0.25315151619878,0.476946336669708,5.33833928518066e-10
"hind","tenth",,0.515453995,0.21870956625,0.809046437,0.515453995,0.21870956625,0.809046437,0.9995,5e-04,,0.53339297164087,0.236687125671621,0.830098817610119,0.000467607041452867
"earlin","female",,0.3873914,0.1762521165,0.6006030315,0.3873914,0.1762521165,0.6006030315,0.99975,0.00025,,0.396568364687347,0.177360483579287,0.615776245795407,0.000430970714390347
"earlin","eighth",,0.16181256,-0.016346120675,0.3395254575,0.16181256,-0.016346120675,0.3395254575,0.96375,0.03625,,0.161130724316905,-0.0180267802450577,0.340288228878868,0.0777600496106134
"earlin","ninth",,0.12990482,-0.040039550325,0.30046627375,0.12990482,-0.040039550325,0.30046627375,0.936,0.064,,0.13034154771551,-0.0397035046522591,0.300386600083279,0.132497488861145
"earlin","tenth",,0.27422481,-0.15030435025,0.70393672425,0.27422481,-0.15030435025,0.70393672425,0.895875,0.104125,,0.290614695273497,-0.160274748990636,0.741504139537631,0.205640930700951
"eye","female",,0.400864565,0.175176832,0.62031977375,0.400864565,0.175176832,0.62031977375,0.999625,0.000375,,0.402375158646532,0.175083777018877,0.629666540274188,0.000568180779782357
"eye","eighth",,0.673317795,0.4893749195,0.8650768795,0.673317795,0.4893749195,0.8650768795,1,0,,0.680992958375784,0.495228849279826,0.866757067471743,4.48094748348367e-12
"eye","ninth",,0.559006295,0.37912735775,0.7308805355,0.559006295,0.37912735775,0.7308805355,1,0,,0.562651947750185,0.386336321248761,0.738967574251609,1.19088384561209e-09
"eye","tenth",,0.889112025,0.442531924,1.3392854525,0.889112025,0.442531924,1.3392854525,1,0,,0.944119808154827,0.476603383881738,1.41163623242792,8.86168050786627e-05
