"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"b_fore_groupfemale",0.142081299835413,0.14241723,0.0324934500335267,0.032324297544,0.0881312212,0.195146277,1.00044000061881,2908.61023463989,4655.75757897977
"b_fore_groupeighth",0.04699964135525,0.047072953,0.00922895238402551,0.0091911459318,0.03174012035,0.06195953,1.00021725204259,6029.32566939328,6186.96079985458
"b_fore_groupninth",0.042043804609125,0.0420031745,0.00448812682832602,0.0044990809101,0.03457515505,0.0494526043,1.00016716744911,5344.76401160623,5584.04239809549
"b_fore_grouptenth",0.0653748065238763,0.0654207025,0.0246314168304592,0.0244719927858,0.0247120281,0.1059039885,1.00066116349997,4349.99423566118,5837.14975637293
"b_fore_groupfemale:logP",0.319222715926375,0.31822678,0.0803160499567071,0.079342658514,0.1901893565,0.4530217525,1.00064735231958,3223.67983738046,5036.33778123368
"b_fore_groupeighth:logP",0.221042769166916,0.221042755,0.08664300189145,0.08743440762,0.0786026865,0.3630014535,1.00034476601804,4475.26153399368,5291.45731140424
"b_fore_groupninth:logP",0.317696815282125,0.317211005,0.082218850166406,0.082306598304,0.1828291525,0.4542940305,1.00031831002559,4678.31511200459,4815.33870704991
"b_fore_grouptenth:logP",0.233350807383663,0.23307507,0.127890790628977,0.129068439822,0.02421660405,0.4454005535,0.999923815001933,5890.71798668975,5146.0176350016
"b_fore_groupfemale:logH",0.41406507729875,0.414735775,0.0678018538538549,0.067279431723,0.3023790315,0.5250323635,1.000412522156,3000.00531492398,4556.82355394448
"b_fore_groupeighth:logH",0.45324427467,0.453196985,0.0564423799781546,0.056610901578,0.359843163,0.544718085,1.00053051723725,4201.91219016877,5168.46199666836
"b_fore_groupninth:logH",0.32158947117375,0.321132085,0.0537843838561388,0.053724145944,0.2340934785,0.409390684,1.00040188852272,5352.47373820978,6354.04393831856
"b_fore_grouptenth:logH",0.219282900529054,0.220468175,0.139023027887615,0.140358268323,-0.009715753905,0.4450487945,1.00072075880588,4043.64295854049,5728.73962437034
"b_mid_groupfemale",0.13139890113375,0.13156406,0.0315797174360483,0.031188403554,0.0793779952,0.182600649,1.00071227477273,3044.4436197137,5045.04379138846
"b_mid_groupeighth",0.000719736294947387,0.00079634729,0.00893924617980077,0.009001603913316,-0.013991033,0.0151154302,0.999999785421388,6195.91626021798,6089.13225826538
"b_mid_groupninth",-0.00570468414965679,-0.00571669275,0.00432794584719721,0.00426844239087,-0.0128346977,0.001419174305,1.00030642887741,5410.60686422593,5705.08377993113
"b_mid_grouptenth",-0.0105243149210498,-0.010349499,0.0239219662188425,0.02373445821915,-0.0492783418,0.0291520906,1.00016796778586,4487.00652520286,5931.00517420349
"b_mid_groupfemale:logP",0.3342526402795,0.33366807,0.0773942968858144,0.07794584175,0.2087597615,0.4634585195,1.00132159820032,3368.86497341411,4799.9024753896
"b_mid_groupeighth:logP",0.16428649571295,0.164263545,0.0834171995662395,0.083410972218,0.0248318789,0.30030299,1.00023986958848,4650.27590417478,5385.83225623103
"b_mid_groupninth:logP",0.3361012532095,0.33603808,0.0796033618862098,0.079256578758,0.204610005,0.468211165,1.00077927459705,4845.03058207038,4923.46652497882
"b_mid_grouptenth:logP",0.175817447301964,0.17526555,0.12311730594482,0.1235193541638,-0.02526635665,0.3776196515,1.00015181540528,6176.31192438481,5048.52998943387
"b_mid_groupfemale:logH",0.41575427967,0.41655813,0.0660075039932864,0.065570905722,0.307798851,0.52395957,1.00048315870464,3146.92292407482,5047.80263727934
"b_mid_groupeighth:logH",0.4616437401275,0.461474095,0.0543433712144667,0.0545755215810001,0.371338563,0.5485325555,1.0003419460089,4152.06116658513,5481.69611719751
"b_mid_groupninth:logH",0.35869285889375,0.35872638,0.0521170785120035,0.052129394667,0.2731717025,0.4448843595,1.00078688489474,5424.9823322778,6146.46026060268
"b_mid_grouptenth:logH",0.352266542598856,0.35264327,0.13535360899444,0.136579321074,0.1282244545,0.572317423,1.00024184080348,4182.9203427009,5501.2425085953
"b_hind_groupfemale",0.28535130515,0.285029325,0.0347654999114942,0.034182239973,0.228090258,0.342656307,1.00053098108477,3732.7626210712,4644.16845425214
"b_hind_groupeighth",-0.04325524873745,-0.0432934955,0.00978548025541149,0.009885709932,-0.05920006355,-0.0270394171,1.00044879185114,7663.78469511974,6627.94991624963
"b_hind_groupninth",-0.028837738197125,-0.028814425,0.00471097776394394,0.0046722856551,-0.0365646708,-0.02108156095,1.00003206223427,6186.30284345596,6744.2105426145
"b_hind_grouptenth",-0.0600204123414151,-0.0600973405,0.0263375904219337,0.0259609731549,-0.103404801,-0.0156659809,1.00000576253553,5495.60228362276,5464.51766468469
"b_hind_groupfemale:logP",0.218398728515925,0.21862593,0.0859986922948739,0.086457692979,0.0747246913,0.359166549,1.00041048361046,4206.70866531756,5388.68508781784
"b_hind_groupeighth:logP",0.256675662948743,0.25739993,0.0907607238808523,0.091321377105,0.1043675135,0.404099688,1.00022339672474,6052.93862381767,6005.41604247216
"b_hind_groupninth:logP",0.247627396453001,0.24833036,0.0858924221364814,0.084459504003,0.1043904075,0.389077509,1.00030981788061,5668.41991864283,6072.90601888565
"b_hind_grouptenth:logP",0.054470706502707,0.0546012405,0.134634673383436,0.1334500550754,-0.1652422285,0.2747718465,1.00032178983856,7354.91721361401,6699.07629939293
"b_hind_groupfemale:logH",0.62635531630125,0.62573571,0.0724178989173719,0.0723433261530001,0.5073870285,0.745421118,1.0006714958385,3818.89732666906,4946.08107324079
"b_hind_groupeighth:logH",0.3420293741575,0.342110175,0.0592802472055669,0.059745481215,0.244487769,0.4386083145,0.999968516093717,5365.9202493192,5961.61554403941
"b_hind_groupninth:logH",0.363697980185,0.36284563,0.0558216529442784,0.055753002501,0.272633649,0.4555883475,1.00039603544972,6366.25682492215,6172.16713297691
"b_hind_grouptenth:logH",0.513934255722962,0.515453995,0.149650199133313,0.147279015471,0.2673621705,0.7621436705,0.999870297141007,5173.39786576235,5124.73815831399
"b_earlin_groupfemale",0.144401768823959,0.14450717,0.0517384062091217,0.051515487072,0.05981680245,0.2300652065,1.00069224682462,4268.600407756,5159.61579276066
"b_earlin_groupeighth",-0.0197297998575532,-0.019774224,0.0149432914639498,0.01491797249796,-0.0441304032,0.004870929925,0.999806228028545,7849.18096476171,5949.69311261621
"b_earlin_groupninth",0.00223883359967166,0.0022825261,0.00726458396419478,0.00721691191704,-0.009639775705,0.0141409149,0.999754344850878,6762.21097284015,6453.25187846877
"b_earlin_grouptenth",-0.0105481048723285,-0.010281871,0.0392010618082825,0.0400518889554,-0.0751778505,0.0523925074,1.00028550211639,6398.06801085284,5534.56322632242
"b_earlin_groupfemale:logP",0.148458982912119,0.149124765,0.127719474774013,0.1282006214097,-0.05969481685,0.356516525,1.00045530670744,4643.98972690462,6035.98105293244
"b_earlin_groupeighth:logP",0.361769220766637,0.361041685,0.138276650390051,0.13625649975,0.1375609,0.5956095915,0.999765700924497,7019.90072679559,6152.41365778564
"b_earlin_groupninth:logP",0.470576255573425,0.47266372,0.133090177150349,0.129330556089,0.2478625895,0.686399522,0.99996356920205,6348.58938095945,5486.59851939594
"b_earlin_grouptenth:logP",0.288398250854698,0.289494225,0.197832991967114,0.197032491747,-0.03565195155,0.6165856335,1.00083169766407,8474.28264144761,6912.83879166496
"b_earlin_groupfemale:logH",0.387358917826825,0.3873914,0.108233536545661,0.108049211907,0.208742314,0.5653521885,1.00065063661652,4337.40215705844,5235.48915909672
"b_earlin_groupeighth:logH",0.161469223754919,0.16181256,0.0894724108615218,0.088109220423,0.01438438995,0.3113281115,0.999885864921671,5980.76748326116,5170.33823286295
"b_earlin_groupninth:logH",0.130497132780801,0.12990482,0.0863940364857246,0.0854543315682,-0.00935551800499999,0.272444293,1.00072561292956,6905.23399025181,5573.9987773447
"b_earlin_grouptenth:logH",0.275923576509564,0.27422481,0.220468203860512,0.22323070833,-0.08254616635,0.6433011995,1.00049015527584,5958.3785068403,5510.25708260112
"b_eye_groupfemale",-0.00868730432971628,-0.00854790665,0.0547767346323003,0.0539316891876,-0.0991797864,0.0816197157499999,1.0009406827152,6353.5385975671,5206.61972284277
"b_eye_groupeighth",-0.0364763812259174,-0.0365383715,0.0157047288479334,0.0156234794205,-0.06208801085,-0.0104929111500001,1.00084724409357,10544.3926093828,5736.69173183209
"b_eye_groupninth",-0.06398030924975,-0.064015911,0.00748405466926662,0.00749273126280001,-0.07604173495,-0.05152324385,1.00010406192781,8791.15663790971,6325.57853363717
"b_eye_grouptenth",-0.110342983835104,-0.11039047,0.0406827715812249,0.0411370239105,-0.1768943555,-0.04280798335,0.999939420046434,8457.00868358361,5514.24604403121
"b_eye_groupfemale:logP",0.352660332007536,0.351588675,0.134679258128337,0.13340167932,0.136543822,0.579403108,1.0009932549245,6380.80982608068,5648.20716583366
"b_eye_groupeighth:logP",-0.121204768656375,-0.122307145,0.144594929625136,0.143836573944,-0.3573734505,0.118538052,1.00049647027452,10537.659195877,6069.7218516936
"b_eye_groupninth:logP",0.0888027810692004,0.0880289065,0.137726733921445,0.1369495181397,-0.1386445725,0.320737541,1.00032357874265,8192.20039190503,6325.90476925982
"b_eye_grouptenth:logP",0.0742632732968841,0.0767191495,0.205307984979056,0.2056036010154,-0.2665885065,0.4071965585,1.00011246097465,11281.7723322336,6570.29014538079
