"trait","contrast","median","lower_95","upper_95","effect_median","effect_lower_95","effect_upper_95","probability_positive","probability_negative","probability_in_region","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","frequentist_p"
"fore","tenth_minus_eighth",-0.223261375,-0.528339863125,0.06798346325,-0.223261375,-0.528339863125,0.06798346325,0.071125,0.928875,,-0.219457767956772,-0.525143374307151,0.0862278383936069,0.15874996312844
"fore","tenth_minus_ninth",-0.092749895,-0.3945175667075,0.206300693,-0.092749895,-0.3945175667075,0.206300693,0.266875,0.733125,,-0.0886192657960967,-0.392231731391867,0.214993199799673,0.566125738646054
"mid","tenth_minus_eighth",-0.09836128,-0.39353975375,0.18769639125,-0.09836128,-0.39353975375,0.18769639125,0.255375,0.744625,,-0.0953918373976738,-0.390456613951807,0.19967293915646,0.525123464985123
"mid","tenth_minus_ninth",0.00215501500000001,-0.290438731,0.290228129,0.00215501500000001,-0.290438731,0.290228129,0.50625,0.49375,,0.00647087796998219,-0.286592787636118,0.299534543576082,0.965370147499506
"hind","tenth_minus_eighth",0.186920705,-0.12401468225,0.5123212525,0.186920705,-0.12401468225,0.5123212525,0.88,0.12,,0.190903351682379,-0.128366615291124,0.510173318655881,0.240251933180861
"hind","tenth_minus_ninth",0.164963455,-0.14861243125,0.488764045,0.164963455,-0.14861243125,0.488764045,0.850375,0.149625,,0.168344045206626,-0.148760652724092,0.485448743137344,0.296991001778332
"earlin","tenth_minus_eighth",0.123501165,-0.35962637125,0.6022563273675,0.123501165,-0.35962637125,0.6022563273675,0.690625,0.309375,,0.129483970956592,-0.355695070624646,0.61466301253783,0.599834369329631
"earlin","tenth_minus_ninth",0.15123327,-0.3144201085,0.6370672795,0.15123327,-0.3144201085,0.6370672795,0.737875,0.262125,,0.160273147557987,-0.321615439963628,0.642161735079602,0.513279237872104
"eye","tenth_minus_eighth",0.252337185,-0.251486304,0.7635311405,0.252337185,-0.251486304,0.7635311405,0.834875,0.165125,,0.263126849779043,-0.239943633546416,0.766197333104502,0.304166262702842
"eye","tenth_minus_ninth",0.37170783,-0.14100504225,0.88617302375,0.37170783,-0.14100504225,0.88617302375,0.923125,0.076875,,0.381467860404643,-0.118190830216951,0.881126551026236,0.134041616110532
