"fit","trait","group","observed_mean","replicated_mean_lower","replicated_mean_upper","observed_sd","replicated_sd_lower","replicated_sd_upper"
"integration_prior2_prior_only","fore","female",0.00252398052436941,-1.98650264025822,2.67177338559903,0.0491088518769583,0.062280254837546,1.40066336502334
"integration_prior2_prior_only","fore","eighth",-0.0892916172741325,-2.21530216886972,1.9088001830591,0.0570336387025075,0.0614243071380005,1.372028794073
"integration_prior2_prior_only","fore","ninth",0.0298561193714521,-2.20340803778589,1.99720171941613,0.0455446133674905,0.0782774610789881,1.37666393485398
"integration_prior2_prior_only","fore","tenth",0.116487707071613,-2.03018077011575,2.22931145881797,0.0299500270022133,0.0406319262623526,1.45601515478701
"integration_prior2_prior_only","mid","female",-0.00759048703383411,-2.60828443534739,2.32657442172753,0.0490536443178977,0.0651593440109564,1.11846237160623
"integration_prior2_prior_only","mid","eighth",-0.130554936522382,-2.6758659403633,2.07550640721555,0.0556654757117932,0.0915195850336237,1.16587359937811
"integration_prior2_prior_only","mid","ninth",-0.0186051672503194,-1.77079761965844,1.81053595330802,0.0469181122516426,0.0699830806852326,1.12143960446202
"integration_prior2_prior_only","mid","tenth",0.063032220340955,-2.01745777328727,2.22049566061412,0.0297932570765253,0.058746227121724,1.26688963540005
"integration_prior2_prior_only","hind","female",0.0530813316311323,-2.54938883963018,2.48530828265467,0.057090246644809,0.0872091028468803,0.904673160915847
"integration_prior2_prior_only","hind","eighth",-0.15729295268366,-1.96298809116118,1.87988939619062,0.0531631198131494,0.0466440130015367,0.889138519169472
"integration_prior2_prior_only","hind","ninth",-0.0383491769777212,-1.90554860678481,1.87987153639478,0.0435550559868974,0.082986801043834,0.857876260366456
"integration_prior2_prior_only","hind","tenth",0.0385740825259403,-2.2496000004233,2.2547158297647,0.0328393885805859,0.0484501801190749,0.89727443631386
"integration_prior2_prior_only","earlin","female",0.00182714788278329,-2.39171095879038,2.41709566691048,0.052984887772904,0.0627601872317533,0.900976887923993
"integration_prior2_prior_only","earlin","eighth",-0.103508086712686,-2.39943529559439,2.0028482324542,0.053498262945642,0.103719862227783,0.941077204686593
"integration_prior2_prior_only","earlin","ninth",-0.015965855566762,-1.90445440600132,2.02711788783491,0.0557243557378188,0.0735139609363208,0.895903962221576
"integration_prior2_prior_only","earlin","tenth",0.0535036281741475,-2.05831717698741,2.12896685570262,0.0482234147661895,0.0606141884881065,0.996845116405831
"integration_prior2_prior_only","eye","female",-0.140053260438262,-2.41818360447943,2.33277666186879,0.0623520908358125,0.0813357272785791,1.5176218741635
"integration_prior2_prior_only","eye","eighth",-0.183420622969945,-2.06649367574657,2.24401362174325,0.0693383925870415,0.0617548608387733,1.48667132252647
"integration_prior2_prior_only","eye","ninth",-0.0672245394454498,-1.71460236842731,1.78117890142627,0.0652427313706381,0.102523655640193,1.47993025399869
"integration_prior2_prior_only","eye","tenth",0.0596014326862062,-2.10312122221258,1.95277619536813,0.0541868285585567,0.0609710028854765,1.42279143163239
