"prior","class","coef","group","resp","dpar","nlpar","lb","ub","source"
"lkj(2)","rescor","","","","","",,,"user"
"student_t(3, 0, 0.15 * prior_scale)","sigma","","","fore","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupeighth","","fore","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupeighth:logH","","fore","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupeighth:logP","","fore","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupfemale","","fore","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupfemale:logH","","fore","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupfemale:logP","","fore","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupninth","","fore","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupninth:logH","","fore","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupninth:logP","","fore","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","grouptenth","","fore","","",,,"user"
"normal(0, 1 * prior_scale)","b","grouptenth:logH","","fore","","",,,"user"
"normal(0, 1 * prior_scale)","b","grouptenth:logP","","fore","","",,,"user"
"student_t(3, 0, 0.15 * prior_scale)","sigma","","","mid","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupeighth","","mid","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupeighth:logH","","mid","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupeighth:logP","","mid","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupfemale","","mid","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupfemale:logH","","mid","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupfemale:logP","","mid","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupninth","","mid","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupninth:logH","","mid","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupninth:logP","","mid","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","grouptenth","","mid","","",,,"user"
"normal(0, 1 * prior_scale)","b","grouptenth:logH","","mid","","",,,"user"
"normal(0, 1 * prior_scale)","b","grouptenth:logP","","mid","","",,,"user"
"student_t(3, 0, 0.15 * prior_scale)","sigma","","","hind","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupeighth","","hind","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupeighth:logH","","hind","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupeighth:logP","","hind","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupfemale","","hind","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupfemale:logH","","hind","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupfemale:logP","","hind","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupninth","","hind","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupninth:logH","","hind","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupninth:logP","","hind","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","grouptenth","","hind","","",,,"user"
"normal(0, 1 * prior_scale)","b","grouptenth:logH","","hind","","",,,"user"
"normal(0, 1 * prior_scale)","b","grouptenth:logP","","hind","","",,,"user"
"student_t(3, 0, 0.15 * prior_scale)","sigma","","","earlin","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupeighth","","earlin","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupeighth:logH","","earlin","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupeighth:logP","","earlin","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupfemale","","earlin","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupfemale:logH","","earlin","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupfemale:logP","","earlin","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupninth","","earlin","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupninth:logH","","earlin","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupninth:logP","","earlin","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","grouptenth","","earlin","","",,,"user"
"normal(0, 1 * prior_scale)","b","grouptenth:logH","","earlin","","",,,"user"
"normal(0, 1 * prior_scale)","b","grouptenth:logP","","earlin","","",,,"user"
"student_t(3, 0, 0.15 * prior_scale)","sigma","","","eye","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupeighth","","eye","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupeighth:logH","","eye","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupeighth:logP","","eye","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupfemale","","eye","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupfemale:logH","","eye","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupfemale:logP","","eye","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","groupninth","","eye","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupninth:logH","","eye","","",,,"user"
"normal(0, 1 * prior_scale)","b","groupninth:logP","","eye","","",,,"user"
"normal(0, 0.5 * prior_scale)","b","grouptenth","","eye","","",,,"user"
"normal(0, 1 * prior_scale)","b","grouptenth:logH","","eye","","",,,"user"
"normal(0, 1 * prior_scale)","b","grouptenth:logP","","eye","","",,,"user"
