"model","prior_scale","trait","contrast","effect_unit","region","median","lower_95","upper_95","effect_median","effect_lower_95","effect_upper_95","probability_positive","probability_negative","probability_in_region","frequentist_estimate","frequentist_lower_95","frequentist_upper_95","frequentist_p","frequentist_df","frequentist_holm_p"
"morphology",1,"fore","eighth_minus_tenth","percent length","",-0.1005989236,-0.1238861676125,-0.076379166525,-9.57043481933803,-11.651959615734,-7.35351445064818,0,1,,-0.098053997624806,-0.122168188267909,-0.0739398069817034,2.63320279658132e-14,303,5.26640559316265e-14
"morphology",1,"fore","ninth_minus_midpoint","percent length","within +/-2.5% (illustrative)",-0.000209297924999997,-0.015633116505,0.01500191068625,-0.0209276023717284,-1.5511553632417,1.51150041801467,0.48925,0.51075,0.998625,0.000111069035426875,-0.0154120040442532,0.0156341421151069,0.988775450758539,303,0.988775450758539
"morphology",1,"fore","tenth_minus_female","percent length","",0.156741931,0.13784150025,0.1755773149,16.9693713260104,14.7793610855511,19.1934139357696,1,0,,0.15655566157458,0.137207801298512,0.175903521850648,6.69750438100037e-42,303,2.00925131430011e-41
"morphology",1,"mid","eighth_minus_tenth","percent length","",-0.0942447665,-0.117852848125,-0.070712713925,-8.99400172193704,-11.1173164472696,-6.82704733994186,0,1,,-0.0918024371697587,-0.115774798552807,-0.06783007578671,5.64784032144299e-13,303,1.1295680642886e-12
"morphology",1,"mid","ninth_minus_midpoint","percent length","within +/-2.5% (illustrative)",0.00357213895,-0.01152921442,0.01800980765,0.357852664198218,-1.14630077088189,1.81729622248779,0.67625,0.32375,0.997125,0.00381802820075142,-0.0116137448638778,0.0192498012653807,0.626705186773493,303,0.626705186773493
"morphology",1,"mid","tenth_minus_female","percent length","",0.1148000095,0.096157481525,0.133295372425,12.1649095976063,10.09324268604,14.258743731549,1,0,,0.114680025754876,0.0954459612411125,0.133914090268639,1.8508531842124e-26,303,5.55255955263721e-26
"morphology",1,"hind","eighth_minus_tenth","percent length","",-0.104671803,-0.1300735234,-0.0782365875875,-9.93799451126406,-12.1969127267747,-7.52543826738669,0,1,,-0.102395041882447,-0.128289955165335,-0.0765001285995602,1.139313950615e-13,303,3.41794185184501e-13
"morphology",1,"hind","ninth_minus_midpoint","percent length","within +/-2.5% (illustrative)",0.00785829925,-0.0091206697625,0.02412707199875,0.788925672144523,-0.907920261917658,2.44204847787243,0.819375,0.180625,0.97875,0.00811221923757896,-0.00855716176017027,0.0247816002353282,0.339003121981288,303,0.339003121981288
"morphology",1,"hind","tenth_minus_female","percent length","",0.038548615,0.0177879931925,0.05926211585,3.93012527602551,1.79471417876656,6.1053323187361,1,0,,0.0385223225444016,0.0177457113168756,0.0592989337719277,0.000310394477156472,303,0.000620788954312944
"morphology",1,"earlin","eighth_minus_tenth","percent area","",-0.072523375,-0.104537862925,-0.0399971464925,-13.5018145736196,-18.8666205624118,-7.68783853594957,0,1,,-0.0700715553561987,-0.102827854127452,-0.0373152565849458,3.37669456396914e-05,303,6.75338912793829e-05
"morphology",1,"earlin","ninth_minus_midpoint","percent area","within +/-2.5% (illustrative)",0.0061799965,-0.014469758085,0.026699969675,1.24366933931676,-2.85247787682,5.4851437366282,0.72,0.28,0.675125,0.00659079684336179,-0.0144954766779697,0.0276770703646932,0.538970310305358,303,0.538970310305358
"morphology",1,"earlin","tenth_minus_female","percent area","",0.074914229,0.049136801625,0.10114004025,16.1634956452089,10.3264600598109,22.4190832080307,1,0,,0.0748143981329113,0.048532599951615,0.101096196314208,4.76756413139605e-08,303,1.43026923941881e-07
"morphology",1,"eye","eighth_minus_tenth","percent length","",-0.144673774,-0.1829425351,-0.104425236625,-13.4695468092353,-16.71839879491,-9.91578551116167,0,1,,-0.1411753320607,-0.180092335938907,-0.102258328182494,7.01505624857081e-12,303,1.40301124971416e-11
"morphology",1,"eye","ninth_minus_midpoint","percent length","within +/-2.5% (illustrative)",-0.01534104075,-0.0405667833,0.0101053454,-1.52239664295751,-3.97549659621672,1.01565768278297,0.11975,0.88025,0.781875,-0.0145730815009074,-0.0396251972523597,0.010479034250545,0.253235143108986,303,0.253235143108986
"morphology",1,"eye","tenth_minus_female","percent length","",0.239514903,0.208504729275,0.27098407845,27.0632620722751,23.1834755732481,31.1254193019192,1,0,,0.239129587398881,0.207904788501718,0.270354386296043,1.09627474397329e-38,303,3.28882423191988e-38
