"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"b_fore_groupfemale",0.0062317800432,0.00131917795,0.490821754122071,0.48677349161133,-0.7877753215,0.7908289935,1.00217050929249,4281.50084373411,1526.11866198841
"b_fore_groupeighth",-0.00611034343629499,-0.0101180462,0.500776382031219,0.49511574696612,-0.808164392,0.82387483,1.00732222486936,3134.53839295801,1406.48980884489
"b_fore_groupninth",0.00213270201395,-0.00648460365,0.500634821663795,0.504390179139,-0.790627961,0.803246186,1.00080021120505,3689.88273685001,1386.8842371625
"b_fore_grouptenth",0.00249867425946999,0.0108635235,0.503726148424688,0.516913063821,-0.837482605,0.8062814085,1.00109614626674,4257.27524930491,1390.49435455514
"b_fore_groupfemale:logP",-0.000271817437495,-0.030379565,0.971283905637077,1.000080535608,-1.593935105,1.60010577,1.00603504814654,3890.91365414688,1441.42533058779
"b_fore_groupeighth:logP",-0.00187455479921996,-0.0115551884,1.00416245044992,1.01455989127416,-1.640529715,1.67023049,1.00102545415101,3680.65063575493,1442.83311789231
"b_fore_groupninth:logP",0.00969573204096996,0.0087578224,1.00884748849827,0.98449372844676,-1.6618138,1.68137223,1.0031400044549,4511.98894543775,1567.36674237939
"b_fore_grouptenth:logP",-0.00906539186150499,-0.0059635197,0.985703320390832,1.02969334263222,-1.58000811,1.579027905,1.0021097256058,3867.29670074604,1305.19663415054
"b_mid_groupfemale",0.011318502106845,0.016516981,0.504075459502232,0.5142266059644,-0.825123563,0.8521782585,1.00324413520894,3341.02434348755,1306.85515552916
"b_mid_groupeighth",-0.01046298182005,-0.012929463,0.496646088997837,0.492345470022,-0.8202738085,0.808465075,1.00131288759309,3915.78888302716,899.901544876422
"b_mid_groupninth",-0.01148545999933,-0.00533594615,0.464602464155315,0.46083718239699,-0.7758709955,0.753818021,1.00075424876878,3570.76045963076,1634.9625588749
"b_mid_grouptenth",0.010503143891705,0.013331376,0.497902275340308,0.4928544777366,-0.79775987,0.804638414,1.0041632027659,4190.93907528579,1438.02330256793
"b_mid_groupfemale:logP",-0.019674768946385,-0.0094459172,1.01176465677172,0.99087297017772,-1.691750745,1.610347775,1.00445546070535,3231.74839918133,1407.22919468767
"b_mid_groupeighth:logP",-0.037819017708032,-0.041990175,0.995924550851049,0.991675298145,-1.682612365,1.603057215,1.00078737440839,3388.38866687157,1546.31770421861
"b_mid_groupninth:logP",-0.00320053740974998,-0.0123203365,0.998677394729751,0.98667244977,-1.601977555,1.652500975,1.00020242051404,4005.31301186147,1513.85893810158
"b_mid_grouptenth:logP",-0.00892646543880003,-0.016725599,0.996860451403669,0.9998690812656,-1.64237797,1.607436885,1.00051463227202,3758.29048125145,1000.41109094609
"b_hind_groupfemale",0.00587331385178,0.0061320586,0.493262593516113,0.512881103469,-0.818080083,0.8150586385,1.00442048934336,4434.37388933802,1531.53554034899
"b_hind_groupeighth",0.00148071816699999,0.00901575525,0.499432534327032,0.508441769115,-0.8333815325,0.8332184875,1.00178791957507,3507.78023076037,1681.57892520483
"b_hind_groupninth",0.01980525815519,0.015224888,0.504442795333584,0.5002607867628,-0.810996195,0.8649075465,0.999786828245856,3395.95252404263,1546.86808684705
"b_hind_grouptenth",-0.001422924383055,0.00438737675,0.514370354106656,0.50690726069445,-0.8565071715,0.82599897,1.00137789137524,4156.24714957132,1153.54661004562
"b_hind_groupfemale:logP",-0.002817370536196,0.000674405939,0.959517561289602,0.916602200066839,-1.591922485,1.567318025,0.999189327005012,3850.64038756939,1364.48272719221
"b_hind_groupeighth:logP",0.0125557330085,-0.00231883335,1.05547221177942,1.05923031058929,-1.650389085,1.770285285,1.00102611379498,4035.70590121711,1122.99022893606
"b_hind_groupninth:logP",-0.01756004361802,-0.034776943,0.974657464441278,0.9940789752558,-1.622362135,1.593754215,1.00865391761633,3532.55373267397,1323.44439696104
"b_hind_grouptenth:logP",0.000191714077151004,0.0109111945,0.989535364222629,0.989639124957,-1.632366095,1.630471875,1.0075270841714,3870.57758910629,1508.46734666654
"b_earlin_groupfemale",0.002198459239166,0.0090443785,0.494902599555236,0.4847867845569,-0.8179228995,0.8118814825,1.00551491386752,4441.83066661895,1542.22643313711
"b_earlin_groupeighth",0.00730910850857999,0.010499275,0.501109892402901,0.532301102655,-0.8088429845,0.8244401,1.00265253474128,4112.2765364619,1521.64188203759
"b_earlin_groupninth",0.00208460041301502,0.00172154075,0.506052563775114,0.49700488782105,-0.8385638085,0.838312468,1.00382530938972,4996.16551897701,1498.59035441995
"b_earlin_grouptenth",-0.01285450814302,-0.018334541,0.489213747027227,0.4911030971826,-0.7967654085,0.783455514,1.00210462903633,4139.66400768464,1291.76160545705
"b_earlin_groupfemale:logP",0.00777241703121998,0.0135763195,1.02322773915259,1.0367287700763,-1.71596026,1.73031747,1.00641629497088,5390.79959732994,1430.99866949355
"b_earlin_groupeighth:logP",-0.00113079215999498,0.017234209,0.975335399287859,0.9893008386324,-1.620756345,1.538553085,1.00555603377569,3798.97022533521,1358.51975814985
"b_earlin_groupninth:logP",-0.019049909982685,-0.000955324435,1.00343374618438,1.054140764733,-1.72172568,1.60678596,1.00042147865862,3774.38171750708,1301.26787844178
"b_earlin_grouptenth:logP",0.00820804458016,0.0068615525,1.02680348063542,1.049597789226,-1.67422807,1.71889906,1.00502545866029,3560.16566728273,1475.63688366501
"b_eye_groupfemale",-0.00969908871893,0.00612635565,0.502336433884259,0.51637858007169,-0.842951418,0.8121928465,1.0013554012043,2860.58300655734,1272.73428695187
"b_eye_groupeighth",0.000589072781005006,0.00211607365,0.49103541531096,0.50395608327351,-0.8371830945,0.786164804,1.00515816155935,3741.46927599933,1172.48688568323
"b_eye_groupninth",0.002413658165395,0.0063113271,0.504366088689677,0.51778962571854,-0.832766947,0.8124286365,0.99948450606998,3284.94066617069,1303.67573520667
"b_eye_grouptenth",0.00240816491797899,-0.0018390254,0.49741567687921,0.50387447096196,-0.8075344535,0.8268633275,1.00571213163821,4528.28425324607,1535.03625199823
"b_eye_groupfemale:logP",0.0139001182691,0.013819781,0.986420889590597,0.989094743889,-1.55620171,1.67705182,1.000205919762,3813.22840403506,1327.10017772498
