"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"b_fore_groupfemale",-0.054301009842125,-0.054220178,0.00556516277205132,0.0055622689374,-0.06351442225,-0.04520716145,1.00154388211929,3408.10337275897,4664.57716012072
"b_fore_groupeighth",0.00387926386218627,0.0037851804,0.00930102110666868,0.00932272423551,-0.0113095872,0.0190425963,1.0023000648689,3062.3283205858,4206.33968345284
"b_fore_groupninth",0.053059963212375,0.0530341755,0.0049531816763071,0.0049294063014,0.04494455985,0.06127984645,1.00017927872308,3967.54660149211,5645.58381175997
"b_fore_grouptenth",0.102391688169875,0.102422535,0.00805128431877001,0.008018449362,0.0892382032,0.115439921,1.0000596444135,3281.0402932175,4895.79764930287
"b_fore_groupfemale:logP",0.70975019467375,0.708774,0.0578181653182536,0.056942803827,0.6153488145,0.8050127735,1.00206221418066,3292.21525303896,4690.20957308008
"b_fore_groupeighth:logP",0.75040867087625,0.7488962,0.0676652071409372,0.0677906099640001,0.6393811135,0.86092514,1.00257625006858,3094.55400396611,4411.94343847555
"b_fore_groupninth:logP",0.59856986201125,0.59804548,0.0828393968349848,0.081025528122,0.4622371715,0.737711399,1.00026568796978,3764.42704944853,5244.80486421907
"b_fore_grouptenth:logP",0.325667204975558,0.32503121,0.137105790706074,0.138075219996,0.1011681115,0.5496807775,1.00003073013907,3463.56159373915,5237.19274128793
"b_mid_groupfemale",-0.0657489111085,-0.0656689045,0.00555707399856542,0.0054836651919,-0.07498641625,-0.05664636815,1.00160271211526,3430.63665749158,5443.67076374963
"b_mid_groupeighth",-0.043317062174125,-0.0433902585,0.00918634055185535,0.009024563961,-0.0583656103,-0.02846381635,1.00246415775426,3121.83797117909,4581.20041886372
"b_mid_groupninth",0.00658809884377021,0.00653974015,0.00493371563230532,0.0049188635328,-0.001400796375,0.01481310615,1.0003516293494,4193.80977702134,5641.37382730065
"b_mid_grouptenth",0.049042628958375,0.048970232,0.00804204931844238,0.0081491146065,0.03578970485,0.06209849605,1.00006949324724,3381.7007075636,4977.49822327615
"b_mid_groupfemale:logP",0.7263735024925,0.72644809,0.0577544758034411,0.05763147894,0.6326477845,0.82089038,1.00185374045147,3338.35729481674,4586.5053919408
"b_mid_groupeighth:logP",0.702617725385,0.702638675,0.0673080833429345,0.065735563278,0.5898647785,0.8138498675,1.00262485718431,3156.49061448155,4647.91317495065
"b_mid_groupninth:logP",0.64963328181375,0.64809684,0.0826490781502186,0.0825544593719999,0.515090849,0.788131403,1.00040350380641,3816.47177705466,5233.33608255022
"b_mid_grouptenth:logP",0.323020292557152,0.32408936,0.136424096712336,0.138548658654,0.09997301915,0.5484861525,1.00024088794514,3507.44655242606,5188.94846272188
"b_hind_groupfemale",-0.0116076168301257,-0.0117159225,0.00604271648109724,0.00589621761918,-0.02153535945,-0.00166098199500002,1.00095167174565,3989.59747836622,5380.38245230089
