group_1,group_2,matrix_type,target_n,median_distance,lower_95,upper_95,trait_set,analysis_role
Eighth instar,Ninth instar,covariance,38,1.1446475014633726,0.6312232484834885,2.0930070250876014,five_non_head_traits,supporting_rarefaction
Eighth instar,Tenth instar,covariance,38,1.6690990351958892,0.973114535841443,2.501576027085364,five_non_head_traits,supporting_rarefaction
Female,Eighth instar,covariance,38,1.3993805260609848,0.7651261446108516,2.4714077092183935,five_non_head_traits,supporting_rarefaction
Female,Ninth instar,covariance,38,1.363447413814654,0.719657108802233,2.728149847258011,five_non_head_traits,supporting_rarefaction
Female,Tenth instar,covariance,38,1.09586198692803,0.6568801372523199,2.1631136269089652,five_non_head_traits,supporting_rarefaction
Ninth instar,Tenth instar,covariance,38,1.5146297689132235,0.786934865465046,2.584700162979588,five_non_head_traits,supporting_rarefaction
Eighth instar,Ninth instar,correlation,38,0.6705876978115799,0.3368250934709495,1.2206945890664576,five_non_head_traits,supporting_rarefaction
Eighth instar,Tenth instar,correlation,38,0.702798706631949,0.38972255373248826,1.1393111099967141,five_non_head_traits,supporting_rarefaction
Female,Eighth instar,correlation,38,0.6638744674098583,0.3265258289861358,1.1483025018715498,five_non_head_traits,supporting_rarefaction
Female,Ninth instar,correlation,38,0.6244003556588065,0.28882450609833155,1.3135376395063638,five_non_head_traits,supporting_rarefaction
Female,Tenth instar,correlation,38,0.7329367198259071,0.4541355770040236,1.26392819457371,five_non_head_traits,supporting_rarefaction
Ninth instar,Tenth instar,correlation,38,0.5939478127233451,0.35416426226353076,0.9541784440090729,five_non_head_traits,supporting_rarefaction
