"item","value"
"input_rows","313"
"complete_case_rows","311"
"omitted_IDs","QUAR;TWQN"
"reference_pronotum_mm","7.2"
"permutations","9999"
"bootstrap_reps","9999"
"primary_scenario","standardized_head_excluded"
"primary_trait_set","head_excluded_five_traits"
"primary_excludes_head","TRUE"
"RRPP_installed","FALSE"
"geomorph_installed","FALSE"
"evolqg_installed","FALSE"
"response_residual_SD_head","0.219430020205209"
"response_residual_SD_foreleg","0.0604277403872215"
"response_residual_SD_midleg","0.0491310986571326"
"response_residual_SD_hindleg","0.0418720693163953"
"response_residual_SD_ear","0.0526278469005162"
"response_residual_SD_eye","0.0915971864846738"
