trait_1,trait_2,correlation,group,trait_set
Foreleg,Foreleg,1,Female,five_non_head_traits
Midleg,Foreleg,0.8365804416516334,Female,five_non_head_traits
Hindleg,Foreleg,0.7169216995055242,Female,five_non_head_traits
Linearized ear,Foreleg,0.5194209717109628,Female,five_non_head_traits
Eye,Foreleg,0.3076733933739236,Female,five_non_head_traits
Foreleg,Midleg,0.8365804416516334,Female,five_non_head_traits
Midleg,Midleg,1,Female,five_non_head_traits
Hindleg,Midleg,0.7521648110054174,Female,five_non_head_traits
Linearized ear,Midleg,0.4498286561926664,Female,five_non_head_traits
Eye,Midleg,0.30923329725500637,Female,five_non_head_traits
Foreleg,Hindleg,0.7169216995055242,Female,five_non_head_traits
Midleg,Hindleg,0.7521648110054174,Female,five_non_head_traits
Hindleg,Hindleg,1,Female,five_non_head_traits
Linearized ear,Hindleg,0.3868338133598763,Female,five_non_head_traits
Eye,Hindleg,0.33765585365564194,Female,five_non_head_traits
Foreleg,Linearized ear,0.5194209717109628,Female,five_non_head_traits
Midleg,Linearized ear,0.4498286561926664,Female,five_non_head_traits
Hindleg,Linearized ear,0.3868338133598763,Female,five_non_head_traits
Linearized ear,Linearized ear,1,Female,five_non_head_traits
Eye,Linearized ear,0.04866822303544417,Female,five_non_head_traits
Foreleg,Eye,0.3076733933739236,Female,five_non_head_traits
Midleg,Eye,0.30923329725500637,Female,five_non_head_traits
Hindleg,Eye,0.33765585365564194,Female,five_non_head_traits
Linearized ear,Eye,0.04866822303544417,Female,five_non_head_traits
Eye,Eye,1,Female,five_non_head_traits
Foreleg,Foreleg,1,Eighth instar,five_non_head_traits
Midleg,Foreleg,0.9016907771911911,Eighth instar,five_non_head_traits
Hindleg,Foreleg,0.6552597786459802,Eighth instar,five_non_head_traits
Linearized ear,Foreleg,0.486886660808359,Eighth instar,five_non_head_traits
Eye,Foreleg,0.3967048128384957,Eighth instar,five_non_head_traits
Foreleg,Midleg,0.9016907771911911,Eighth instar,five_non_head_traits
Midleg,Midleg,1,Eighth instar,five_non_head_traits
Hindleg,Midleg,0.6609180704361011,Eighth instar,five_non_head_traits
Linearized ear,Midleg,0.4225749377529152,Eighth instar,five_non_head_traits
Eye,Midleg,0.32488835073269595,Eighth instar,five_non_head_traits
Foreleg,Hindleg,0.6552597786459802,Eighth instar,five_non_head_traits
Midleg,Hindleg,0.6609180704361011,Eighth instar,five_non_head_traits
Hindleg,Hindleg,1,Eighth instar,five_non_head_traits
Linearized ear,Hindleg,0.31698576693829517,Eighth instar,five_non_head_traits
Eye,Hindleg,0.26542842277902706,Eighth instar,five_non_head_traits
Foreleg,Linearized ear,0.486886660808359,Eighth instar,five_non_head_traits
Midleg,Linearized ear,0.4225749377529152,Eighth instar,five_non_head_traits
Hindleg,Linearized ear,0.31698576693829517,Eighth instar,five_non_head_traits
Linearized ear,Linearized ear,1,Eighth instar,five_non_head_traits
Eye,Linearized ear,0.09586430912062001,Eighth instar,five_non_head_traits
Foreleg,Eye,0.3967048128384957,Eighth instar,five_non_head_traits
Midleg,Eye,0.32488835073269595,Eighth instar,five_non_head_traits
Hindleg,Eye,0.26542842277902706,Eighth instar,five_non_head_traits
Linearized ear,Eye,0.09586430912062001,Eighth instar,five_non_head_traits
Eye,Eye,1,Eighth instar,five_non_head_traits
Foreleg,Foreleg,1,Ninth instar,five_non_head_traits
Midleg,Foreleg,0.8804511547124931,Ninth instar,five_non_head_traits
Hindleg,Foreleg,0.7274737224272254,Ninth instar,five_non_head_traits
Linearized ear,Foreleg,0.5746896436371589,Ninth instar,five_non_head_traits
Eye,Foreleg,0.3704832168860884,Ninth instar,five_non_head_traits
Foreleg,Midleg,0.8804511547124931,Ninth instar,five_non_head_traits
Midleg,Midleg,1,Ninth instar,five_non_head_traits
Hindleg,Midleg,0.7910306219073504,Ninth instar,five_non_head_traits
Linearized ear,Midleg,0.5222504072203161,Ninth instar,five_non_head_traits
Eye,Midleg,0.400555333874104,Ninth instar,five_non_head_traits
Foreleg,Hindleg,0.7274737224272254,Ninth instar,five_non_head_traits
Midleg,Hindleg,0.7910306219073504,Ninth instar,five_non_head_traits
Hindleg,Hindleg,1,Ninth instar,five_non_head_traits
Linearized ear,Hindleg,0.33854927434722976,Ninth instar,five_non_head_traits
Eye,Hindleg,0.45958435242510687,Ninth instar,five_non_head_traits
Foreleg,Linearized ear,0.5746896436371589,Ninth instar,five_non_head_traits
Midleg,Linearized ear,0.5222504072203161,Ninth instar,five_non_head_traits
Hindleg,Linearized ear,0.33854927434722976,Ninth instar,five_non_head_traits
