group,leg,relative_head_size.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
female,Foreleg,0.41939384062280244,0.0704591250262028,527.4732431242377,0.28097889257014474,0.5578087886754601,5.9522998684249275,4.825878631539676e-9
eighth,Foreleg,0.4585690665367195,0.0570890907983796,527.4736332301916,0.34641917082267776,0.5707189622507614,8.032516547797874,6.276414456992454e-15
ninth,Foreleg,0.3228815883391385,0.05465691080222447,527.4732431242174,0.21550964089308092,0.4302535357851961,5.907424762945029,6.235017898868048e-9
tenth,Foreleg,0.23426232254313512,0.14492761649724153,527.4732431242174,-0.05044385996198525,0.5189685050482555,1.6164091303302013,0.10660376815952803
female,Midleg,0.42158156291773863,0.07045912502620251,527.4732431242377,0.2831666148650815,0.5599965109703957,5.98334939244505,4.038196469159719e-9
eighth,Midleg,0.4716178255602308,0.057141746657073625,528.7151749819717,0.3593650951064704,0.5838705560139912,8.25347234116878,1.2344681570461995e-15
ninth,Midleg,0.36055437495829873,0.054656910802224554,527.4732431242174,0.253182427512241,0.46792632240435644,6.596684109406785,1.024124287438224e-10
tenth,Midleg,0.36702525292833965,0.14492761649724167,527.4732431242174,0.08231907042321901,0.6517314354334602,2.5324728426436587,0.011615009646678616
female,Hindleg,0.6327578886358393,0.0704591250262025,527.4732431242377,0.4943429405831822,0.7711728366884963,8.980495974091756,4.760544498323975e-18
eighth,Hindleg,0.34803057958189854,0.057339796432850726,534.0952118724838,0.235391391294421,0.4606697678693761,6.069616588009148,2.432729207928346e-9
ninth,Hindleg,0.36504892643422865,0.05465691080222456,527.4732431242174,0.2576769789881709,0.4724208738802864,6.678916189668206,6.121065333509143e-11
tenth,Hindleg,0.5333929716409134,0.14492761649724165,527.4732431242174,0.24868678913579279,0.818099154146034,3.6804094659975672,2.5680605188564015e-4
