term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
logP_c,NA,NA,1,301.08,309.078,4.2528700909124887e-48
group,NA,NA,3,301.09,87.24,1.2018822088274916e-40
leg,NA,NA,2,300.33,14866.698,4.625829051173767e-301
relative_head_size,NA,NA,1,301.07,109.422,4.763547892891095e-22
logP_c:group,NA,NA,3,300.99,5.783,7.427990315544919e-4
logP_c:leg,NA,NA,2,300.12,0.268,0.7647884583346258
group:leg,NA,NA,6,300.16,75.274,5.98148223097401e-57
group:relative_head_size,NA,NA,3,300.98,1.165,0.3231471972662865
leg:relative_head_size,NA,NA,2,300.11,3.604,0.028400568045308414
logP_c:group:leg,NA,NA,6,300.1,1.866,0.08645122016363131
group:leg:relative_head_size,NA,NA,6,300.1,3.625,0.0017348447544501707
