contrast,leg,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
female - eighth,Foreleg,-0.039175225913917096,0.09068435690704162,527.4733977293918,-0.27932975242828617,0.200979300600452,-0.4319954096832234,1
female - ninth,Foreleg,0.09651225228366392,0.08917323700472243,527.4732431242174,-0.13964045657146637,0.3326649611387942,1.082300649000247,1
female - tenth,Foreleg,0.18513151807966732,0.1611474552173555,527.4732431242174,-0.24162665907020958,0.6118896952295443,1.14883302271179,1
eighth - ninth,Foreleg,0.135687478197581,0.07903506934663848,527.4734466639135,-0.07361686378240753,0.3449918201775696,1.7168009001481577,0.5196156315456507
eighth - tenth,Foreleg,0.2243067439935844,0.1557664222859251,527.4732955254095,-0.18820113161165258,0.6368146195988214,1.440019875283818,0.7522750618323641
ninth - tenth,Foreleg,0.0886192657960034,0.1548915489044313,527.4732431242174,-0.32157172963249314,0.4988102612244999,0.5721375144274775,1
female - eighth,Midleg,-0.05003626264249217,0.0907175149046711,527.9656699689701,-0.2902777517839774,0.19020522649899305,-0.5515612138964774,1
female - ninth,Midleg,0.06102718795943985,0.08917323700472227,527.4732431242174,-0.17512552089569,0.2971798968145697,0.6843666329641941,1
female - tenth,Midleg,0.05455630998939898,0.1611474552173555,527.4732431242174,-0.37220186716047793,0.4813144871392759,0.3385490010736657,1
eighth - ninth,Midleg,0.11106345060193201,0.07907311243060765,528.1214666153846,-0.09834066620889059,0.3204675674127546,1.4045665737439916,0.9644283307023442
eighth - tenth,Midleg,0.10459257263189115,0.1557857285973036,527.6401777834728,-0.3079659369129227,0.5171510821767049,0.6713873830012788,1
ninth - tenth,Midleg,-0.006470877970040867,0.1548915489044315,527.4732431242174,-0.41666187339853794,0.4037201174584562,-0.04177683040688951,1
female - eighth,Hindleg,0.2847273090539407,0.0908423940372489,530.1025911751871,0.044158777856638354,0.5252958402512431,3.134299927599789,0.0109081530162847
female - ninth,Hindleg,0.26770896220161056,0.08917323700472227,527.4732431242174,0.03155625334648071,0.5038616710567404,3.0021222868407675,0.014040428349955829
female - tenth,Hindleg,0.09936491699492594,0.16114745521735546,527.4732431242174,-0.3273932601549509,0.5261230941448027,0.616608663542981,1
eighth - ninth,Hindleg,-0.017018346852330196,0.0792163502908528,530.9334652500103,-0.22679759045531306,0.19276089675065267,-0.21483376588097272,1
eighth - tenth,Hindleg,-0.18536239205901478,0.15585848157393398,528.3651440613302,-0.5981114260951983,0.22738664197716874,-1.189299357899141,0.939424287493506
ninth - tenth,Hindleg,-0.16834404520668458,0.15489154890443146,527.4732431242174,-0.5785350406351816,0.24184695022181238,-1.0868510670685678,0.939424287493506
