contrast,group,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,Holm_family
Foreleg - Midleg,Female,-0.0021877222949416714,0.04278509581036663,300.9203592327116,-0.10519022355414076,0.10081477896425742,-0.05113281280561247,0.9592536138047619,Three leg slope contrasts within Female
Foreleg - Hindleg,Female,-0.2133640480130694,0.067369403028502,302.45678044953246,-0.3755471347534841,-0.0511809612726547,-3.167076423740929,0.0033940737236140594,Three leg slope contrasts within Female
Midleg - Hindleg,Female,-0.21117632571812772,0.06344994252227022,302.5685778214515,-0.3639235048188507,-0.058429146617404726,-3.3282350987789657,0.002945862532127707,Three leg slope contrasts within Female
Foreleg - Midleg,Eighth instar,-0.013647040633013335,0.03471459096418181,301.10041000747094,-0.0972200142180855,0.06992593295205883,-0.39312117049266765,0.6945081786148809,Three leg slope contrasts within Eighth instar
Foreleg - Hindleg,Eighth instar,0.1105141109009029,0.05494409834583441,304.26091847925017,-0.02175228327841297,0.24278050508021878,2.0113918369411468,0.09033127477394656,Three leg slope contrasts within Eighth instar
Midleg - Hindleg,Eighth instar,0.12416115153391624,0.05179333294880425,303.9809834759846,-5.210739317098034e-4,0.2488433769995423,2.397241970441347,0.05136729851469507,Three leg slope contrasts within Eighth instar
Foreleg - Midleg,Ninth instar,-0.03767278661915467,0.03318947211595648,300.92035923282964,-0.11757441074003937,0.042228837501730024,-1.1350824287754415,0.7717322355384039,Three leg slope contrasts within Ninth instar
Foreleg - Hindleg,Ninth instar,-0.04216733809508688,0.05226013594064081,302.45678044964626,-0.16797682696262176,0.08364215077244799,-0.8068738692716426,0.8407463531287593,Three leg slope contrasts within Ninth instar
Midleg - Hindleg,Ninth instar,-0.004494551475932203,0.04921971210338359,302.5685778215261,-0.1229843700806181,0.11399526712875371,-0.0913160862560841,0.9273018615961341,Three leg slope contrasts within Ninth instar
Foreleg - Midleg,Tenth instar,-0.13276293038523554,0.08800481066287152,300.9203592327875,-0.3446291293367324,0.07910326856626129,-1.5085871941003683,0.2649069690895421,Three leg slope contrasts within Tenth instar
Foreleg - Hindleg,Tenth instar,-0.2991306490978085,0.1385723566980414,302.4567804495494,-0.6327255977820652,0.034464299586448144,-2.158660328983468,0.09498880304902374,Three leg slope contrasts within Tenth instar
Midleg - Hindleg,Tenth instar,-0.16636771871257303,0.13051040490809232,302.56857782150854,-0.4805539165331185,0.14781847910797244,-1.27474678229473,0.2649069690895421,Three leg slope contrasts within Tenth instar
