ID,trait,group,included
ACGN,foreleg,Female,TRUE
ACIU,foreleg,Female,TRUE
AGNG,foreleg,Female,TRUE
AIZJ,foreleg,Female,TRUE
AKPI,foreleg,Tenth instar,TRUE
AQZC,foreleg,Eighth instar,TRUE
ASOK,foreleg,Female,TRUE
ATEZ,foreleg,Female,TRUE
AZJJ,foreleg,Female,TRUE
BBRM,foreleg,Ninth instar,TRUE
BCSB,foreleg,Female,TRUE
BLLA,foreleg,Ninth instar,TRUE
BYLH,foreleg,Female,TRUE
BZCS,foreleg,Ninth instar,TRUE
CAPF,foreleg,Tenth instar,TRUE
CAXC,foreleg,Eighth instar,TRUE
CBMA,foreleg,Female,TRUE
CBRE,foreleg,Eighth instar,TRUE
CCQV,foreleg,Female,TRUE
CGRD,foreleg,Eighth instar,TRUE
CHCF,foreleg,Female,TRUE
CPWC,foreleg,Female,TRUE
CTFK,foreleg,Tenth instar,TRUE
CVHB,foreleg,Female,TRUE
CVLU,foreleg,Eighth instar,TRUE
CVQJ,foreleg,Female,TRUE
CWPJ,foreleg,Ninth instar,TRUE
CWRT,foreleg,Eighth instar,TRUE
DESX,foreleg,Female,TRUE
DFDF,foreleg,Ninth instar,TRUE
DFME,foreleg,Eighth instar,TRUE
DJFZ,foreleg,Tenth instar,TRUE
DNHH,foreleg,Tenth instar,TRUE
DOCI,foreleg,Ninth instar,TRUE
DQAS,foreleg,Eighth instar,TRUE
DQAV,foreleg,Eighth instar,TRUE
DSPJ,foreleg,Eighth instar,TRUE
DUFU,foreleg,Ninth instar,TRUE
DYFV,foreleg,Tenth instar,TRUE
EAXA,foreleg,Ninth instar,TRUE
EAXN,foreleg,Eighth instar,TRUE
ECHF,foreleg,Ninth instar,TRUE
ECJN,foreleg,Tenth instar,TRUE
ECOO,foreleg,Ninth instar,TRUE
EDIK,foreleg,Eighth instar,TRUE
EFLR,foreleg,Ninth instar,TRUE
EJSA,foreleg,Ninth instar,TRUE
EMIY,foreleg,Female,TRUE
EMMR,foreleg,Tenth instar,TRUE
EWKB,foreleg,Ninth instar,TRUE
EXFC,foreleg,Eighth instar,TRUE
FDUO,foreleg,Female,TRUE
FFVD,foreleg,Female,TRUE
FHEO,foreleg,Female,TRUE
FJIV,foreleg,Ninth instar,TRUE
FKWM,foreleg,Eighth instar,TRUE
FLUS,foreleg,Female,TRUE
FRAY,foreleg,Female,TRUE
FRKH,foreleg,Female,TRUE
FXZS,foreleg,Ninth instar,TRUE
FYEF,foreleg,Female,TRUE
FZRV,foreleg,Female,TRUE
GDWH,foreleg,Tenth instar,TRUE
GLXO,foreleg,Female,TRUE
GMLX,foreleg,Eighth instar,TRUE
GRAC,foreleg,Ninth instar,TRUE
GRRD,foreleg,Female,TRUE
GVKA,foreleg,Eighth instar,TRUE
GWYL,foreleg,Eighth instar,TRUE
GXQD,foreleg,Ninth instar,TRUE
GYFU,foreleg,Female,TRUE
HDAF,foreleg,Tenth instar,TRUE
HDAI,foreleg,Female,TRUE
HDZC,foreleg,Tenth instar,TRUE
HEDP,foreleg,Eighth instar,TRUE
HIHW,foreleg,Eighth instar,TRUE
HKWK,foreleg,Eighth instar,TRUE
HNNH,foreleg,Female,TRUE
HNUV,foreleg,Eighth instar,TRUE
HOHH,foreleg,Ninth instar,TRUE
HRBI,foreleg,Eighth instar,TRUE
HTCT,foreleg,Ninth instar,TRUE
HZFK,foreleg,Eighth instar,TRUE
IEAL,foreleg,Female,TRUE
IEJY,foreleg,Eighth instar,TRUE
IEPT,foreleg,Tenth instar,TRUE
IJNE,foreleg,Ninth instar,TRUE
ILNB,foreleg,Tenth instar,TRUE
INPV,foreleg,Female,TRUE
IULK,foreleg,Ninth instar,TRUE
IVIQ,foreleg,Female,TRUE
IVMB,foreleg,Ninth instar,TRUE
JDGM,foreleg,Female,TRUE
JDYH,foreleg,Ninth instar,TRUE
JHFO,foreleg,Female,TRUE
JONV,foreleg,Ninth instar,TRUE
JOYH,foreleg,Tenth instar,TRUE
JOZD,foreleg,Eighth instar,TRUE
JPJS,foreleg,Female,TRUE
JPJT,foreleg,Female,TRUE
JRYP,foreleg,Eighth instar,TRUE
JUCL,foreleg,Ninth instar,TRUE
JUGA,foreleg,Female,TRUE
JUJH,foreleg,Ninth instar,TRUE
JUYN,foreleg,Female,TRUE
JXVQ,foreleg,Tenth instar,TRUE
JZEI,foreleg,Ninth instar,TRUE
JZJE,foreleg,Female,TRUE
KAIL,foreleg,Ninth instar,TRUE
KAOK,foreleg,Female,TRUE
KDQD,foreleg,Female,TRUE
KECL,foreleg,Female,TRUE
KEHR,foreleg,Female,TRUE
KEMO,foreleg,Tenth instar,TRUE
KIIU,foreleg,Tenth instar,TRUE
KORY,foreleg,Eighth instar,TRUE
KPNC,foreleg,Female,TRUE
KSLC,foreleg,Female,TRUE
KTFS,foreleg,Ninth instar,TRUE
KTNC,foreleg,Female,TRUE
KVWU,foreleg,Female,TRUE
KWNJ,foreleg,Female,TRUE
KYRB,foreleg,Ninth instar,TRUE
LAZJ,foreleg,Ninth instar,TRUE
LEZS,foreleg,Eighth instar,TRUE
LGMD,foreleg,Female,TRUE
LHWT,foreleg,Tenth instar,TRUE
LIHW,foreleg,Female,TRUE
LJJN,foreleg,Tenth instar,TRUE
LKHO,foreleg,Eighth instar,TRUE
LLJC,foreleg,Tenth instar,TRUE
LMMX,foreleg,Female,TRUE
LNMX,foreleg,Female,TRUE
LQLO,foreleg,Female,TRUE
LRRL,foreleg,Tenth instar,TRUE
LRSS,foreleg,Ninth instar,TRUE
LTEN,foreleg,Female,TRUE
LUXM,foreleg,Female,TRUE
LYTH,foreleg,Female,TRUE
MAKB,foreleg,Tenth instar,TRUE
MEAE,foreleg,Female,TRUE
MEMQ,foreleg,Eighth instar,TRUE
MJSX,foreleg,Eighth instar,TRUE
MKMF,foreleg,Ninth instar,TRUE
MLES,foreleg,Female,TRUE
MONY,foreleg,Eighth instar,TRUE
MQFA,foreleg,Female,TRUE
MTZI,foreleg,Female,TRUE
MUVY,foreleg,Tenth instar,TRUE
MVOV,foreleg,Eighth instar,TRUE
MXAY,foreleg,Female,TRUE
MYTW,foreleg,Female,TRUE
NACP,foreleg,Ninth instar,TRUE
NAPZ,foreleg,Ninth instar,TRUE
NBFT,foreleg,Ninth instar,TRUE
NDWV,foreleg,Ninth instar,TRUE
NFQJ,foreleg,Female,TRUE
NFZB,foreleg,Female,TRUE
NLMH,foreleg,Female,TRUE
NMCP,foreleg,Ninth instar,TRUE
NRDG,foreleg,Eighth instar,TRUE
NRVV,foreleg,Eighth instar,TRUE
NSFR,foreleg,Ninth instar,TRUE
NUDB,foreleg,Female,TRUE
NVHP,foreleg,Eighth instar,TRUE
OCGB,foreleg,Female,TRUE
ODLJ,foreleg,Eighth instar,TRUE
OHRS,foreleg,Female,TRUE
OHZZ,foreleg,Eighth instar,TRUE
OLFY,foreleg,Female,TRUE
ONAU,foreleg,Female,TRUE
OQDA,foreleg,Ninth instar,TRUE
OTIL,foreleg,Female,TRUE
OVOZ,foreleg,Female,TRUE
OWAU,foreleg,Ninth instar,TRUE
OZHE,foreleg,Female,TRUE
PAQJ,foreleg,Ninth instar,TRUE
PBXK,foreleg,Eighth instar,TRUE
PFPR,foreleg,Eighth instar,TRUE
PIKP,foreleg,Tenth instar,TRUE
PMTK,foreleg,Eighth instar,TRUE
PQXQ,foreleg,Female,TRUE
PTRO,foreleg,Female,TRUE
PVUO,foreleg,Ninth instar,TRUE
PVXU,foreleg,Female,TRUE
PWML,foreleg,Eighth instar,TRUE
PXBQ,foreleg,Eighth instar,TRUE
PXBW,foreleg,Eighth instar,TRUE
PZFT,foreleg,Ninth instar,TRUE
PZMO,foreleg,Eighth instar,TRUE
PZWX,foreleg,Eighth instar,TRUE
QDVU,foreleg,Female,TRUE
QDXY,foreleg,Ninth instar,TRUE
QIIV,foreleg,Eighth instar,TRUE
QMKN,foreleg,Female,TRUE
QOGZ,foreleg,Female,TRUE
QQJU,foreleg,Ninth instar,TRUE
QRKY,foreleg,Female,TRUE
QSRM,foreleg,Ninth instar,TRUE
QUAR,foreleg,Eighth instar,TRUE
QXSG,foreleg,Female,TRUE
QYFB,foreleg,Female,TRUE
QZHA,foreleg,Eighth instar,TRUE
RBAX,foreleg,Ninth instar,TRUE
RBFY,foreleg,Female,TRUE
RCMK,foreleg,Eighth instar,TRUE
RDRL,foreleg,Eighth instar,TRUE
RIJE,foreleg,Female,TRUE
RIWP,foreleg,Ninth instar,TRUE
RJGO,foreleg,Female,TRUE
RJVU,foreleg,Female,TRUE
RMQE,foreleg,Female,TRUE
RNCJ,foreleg,Female,TRUE
RNFD,foreleg,Female,TRUE
RPNA,foreleg,Eighth instar,TRUE
RQME,foreleg,Ninth instar,TRUE
RSFE,foreleg,Tenth instar,TRUE
RTXD,foreleg,Eighth instar,TRUE
RWGW,foreleg,Eighth instar,TRUE
SBJV,foreleg,Tenth instar,TRUE
SBJVC,foreleg,Ninth instar,TRUE
SCBI,foreleg,Tenth instar,TRUE
SCXD,foreleg,Ninth instar,TRUE
SDBA,foreleg,Ninth instar,TRUE
SDVC,foreleg,Ninth instar,TRUE
SEVZ,foreleg,Female,TRUE
SFBL,foreleg,Female,TRUE
SGBK,foreleg,Ninth instar,TRUE
SMVB,foreleg,Eighth instar,TRUE
SMXT,foreleg,Eighth instar,TRUE
SNCY,foreleg,Female,TRUE
SNDZ,foreleg,Ninth instar,TRUE
SQCA,foreleg,Tenth instar,TRUE
SSQG,foreleg,Tenth instar,TRUE
SVLP,foreleg,Ninth instar,TRUE
SXDN,foreleg,Female,TRUE
SYKW,foreleg,Tenth instar,TRUE
TABC,foreleg,Ninth instar,TRUE
TART,foreleg,Female,TRUE
TKBC,foreleg,Ninth instar,TRUE
TKSH,foreleg,Ninth instar,TRUE
TRCQ,foreleg,Female,TRUE
TSNP,foreleg,Tenth instar,TRUE
TSPY,foreleg,Female,TRUE
TWQN,foreleg,Eighth instar,TRUE
TYRB,foreleg,Eighth instar,TRUE
UCYK,foreleg,Female,TRUE
UHRS,foreleg,Ninth instar,TRUE
UKOQ,foreleg,Tenth instar,TRUE
ULBD,foreleg,Ninth instar,TRUE
UMXA,foreleg,Female,TRUE
UNBX,foreleg,Eighth instar,TRUE
UPBJ,foreleg,Female,TRUE
UQVJ,foreleg,Ninth instar,TRUE
UWVR,foreleg,Female,TRUE
UYSP,foreleg,Tenth instar,TRUE
VDBS,foreleg,Female,TRUE
VDVI,foreleg,Tenth instar,TRUE
VECM,foreleg,Ninth instar,TRUE
VFCQ,foreleg,Eighth instar,TRUE
VFPH,foreleg,Ninth instar,TRUE
VGLK,foreleg,Ninth instar,TRUE
VHBT,foreleg,Tenth instar,TRUE
VJOC,foreleg,Female,TRUE
VJTT,foreleg,Female,TRUE
VNSP,foreleg,Eighth instar,TRUE
VNVH,foreleg,Female,TRUE
VUNA,foreleg,Female,TRUE
WDBI,foreleg,Ninth instar,TRUE
WHQS,foreleg,Female,TRUE
WHVM,foreleg,Tenth instar,TRUE
WJST,foreleg,Female,TRUE
WKXK,foreleg,Ninth instar,TRUE
WNVZ,foreleg,Ninth instar,TRUE
WQOI,foreleg,Ninth instar,TRUE
WQRK,foreleg,Ninth instar,TRUE
WSXA,foreleg,Eighth instar,TRUE
WWFJ,foreleg,Eighth instar,TRUE
WYMS,foreleg,Eighth instar,TRUE
XDBU,foreleg,Female,TRUE
XKES,foreleg,Female,TRUE
XMEN,foreleg,Eighth instar,TRUE
XNIH,foreleg,Female,TRUE
XOAF,foreleg,Ninth instar,TRUE
XQBJ,foreleg,Tenth instar,TRUE
XQHC,foreleg,Ninth instar,TRUE
XRPL,foreleg,Eighth instar,TRUE
XVQB,foreleg,Ninth instar,TRUE
XWCJ,foreleg,Eighth instar,TRUE
YAKT,foreleg,Eighth instar,TRUE
YBYC,foreleg,Ninth instar,TRUE
YCTD,foreleg,Eighth instar,TRUE
YFAT,foreleg,Female,TRUE
YGFO,foreleg,Eighth instar,TRUE
YMRF,foreleg,Eighth instar,TRUE
YNBA,foreleg,Ninth instar,TRUE
YNFN,foreleg,Female,TRUE
YNZS,foreleg,Female,TRUE
YRUA,foreleg,Female,TRUE
YRUH,foreleg,Female,TRUE
YSQQ,foreleg,Eighth instar,TRUE
YUWR,foreleg,Eighth instar,TRUE
YYNS,foreleg,Female,TRUE
YZUH,foreleg,Eighth instar,TRUE
ZAQJ,foreleg,Eighth instar,TRUE
ZAVH,foreleg,Eighth instar,TRUE
ZFKD,foreleg,Eighth instar,TRUE
ZFXN,foreleg,Ninth instar,TRUE
ZIER,foreleg,Tenth instar,TRUE
ZRDE,foreleg,Ninth instar,TRUE
ZSUF,foreleg,Eighth instar,TRUE
ZVNV,foreleg,Ninth instar,TRUE
ZWYP,foreleg,Female,TRUE
ACGN,midleg,Female,TRUE
ACIU,midleg,Female,TRUE
AGNG,midleg,Female,TRUE
AIZJ,midleg,Female,TRUE
AKPI,midleg,Tenth instar,TRUE
AQZC,midleg,Eighth instar,TRUE
ASOK,midleg,Female,TRUE
ATEZ,midleg,Female,TRUE
AZJJ,midleg,Female,TRUE
BBRM,midleg,Ninth instar,TRUE
BCSB,midleg,Female,TRUE
BLLA,midleg,Ninth instar,TRUE
BYLH,midleg,Female,TRUE
BZCS,midleg,Ninth instar,TRUE
CAPF,midleg,Tenth instar,TRUE
CAXC,midleg,Eighth instar,TRUE
CBMA,midleg,Female,TRUE
CBRE,midleg,Eighth instar,TRUE
CCQV,midleg,Female,TRUE
CGRD,midleg,Eighth instar,TRUE
CHCF,midleg,Female,TRUE
CPWC,midleg,Female,TRUE
CTFK,midleg,Tenth instar,TRUE
CVHB,midleg,Female,TRUE
CVLU,midleg,Eighth instar,TRUE
CVQJ,midleg,Female,TRUE
CWPJ,midleg,Ninth instar,TRUE
CWRT,midleg,Eighth instar,TRUE
DESX,midleg,Female,TRUE
DFDF,midleg,Ninth instar,TRUE
DFME,midleg,Eighth instar,TRUE
DJFZ,midleg,Tenth instar,TRUE
DNHH,midleg,Tenth instar,TRUE
DOCI,midleg,Ninth instar,TRUE
DQAS,midleg,Eighth instar,TRUE
DQAV,midleg,Eighth instar,TRUE
DSPJ,midleg,Eighth instar,TRUE
DUFU,midleg,Ninth instar,TRUE
DYFV,midleg,Tenth instar,TRUE
EAXA,midleg,Ninth instar,TRUE
EAXN,midleg,Eighth instar,TRUE
ECHF,midleg,Ninth instar,TRUE
