trait,n,model,male_step_percent,matched_sex_percent,contrast_difference_estimate_log,contrast_difference_CI_lower,contrast_difference_CI_upper,contrast_difference_holm_p
foreleg,313,Original constrained,5.047629324777647,15.917917087907085,-0.09846846939681675,-0.11058152034769632,-0.08635541844593718,1.1228509489818834e-41
foreleg,313,Final flexible,5.119049571578086,16.94758553749792,-0.10663233423351115,-0.12242144374194663,-0.09084322472507567,2.0290245618498475e-29
midleg,312,Original constrained,4.304237459011384,10.905043978769235,-0.06136238676256188,-0.07337331326571495,-0.049351460259408814,2.857138236141014e-20
midleg,312,Final flexible,4.731707822268659,12.151452439017344,-0.06844829518483553,-0.08419524334291156,-0.0527013470267595,6.106869740661517e-15
hindleg,311,Original constrained,4.546163544604842,2.2234222329466924,0.022467898393621864,0.009277924876368943,0.035657871910874786,9.03200103887564e-4
hindleg,311,Final flexible,5.253076962084573,3.927392733744018,0.012675198396823406,-0.004965623895742583,0.030316020689389395,0.15819579358033528
ear_lin,313,Original constrained,3.554397559570077,7.9096090727590385,-0.04119686873129284,-0.05718728402237859,-0.025206453440207097,1.3775089437637733e-6
ear_lin,313,Final flexible,3.605778855758848,7.768411213807816,-0.0393914753902988,-0.0611316862530685,-0.0176512645275291,8.760084498388878e-4
eye,313,Original constrained,6.856081789314716,24.64256820236752,-0.15396728778066443,-0.17302748939627263,-0.13490708616505623,2.174923818555056e-41
eye,313,Final flexible,7.440410600732869,27.014312046279482,-0.16736339950456364,-0.19287168545100333,-0.14185511355812394,4.3260527309238645e-28
