trait,n,contrast,estimate_log,SE,df,CI_lower,CI_upper,percent,p,holm_p
foreleg,313,male_step,0.0499233273410693,0.006019803065773872,111.43490642810117,0.0379951986862493,0.0618514559958893,5.119049571578086,2.8115253230609665e-13,1.4057626615304833e-12
foreleg,313,matched_sex,0.15655566157458045,0.008350152444797537,88.06641074352001,0.13996166265884763,0.17314966049031327,16.94758553749792,1.69908625002941e-32,8.49543125014705e-32
foreleg,313,contrast_difference,-0.10663233423351115,0.008011995261956416,222.4854122763349,-0.12242144374194663,-0.09084322472507567,-10.114390914147728,4.058049123699695e-30,2.0290245618498475e-29
midleg,312,male_step,0.046231730570038154,0.006158584752556048,109.68088461574816,0.03402646621576181,0.0584369949243145,4.731707822268659,1.711357240691181e-11,5.134071722073543e-11
midleg,312,matched_sex,0.11468002575487368,0.00820455363879998,84.81035676242571,0.09836664845549198,0.1309934030542554,12.151452439017344,1.0104996932458832e-23,3.0314990797376497e-23
midleg,312,contrast_difference,-0.06844829518483553,0.007989199582971649,215.57213427415581,-0.08419524334291156,-0.0527013470267595,-6.615825703000317,2.0356232468871726e-15,6.106869740661517e-15
hindleg,311,male_step,0.05119752094122387,0.006338055983920222,109.80153326179318,0.03863672915742355,0.06375831272502419,5.253076962084573,9.288747782134688e-13,3.715499112853875e-12
hindleg,311,matched_sex,0.03852232254440047,0.009785989534987181,91.48892541142123,0.019085055920083322,0.057959589168717615,3.927392733744018,1.6107215038789144e-4,1.6107215038789144e-4
hindleg,311,contrast_difference,0.012675198396823406,0.008952300550619206,225.59936506548254,-0.004965623895742583,0.030316020689389395,1.2755869203193435,0.15819579358033528,0.15819579358033528
ear_lin,313,male_step,0.035422922742611995,0.007967304472078789,101.92826328546745,0.019619678600866275,0.051226166884357716,3.605778855758848,2.2324211356694575e-5,2.2324211356694575e-5
ear_lin,313,matched_sex,0.0748143981329108,0.013306745602621512,74.33004197821707,0.048302084766906325,0.10132671149891527,7.768411213807816,3.129324993556448e-7,6.258649987112896e-7
ear_lin,313,contrast_difference,-0.0393914753902988,0.011029825952173892,215.3994401642603,-0.0611316862530685,-0.0176512645275291,-3.862571890190055,4.380042249194439e-4,8.760084498388878e-4
eye,313,male_step,0.07176618789431705,0.010021392879527401,110.3109029786586,0.051906761853529895,0.0916256139351042,7.440410600732869,9.453614615625009e-11,1.8907229231250018e-10
eye,313,matched_sex,0.23912958739888068,0.014811928396169355,70.43295024837445,0.20959131992776925,0.2686678548699921,27.014312046279482,2.2704066342972704e-25,9.081626537189082e-25
eye,313,contrast_difference,-0.16736339950456364,0.012941565594720117,215.45509404160896,-0.19287168545100333,-0.14185511355812394,-15.41078413148794,1.0815131827309661e-28,4.3260527309238645e-28
