group,leg,emmean,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,response_scale,predicted,lower,upper
female,Foreleg,3.164511594405833,0.0057920481482521,447.890899628153,3.1531286291764404,3.1758945596352257,546.3545042112273,0,Leg length,original length,23.677177142623542,23.40918880309448,23.948233412046616
eighth,Foreleg,3.221220601298646,0.009420784518508394,447.8911695690902,3.202706172604708,3.2397350299925844,341.92700140525733,0,Leg length,original length,25.058688189213687,24.599009369739854,25.52695697318149
ninth,Foreleg,3.2721513262039164,0.005096159986048797,447.89089962790507,3.2621359723187586,3.282166680089074,642.0817508009421,0,Leg length,original length,26.368004547870108,26.105237699017398,26.633416322528593
tenth,Foreleg,3.3210672559809358,0.00825555173987038,447.8908996278905,3.3048428296641834,3.337291682297688,402.2828952717677,0,Leg length,original length,27.689886991749034,27.244259262905185,28.142803745073167
female,Midleg,3.1530614857794115,0.005792048148252343,447.89089962812386,3.1416785205500184,3.1644444510088046,544.377637249234,0,Leg length,original length,23.40761708340244,23.142679739025315,23.675587429888093
eighth,Midleg,3.174180267773604,0.009440914339388148,450.81504070158337,3.1556266044902967,3.192733931056911,336.21534458063076,0,Leg length,original length,23.907214319801692,23.467737474965784,24.354921182437693
ninth,Midleg,3.2256583211506453,0.0050961599860487984,447.89089962790507,3.2156429672654876,3.235673675035803,632.9586060840277,0,Leg length,original length,25.170138737508463,24.919309061366935,25.42349318375009
tenth,Midleg,3.2677415115348105,0.008255551739870385,447.8908996278905,3.251517085218058,3.283965937851563,395.8235154354584,0,Leg length,original length,26.251982540413174,25.82949575451121,26.681379840014603
female,Hindleg,3.6771814158465395,0.005792048148252339,447.89089962812386,3.6657984506171464,3.6885643810759325,634.8672044371855,0,Leg length,original length,39.5348047103778,39.08733301203639,39.98739906369173
eighth,Hindleg,3.6117774782754433,0.009444341112190158,451.3616504599576,3.5932171410646023,3.630337815486284,382.4276818648142,0,Leg length,original length,37.03181760105422,36.35083377260456,37.725558742788934
ninth,Hindleg,3.6726184366877703,0.005096159986048798,447.89089962790507,3.6626030828026126,3.682633790572928,720.6638815778739,0,Leg length,original length,39.35481916786451,38.96263394197326,39.75095200293528
tenth,Hindleg,3.7157037383914506,0.008255551739870387,447.8908996278905,3.6994793120746983,3.731928164708203,450.0854522474094,0,Leg length,original length,41.08749175789405,40.426249419078566,41.759549876974226
