contrast,leg,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
female - eighth,Foreleg,-0.030149948353353138,0.09157774266349085,447.8909920759743,-0.2728336010817846,0.21253370437507835,-0.329227904908525,0.7421373288177744
female - ninth,Foreleg,0.10689445232266645,0.10398610827638277,447.89090057691834,-0.16867172651680598,0.3824606311621389,1.027968582481745,0.6291582319369246
female - tenth,Foreleg,0.3789933260440902,0.15275994889381952,447.89090057697666,-0.025824933761326496,0.7838115858495069,2.4809731136236572,0.06734266245883815
eighth - ninth,Foreleg,0.13704440067601958,0.10909947518576188,447.8909650460987,-0.15207234741039388,0.42616114876243305,1.2561417040978093,0.6291582319369246
eighth - tenth,Foreleg,0.40914327439744336,0.15628559356953997,447.8909319936014,-0.0050180451095339085,0.8233045939044206,2.617920596855226,0.05487814611084432
ninth - tenth,Foreleg,0.2720988737214237,0.16386523279973234,447.89090057703504,-0.16214870795789277,0.7063464554007401,1.660503995096806,0.3900518437282322
female - eighth,Midleg,0.03707812052094164,0.09161470450439353,448.44316763344347,-0.20570214870618087,0.27985838974806415,0.4047180059306255,1
female - ninth,Midleg,0.07283373736980898,0.10398610827638352,447.8909005769475,-0.2027324414696654,0.34839991620928334,0.7004179556006174,1
female - tenth,Midleg,0.3986896792306066,0.15275994889382022,447.89090057699127,-0.006128580574811915,0.8035079390360251,2.6099097447834723,0.056159826253104575
eighth - ninth,Midleg,0.03575561684886734,0.10913050268323352,448.28003802064705,-0.25344223538525157,0.3249534690829863,0.327640906710134,1
eighth - tenth,Midleg,0.361611558709665,0.15630725474996368,448.08054237541825,-0.05260638169365672,0.7758294991129867,2.3134662513785145,0.10574414313623876
ninth - tenth,Midleg,0.3258559418607976,0.1638652327997323,447.89090057703504,-0.10839163981851879,0.7601035235401139,1.9885605768433017,0.18943136060173932
female - eighth,Hindleg,0.16272643573307324,0.09171029709949444,450.01095114661484,-0.08030338318353708,0.40575625464968357,1.7743529448665398,0.21214537509968834
female - ninth,Hindleg,0.23979989556144027,0.10398610827638348,447.8909005769475,-0.035766283278033995,0.5153660744009145,2.3060762589948927,0.08624876701888574
female - tenth,Hindleg,0.5366608619428181,0.15275994889382016,447.89090057699127,0.13184260213739973,0.9414791217482366,3.5130992503528424,0.0029274333015472413
eighth - ninth,Hindleg,0.07707345982836702,0.10921076471001123,449.3848299876157,-0.21233391734714166,0.3664808370038757,0.7057313446437372,0.4807208976964994
eighth - tenth,Hindleg,0.37393442620974493,0.15636330260045114,448.61901109860827,-0.0404298247871393,0.7882986772066292,2.391446202471462,0.08596595224690627
ninth - tenth,Hindleg,0.2968609663813778,0.16386523279973228,447.89090057703504,-0.1373866152979385,0.7311085480606941,1.8116165418944368,0.21214537509968834
