contrast,leg,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,ratio,ratio_lower,ratio_upper,percent_difference,Holm_family
Female - Eighth instar,Foreleg,-0.05670900689244167,0.010801097026277205,330.27287567324686,-0.08537776092939418,-0.02804025285548915,-5.250300664319415,8.173462986503362e-7,Leg length,0.9448689797267196,0.9181653718763663,0.9723492261806048,-5.513102027328043,Six all-pairwise group contrasts within Foreleg
Female - Ninth instar,Foreleg,-0.107639731797603,0.007534995765032572,330.2728756707438,-0.1276394540231946,-0.0876400095720114,-14.285307537546798,1.1048187545936048e-35,Leg length,0.897951041370988,0.8801706639351133,0.9160906012185427,-10.204895862901198,Six all-pairwise group contrasts within Foreleg
Female - Tenth instar,Foreleg,-0.156555661574579,0.009849656000548854,330.27287567031476,-0.18269905835560674,-0.13041226479355128,-15.894530891825585,7.185039895036364e-42,Leg length,0.8550839210608266,0.8330188080692477,0.877733497700303,-14.491607893917335,Six all-pairwise group contrasts within Foreleg
Eighth instar - Ninth instar,Foreleg,-0.05093072490516134,0.010461159326020326,330.27287567275454,-0.0786972011185891,-0.023164248691733568,-4.868554556709595,1.7456045386458758e-6,Leg length,0.9503445034577159,0.9243197650661632,0.9771019828702295,-4.965549654228408,Six all-pairwise group contrasts within Foreleg
Eighth instar - Tenth instar,Foreleg,-0.09984665468213735,0.012234190475649434,330.2728756719394,-0.13231918934545367,-0.06737412001882104,-8.161280052069579,2.818622239457868e-14,Leg length,0.9049761812565155,0.8760613210076261,0.9348453915299569,-9.502381874348453,Six all-pairwise group contrasts within Foreleg
Ninth instar - Tenth instar,Foreleg,-0.04891592977697601,0.009475646722122777,330.27287567250295,-0.07406661443027625,-0.023765245123675765,-5.162278756422194,8.44437585538225e-7,Leg length,0.9522611831434462,0.9286098329659246,0.9765149244925463,-4.773881685655379,Six all-pairwise group contrasts within Foreleg
Female - Eighth instar,Midleg,-0.02095973626938268,0.010773504431295555,314.83555043569584,-0.04956374848482389,0.007644275946058529,-1.945489176994026,0.05260593294124907,Leg length,0.9792583923718142,0.9516444903083935,1.0076735680147426,-2.0741607628185776,Six all-pairwise group contrasts within Midleg
Female - Ninth instar,Midleg,-0.07259683537074714,0.007509138774016888,314.02313830814154,-0.09253417615639711,-0.052659494585097166,-9.667797806846586,7.956322135302216e-19,Leg length,0.9299756877593953,0.91161805483085,0.9487029959976313,-7.002431224060468,Six all-pairwise group contrasts within Midleg
Female - Tenth instar,Midleg,-0.11468002575487513,0.009815856052326499,314.02313830714434,-0.14074187826654933,-0.08861817324320091,-11.683140537466858,1.190352740727442e-25,Leg length,0.8916514037513257,0.8687135165991208,0.9151949527897035,-10.834859624867432,Six all-pairwise group contrasts within Midleg
Eighth instar - Ninth instar,Midleg,-0.051637099101364464,0.010435040777450442,314.88915153663396,-0.07934244909448146,-0.023931749108247462,-4.948432900516253,3.662010562532676e-6,Leg length,0.9496734416612415,0.9237235419852312,0.9763523444021166,-5.032655833875854,Six all-pairwise group contrasts within Midleg
Eighth instar - Tenth instar,Midleg,-0.09372028948549245,0.012200571336605693,314.65650466908795,-0.1261133289067531,-0.06132725006423179,-7.681631203966737,8.031645132643459e-13,Leg length,0.9105374135131996,0.8815149399979231,0.9405154056824729,-8.94625864868004,Six all-pairwise group contrasts within Midleg
Ninth instar - Tenth instar,Midleg,-0.042083190384127986,0.00944313021915422,314.02313830977306,-0.06715542715167791,-0.01701095361657806,-4.456487351912975,2.3211389906741915e-5,Leg length,0.9587900151450143,0.9350498579058203,0.9831329157149264,-4.120998485498573,Six all-pairwise group contrasts within Midleg
Female - Eighth instar,Hindleg,0.0654022122838811,0.01162691401145239,313.56009961600245,0.03453157113641196,0.09627285343135024,5.625070609403372,2.0546416015199894e-7,Leg length,1.0675883351839055,1.03513470823932,1.1010594508606095,6.75883351839055,Six all-pairwise group contrasts within Hindleg
Female - Ninth instar,Hindleg,0.004562979159243884,0.008092831553356682,312.12257061292786,-0.01692494465267082,0.02605090297115859,0.5638297460116153,0.5732748848060671,Leg length,1.0045734054008568,0.9832174775948779,1.0263931936068462,0.45734054008568226,Six all-pairwise group contrasts within Hindleg
Female - Tenth instar,Hindleg,-0.03852232254440098,0.010578852245792358,312.12257061241195,-0.06661107857204948,-0.010433566516752486,-3.6414463166099025,6.34574584580884e-4,Leg length,0.9622102255196008,0.9355589895278188,0.9896206743326375,-3.778977448039922,Six all-pairwise group contrasts within Hindleg
Eighth instar - Ninth instar,Hindleg,-0.060839233124637224,0.011262658631864911,313.6546205588635,-0.09074268161961392,-0.030935784629660526,-5.401853604308634,5.224060761153124e-7,Leg length,0.940974505147442,0.9132526773671972,0.9695378303079003,-5.902549485255804,Six all-pairwise group contrasts within Hindleg
Eighth instar - Tenth instar,Hindleg,-0.10392453482828208,0.01316304188799921,313.2440767470917,-0.13887397700530493,-0.06897509265125923,-7.895176184391728,2.9554354360364224e-13,Leg length,0.9012933111093313,0.8703377041111474,0.9333499270608209,-9.87066888906687,Six all-pairwise group contrasts within Hindleg
Ninth instar - Tenth instar,Hindleg,-0.04308530170364486,0.010177154065185394,312.1225706142369,-0.07010747678946028,-0.01606312661782943,-4.233531439897681,9.087992277795825e-5,Leg length,0.957829682078482,0.9322936145966411,0.984065197386874,-4.217031792151804,Six all-pairwise group contrasts within Hindleg
