group,leg,logP_c.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
female,Foreleg,0.7106991384562111,0.060402393093317984,447.8908996280801,0.5919918482620091,0.8294064286504131,11.76607584666761,4.913281285847802e-28
eighth,Foreleg,0.740849086795245,0.06883337753705746,447.8910615863757,0.6055725969762176,0.8761255766142724,10.762933816467136,3.498409884094957e-24
ninth,Foreleg,0.6038046861198502,0.08464432424691935,447.89089962790507,0.43745534386535023,0.7701540283743501,7.133433830229033,3.960810634806494e-12
tenth,Foreleg,0.3317058123974641,0.14031091512636717,447.8908996278905,0.05595633184977539,0.6074552929451529,2.364077036335501,0.018500889900498838
female,Midleg,0.727385178323037,0.06040239309331981,447.8908996280655,0.6086778881288314,0.8460924685172425,12.042323839706974,3.9715117174687383e-29
eighth,Midleg,0.6903070577892149,0.06888254490975683,448.86831760627337,0.5549347391197019,0.8256793764587278,10.02150920372625,1.8189195228151546e-21
ninth,Midleg,0.654551440943029,0.08464432424691933,447.89089962790507,0.48820209868852915,0.8209007831975288,7.7329631580921,7.000786562066885e-14
tenth,Midleg,0.32869549908133244,0.14031091512636715,447.8908996278905,0.05294601853364378,0.6044449796290211,2.3426224451982365,0.019585676284724088
female,Hindleg,0.8092826541403958,0.06040239309331975,447.8908996280655,0.6905753639461903,0.9279899443346012,13.398188593125443,1.1632999919497189e-34
eighth,Hindleg,0.6465562183923294,0.06900963342817454,451.6423367333982,0.5109363893442125,0.7821760474404462,9.369071914651848,3.5100405356243767e-19
ninth,Hindleg,0.5694827585687633,0.08464432424691928,447.89089962790507,0.4031334163142635,0.7358321008232631,6.727949731248403,5.2720105244713444e-11
tenth,Hindleg,0.2726217921864892,0.14031091512636715,447.8908996278905,-0.0031276883611994766,0.5483712727341779,1.9429834944840885,0.05264437624671125
