contrast,group,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Foreleg - Midleg,female,-0.01668603986682578,0.04202927244691681,639.4402068839969,-0.11756872374053466,0.0841966440068831,-0.397009962232878,0.6914925861062153
Foreleg - Hindleg,female,-0.09858351568418466,0.04202927244691688,639.4402068839969,-0.19946619955789371,0.0022991681895243865,-2.3455917731789433,0.0579046072619919
Midleg - Hindleg,female,-0.08189747581735889,0.04202927244691715,639.4402068840268,-0.1827801596910686,0.018985208056350802,-1.9485818109460535,0.1035648219893475
Foreleg - Midleg,eighth,0.05054202900603012,0.04796636517983322,639.8743219610702,-0.06459122724942992,0.16567528526149017,1.053697290101936,0.5848384897994426
Foreleg - Hindleg,eighth,0.09429286840291565,0.0481486936604875,640.3148736224052,-0.021277819733000608,0.2098635565388319,1.9583681556929897,0.15186175977419164
Midleg - Hindleg,eighth,0.04375083939688554,0.04815822324819882,639.8837097091822,-0.07184292766923517,0.15934460646300624,0.9084811782071274,0.5848384897994426
Foreleg - Midleg,ninth,-0.05074675482317875,0.05889732480239221,639.4402068840268,-0.19211775301381623,0.09062424336745872,-0.8616139186871454,0.7784459818783187
Foreleg - Hindleg,ninth,0.03432192755108687,0.05889732480239218,639.4402068840268,-0.10704907063955055,0.1756929257417243,0.5827417062870205,0.7784459818783187
Midleg - Hindleg,ninth,0.08506868237426563,0.058897324802392174,639.4402068840268,-0.05630231581637177,0.22643968056490302,1.4443556249741665,0.44738628836038263
Foreleg - Midleg,tenth,0.0030103133161316666,0.09763132513659703,639.4402068840268,-0.23133374111322672,0.23735436774549004,0.030833478004317825,1
Foreleg - Hindleg,tenth,0.05908402021097492,0.09763132513659704,639.4402068840268,-0.1752600342183835,0.2934280746403333,0.6051748260951065,1
Midleg - Hindleg,tenth,0.056073706894843256,0.09763132513659707,639.4402068840268,-0.1782703475345152,0.2904177613242017,0.5743413480907886,1
