group_pairwise,leg_pairwise,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
female - eighth,Foreleg - Midleg,-0.06722806887429478,0.06377485344566383,639.6857599492052,-0.2587431622297529,0.12428702448116333,-1.0541469755249706,1
female - ninth,Foreleg - Midleg,0.034060714952857465,0.07235575037705637,639.4402063701663,-0.18322303084737557,0.25134446075309047,0.47073957184276455,1
female - tenth,Foreleg - Midleg,-0.019696353186516385,0.10629362818729106,639.4402063701962,-0.33889527748590986,0.29950257111287715,-0.18530135364098305,1
eighth - ninth,Foreleg - Midleg,0.10128878382715224,0.07595832448724887,639.6133002263009,-0.12681322264495637,0.3293907902992608,1.3334783845074887,1
eighth - tenth,Foreleg - Midleg,0.04753171568777839,0.10877797497426293,639.5246048818177,-0.27912751413766923,0.37419094551322596,0.4369608433970616,1
ninth - tenth,Foreleg - Midleg,-0.05375706813937385,0.1140209214140649,639.4402063701962,-0.3961609928493857,0.288646856570638,-0.471466705168572,1
female - eighth,Foreleg - Hindleg,-0.19287638408642638,0.06391209936049767,639.9365457148958,-0.38480333184220594,-9.494363306468412e-4,-3.017838343855718,0.04764606086237488
female - ninth,Foreleg - Hindleg,-0.13290544323877382,0.07235575037705642,639.4402063701663,-0.350189189039007,0.08437830256145937,-1.8368331825208648,1
female - tenth,Foreleg - Hindleg,-0.15766753589872795,0.10629362818729106,639.4402063701663,-0.4768664601981215,0.1615313884006656,-1.4833206711216522,1
eighth - ninth,Foreleg - Hindleg,0.05997094084765256,0.07607359312902479,639.790515288516,-0.16847696923222383,0.28841885092752895,0.7883279648161052,1
eighth - tenth,Foreleg - Hindleg,0.03520884818769843,0.10885849692215847,639.6112719605902,-0.29169201546706097,0.3621097118424578,0.32343683941250123,1
ninth - tenth,Foreleg - Hindleg,-0.024762092659954132,0.11402092141406489,639.4402063701962,-0.3671660173699659,0.3176418320500577,-0.21717148355634705,1
female - eighth,Midleg - Hindleg,-0.1256483152121316,0.06391927885919003,639.6919390359493,-0.3175971090597609,0.06630047863549773,-1.965734242542482,0.7961833018814058
female - ninth,Midleg - Hindleg,-0.1669661581916313,0.07235575037705691,639.4402063701962,-0.38424990399186587,0.050317587608603304,-2.3075727543636138,0.3628026771275076
female - tenth,Midleg - Hindleg,-0.13797118271221157,0.10629362818729149,639.4402063701962,-0.45717010701160643,0.18122774158718327,-1.298019317480664,1
eighth - ninth,Midleg - Hindleg,-0.04131784297949968,0.07607962497786837,639.6178924653217,-0.2697841070815331,0.18714842112253371,-0.5430868381845873,1
eighth - tenth,Midleg - Hindleg,-0.012322867500079965,0.10886271224512224,639.526985587678,-0.33923655780025863,0.31459082280009865,-0.11319640348784447,1
ninth - tenth,Midleg - Hindleg,0.028994975479419705,0.11402092141406492,639.4402063701962,-0.3134089492305922,0.3713989001894316,0.2542952216122248,1
