leg,group,logP_c.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
Foreleg,female,0.7106991384515098,0.05899985221493026,305,0.5946008603400351,0.8267974165629844,12.045778281994801,1.3437441800670185e-27
Foreleg,eighth,0.7408490867964584,0.06723506957525148,305,0.6085457756295777,0.8731523979633392,11.018789620902798,5.435042814801718e-24
Foreleg,ninth,0.6038046861202966,0.08267888680644452,305,0.44111145835704674,0.7664979138835464,7.303009382961748,2.4668511907063855e-12
Foreleg,tenth,0.33170581239734137,0.1370529019240622,305,0.062016900879391657,0.601394723915291,2.42027573105407,0.01609281038310038
Midleg,female,0.7273851783184606,0.05868642680722946,304,0.6119021367618677,0.8428682198750536,12.394436292871312,7.836773411550443e-29
Midleg,eighth,0.6949429846047336,0.06698988105859915,304,0.5631204212107663,0.8267655479987008,10.373850104269252,8.7371863043797e-22
Midleg,ninth,0.6545514409432983,0.08223967106551087,304,0.4927203691274048,0.8163825127591918,7.959071728556557,3.470935002283131e-14
Midleg,tenth,0.3286954990814171,0.13632483464847575,304,0.060435742926588154,0.596955255236246,2.4111197341921167,0.016496527825753275
Hindleg,female,0.8092826541358923,0.06323797152279638,303,0.6848414498803733,0.9337238583914113,12.797416404227285,2.848485072072706e-30
Hindleg,eighth,0.6583246730978266,0.07256810098119815,303,0.5155234152589181,0.8011259309367351,9.07181894243579,1.5182296631745203e-17
Hindleg,ninth,0.5694827585690652,0.08861793535271523,303,0.3950982498889556,0.7438672672491747,6.426269764719997,5.065994645428392e-10
Hindleg,tenth,0.27262179218649696,0.1468977833608407,303,-0.01644720581733089,0.5616907901903248,1.8558604898538664,0.06444424686945703
