leg,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Foreleg,female - eighth,-0.03014994834494844,0.08945131157323813,305,-0.2676948416223826,0.20739494493248573,-0.33705429036960755,0.7363077921563213
Foreleg,female - ninth,0.10689445233121306,0.10157155549137012,305,-0.16283668838510715,0.3766255930475333,1.0524053886355536,0.5982527170417382
Foreleg,female - tenth,0.37899332605416836,0.14921286971032433,305,-0.017253018326577163,0.7752396704349138,2.5399506543231176,0.057914269179184574
Foreleg,eighth - ninth,0.1370444006761615,0.10656619024973062,305,-0.14595037988811224,0.42003918124043527,1.2860026276158252,0.5982527170417382
Foreleg,eighth - tenth,0.4091432743991168,0.15265664907430504,305,0.003751706912077879,0.8145348418861558,2.6801536446667833,0.04655241708756455
Foreleg,ninth - tenth,0.27209887372295527,0.16006028942045394,305,-0.1529536347269282,0.6971513821728388,1.6999773941942156,0.36061854535767607
Midleg,female - eighth,0.03244219371372697,0.08906032144364608,304,-0.20406950038707364,0.26895388781452756,0.3642721381177041,1
Midleg,female - ninth,0.07283373737516234,0.1010319760687859,304,-0.19547030005749033,0.34113777480781504,0.7208978801481101,1
Midleg,female - tenth,0.39868967923704407,0.14842020493630428,304,0.004539809359410341,0.7928395491146778,2.686222400839191,0.045742635982129604
Midleg,eighth - ninth,0.040391543661435374,0.10607076723211109,304,-0.2412936832273127,0.32207677055018347,0.38079807203664245,1
Midleg,eighth - tenth,0.3662474855233171,0.15189504503498305,304,-0.03713029084674874,0.769625261893383,2.411187839859861,0.08246753410668937
Midleg,ninth - tenth,0.3258559418618817,0.1592099998081078,304,-0.09694768338923931,0.7486595671130027,2.0467052462447617,0.16618696922183426
Hindleg,female - eighth,0.1509579810380656,0.09625575474918564,303,-0.10466771112355197,0.40658367319968314,1.56830084010476,0.25373956602908093
Hindleg,female - ninth,0.23979989556682796,0.10886771563919216,303,-0.04931928735203123,0.5289190784856872,2.202672244557508,0.11348240429012607
Hindleg,female - tenth,0.5366608619493952,0.15993123459364175,303,0.11193267143455654,0.9613890524642339,3.3555725578743876,0.005357169533540884
Hindleg,eighth - ninth,0.08884191452876236,0.11453937203510145,303,-0.21533944410816155,0.3930232731656863,0.7756452034810885,0.4385634608886192
Hindleg,eighth - tenth,0.38570288091132965,0.16384470707455226,303,-0.04941828937178261,0.8208240511944419,2.354075928347371,0.0960352565947496
Hindleg,ninth - tenth,0.29686096638256726,0.17155785386424743,303,-0.15874395047754297,0.7524658832426775,1.730384005721308,0.25373956602908093
