ID,sex,morph,pronotum,head_length,head_width,forefemur,foretibia,midfemur,midtibia,hindfemur,hindtibia,ear,eye,group,foreleg,midleg,hindleg,head_size,ear_linear,logP_c,log_head_size,log_foreleg,log_midleg,log_hindleg,log_foretibia,log_ear_linear,log_eye,current_label,legacy_2010_label,differs_from_2010,distance_to_inferred_cutpoint,within_0_25_mm,within_0_50_mm
AKPI,m,tenth,7.192,25.798,12.47,13.37,14.0175,12.7785,13.8105,20.117,21.4955,2.889,3.0155000000000003,Tenth instar,27.3875,26.589,41.6125,17.936026873307252,1.6997058569058352,-0.0011117288526905078,2.8868113646174445,3.3100867049215847,3.2804975964243703,3.7284006029011434,2.6403065490156905,0.530455210742049,1.1037656539089045,Tenth instar,Tenth instar,FALSE,1.6479999999999997,FALSE,FALSE
AQZC,m,eighth,6.749,18.409,9.902,11.873,12.3415,11.0315,11.8935,17.7905,18.365,2.4645,2.5195,Eighth instar,24.2145,22.924999999999997,36.1555,13.501330230758745,1.5698726062964472,-0.0646866802607402,2.6027882162018283,3.1869516272835567,3.1322280181425284,3.587829080877163,2.5129675670056413,0.4509944735816477,0.9240604691385157,Eighth instar,Eighth instar,FALSE,0.09100000000000108,TRUE,TRUE
BBRM,m,ninth,6.903,20.034,10.194,12.3275,12.8505,11.123,12.1475,18.287,18.8825,2.915,2.934,Ninth instar,25.178,23.2705,37.1695,14.2907871021858,1.7073371078963873,-0.042124926300671106,2.6596150710537114,3.2259705973440678,3.1471864639763556,3.6154885325103185,2.5533827210900713,0.5349349099012278,1.07636667972079,Ninth instar,Ninth instar,FALSE,1.533999999999999,FALSE,FALSE
BLLA,m,ninth,6.691,20.491,10.363,12.736,12.9105,11.4605,12.561,17.796,19.1,3.19,2.541,Ninth instar,25.646500000000003,24.0215,36.896,14.572173242176337,1.786057109949175,-0.07331768622132984,2.679113767778388,3.2444071100646092,3.178949262662078,3.6081031440866487,2.558040933775502,0.5800104583983766,0.932557704338027,Ninth instar,Ninth instar,FALSE,1.9909999999999997,FALSE,FALSE
BZCS,m,ninth,6.869,19.498,9.905,12.1185,12.7345,11.21,12.386,18.5725,19.1965,2.661,2.9155,Ninth instar,24.853,23.596,37.769000000000005,13.897038893231896,1.6312571838922274,-0.04706249079026503,2.631675788178797,3.212978469602117,3.161077206140829,3.6314886603346848,2.544314845783935,0.4893509959977761,1.0700413316800736,Ninth instar,Ninth instar,FALSE,0.9980000000000011,FALSE,FALSE
CAPF,m,tenth,7.266,24.737,12.276,14.031,14.585,12.821000000000002,14.6375,20.261000000000003,22.6085,3.346,3.093,Tenth instar,28.616,27.4585,42.8695,17.426170319378837,1.8292074786639159,0.00912490777700059,2.8579731176267527,3.353966001956717,3.3126757739388717,3.758160617374154,2.679993603319685,0.6038828012823162,1.1291414937029325,Tenth instar,Tenth instar,FALSE,0.5869999999999997,FALSE,FALSE
CAXC,m,eighth,6.473,16.148,8.853,11.798,12.271999999999998,10.7455,11.9505,17.185000000000002,17.819000000000003,2.697,2.4130000000000003,Eighth instar,24.07,22.695999999999998,35.004000000000005,11.95651470956315,1.6422545478700918,-0.10644134645863645,2.481276293809803,3.1809662517949806,3.1221886975065503,3.555462340673585,2.5073202446249003,0.4960700220787964,0.8808707866428948,Eighth instar,Eighth instar,FALSE,2.3520000000000003,FALSE,FALSE
CBRE,m,eighth,6.46,16.408,8.671,11.156,11.5765,10.401,11.044,16.825,17.5895,2.582,2.5385,Eighth instar,22.7325,21.445,34.414500000000004,11.927856806652231,1.6068602926203635,-0.10845170822749917,2.4788765725825512,3.123795618617931,3.065491517968844,3.538477987196189,2.448977181209116,0.47428214621222536,0.9315733554053119,Eighth instar,Eighth instar,FALSE,2.0919999999999987,FALSE,FALSE
CGRD,m,eighth,6.328,17.017,9.461,11.467,11.818,10.679,11.856,17.317,18.849,2.5175,2.6935,Eighth instar,23.285,22.535,36.166,12.688492306022809,1.5866631652622432,-0.12909679555665687,2.5406954650558036,3.1478093764343407,3.1150696561426114,3.588119450962788,2.4696237929234828,0.4616331728052902,0.9908414631384513,Eighth instar,Eighth instar,FALSE,1.4830000000000005,FALSE,FALSE
CTFK,m,tenth,7.122,26.838,12.826,14.3145,14.654,13.1615,14.496,20.6975,22.375,3.6295,3.2925,Tenth instar,28.9685,27.6575,43.072500000000005,18.553279710067436,1.9051246678367273,-0.010892441166423739,2.9206465772027186,3.3662090327396776,3.319896938926929,3.7628847424244243,2.684713335737772,0.6445474488713792,1.1916471546352991,Tenth instar,Tenth instar,FALSE,2.6880000000000024,FALSE,FALSE
