segment,group,logP_c.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
Forefemur,female,0.7526256002980827,0.06646680247542407,305,0.6218340638911578,0.8834171367050075,11.323330930149138,4.770047531488713e-25
Forefemur,eighth,0.8575853504218923,0.07574425902966506,305,0.7085378914869306,1.0066328093568542,11.322116836419525,4.816794737518581e-25
Forefemur,ninth,0.6502107882318635,0.09314262717528045,305,0.4669273014455587,0.8334942750181683,6.980807906655503,1.838093447280653e-11
Forefemur,tenth,0.279683686501317,0.15439815217986436,305,-0.024136728952868947,0.583504101955503,1.8114445189441302,0.07105563566482542
Foretibia,female,0.6713380215260792,0.059036769970368164,305,0.5551670976760615,0.787508945376097,11.371523575274162,3.237847054475223e-25
Foretibia,eighth,0.6318898953569837,0.06727714032224907,305,0.49950379853722554,0.7642759921767419,9.392341772113236,1.4245275517230922e-18
Foretibia,ninth,0.559012732813708,0.08273062115506423,305,0.3962177036294633,0.7218077619979527,6.7570232763747224,7.148366279732305e-11
Foretibia,tenth,0.3804020973998128,0.13713865952048557,305,0.11054443445442796,0.6502597603451976,2.7738501946126206,0.005881110813599083
Midfemur,female,0.7299024660358113,0.0625958325802075,304,0.6067265030678437,0.853078429003779,11.660560071639706,3.2262626994907535e-26
Midfemur,eighth,0.7553476694502604,0.07145242277377029,304,0.6147437247663071,0.8959516141342138,10.571337403656852,1.8855250671958462e-22
Midfemur,ninth,0.65819338737018,0.08771807999791016,304,0.48558191264302347,0.8308048620973365,7.503508824929377,6.90548713701976e-13
Midfemur,tenth,0.30306203029159695,0.14540613546315365,304,0.01693210727835265,0.5891919533048413,2.0842451339915695,0.03797252575981405
Midtibia,female,0.7248922005081306,0.06146388711128368,304,0.6039436777293044,0.8458407232869569,11.793790379636652,1.0918927076655195e-26
Midtibia,eighth,0.6412017359155455,0.07016032004314902,304,0.5031403885825242,0.7792630832485669,9.139093657514712,9.203052680050347e-18
Midtibia,ninth,0.6518102244721832,0.08613183888402925,304,0.4823201520596505,0.8213002968847158,7.567587467275626,4.565638205696519e-13
Midtibia,tenth,0.35148948576436717,0.142776698176249,304,0.07053376455542593,0.6324452069733084,2.461812678497966,0.014378590904174628
Hindfemur,female,0.7865408899639773,0.06403651719175155,304,0.6605299504960537,0.9125518294319009,12.282693132869046,1.9755394478643782e-28
Hindfemur,eighth,0.709322556654729,0.073096947683888025,304,0.5654825189102831,0.8531625943991749,9.703860135477003,1.4321152986398522e-19
Hindfemur,ninth,0.6137970354275419,0.08973696979932384,304,0.437212793102851,0.7903812777522329,6.839957230561254,4.358939110126526e-11
Hindfemur,tenth,0.2609474598826963,0.14875275413009814,304,-0.03176793312105031,0.5536628528864429,1.7542361579031567,0.08039761251930422
Hindtibia,female,0.8303280281684031,0.07302475212112682,303,0.6866281612120769,0.9740278951247293,11.370501152693137,3.45595543663207e-25
Hindtibia,eighth,0.5988513321101813,0.0837988230559006,303,0.4339499887375169,0.7637526754828456,7.1462976480075255,6.681650369082042e-12
Hindtibia,ninth,0.527279400557334,0.10233254810023845,303,0.32590694642131024,0.7286518546933578,5.152606969591383,4.639147708979903e-7
Hindtibia,tenth,0.28260737271855463,0.16963185185662366,303,-0.05119827311122149,0.6164130185483307,1.6660041709467406,0.09674601407578297
