segment,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Forefemur,female - eighth,-0.10495975012380968,0.10077216186655939,305,-0.3725680390903615,0.16264853884274214,-1.041555010626798,0.5968858662798199
Forefemur,female - ninth,0.10241481206621919,0.11442632926219533,305,-0.20145317706283913,0.4062828011952775,0.8950283796270956,0.5968858662798199
Forefemur,female - tenth,0.4729419137967657,0.16809707084855346,305,0.02654710915182984,0.9193367184417016,2.8135047886876103,0.02609338262059078
Forefemur,eighth - ninth,0.20737456219002887,0.1200530789820332,305,-0.1114356970767163,0.526184821456774,1.7273572985251295,0.2553475818219043
Forefemur,eighth - tenth,0.5779016639205754,0.1719766907825289,305,0.12120422774386319,1.0345991000972876,3.360348785006883,0.00526463042961483
Forefemur,ninth - tenth,0.3705271017305465,0.1803173269369027,305,-0.10831954042549302,0.849373743886586,2.0548613271103044,0.1629757755536913
Foretibia,female - eighth,0.03944812616909551,0.08950728360571425,305,-0.1982454051802374,0.2771416575184284,0.4407253195490461,1
Foretibia,female - ninth,0.11232528871237123,0.10163511147844985,305,-0.15757462985530152,0.382225207280044,1.1051819305200257,1
Foretibia,female - tenth,0.29093592412626645,0.1493062361176178,305,-0.10555836198798924,0.6874302102405221,1.9485852144653766,0.3135705825876465
Foretibia,eighth - ninth,0.07287716254327573,0.10663287151081678,305,-0.2102946952797853,0.3560490203663368,0.683439932834249,1
Foretibia,eighth - tenth,0.25148779795717097,0.1527521703446968,305,-0.15415743366940776,0.6571330295837496,1.6463779034344965,0.5035797512917677
Foretibia,ninth - tenth,0.1786106354138952,0.16016044334285054,305,-0.24670783954210856,0.6039291103698989,1.1151981830591522,1
Midfemur,female - eighth,-0.0254452034144491,0.0949930890994233,304,-0.2777121621070374,0.2268217552781392,-0.26786373256918933,1
Midfemur,female - ninth,0.07170907866563135,0.10776223742540397,304,-0.21446807542989027,0.357886232761153,0.6654379157195058,1
Midfemur,female - tenth,0.4268404357442144,0.1583072407906169,304,0.006434208808421105,0.8472466626800077,2.696278664276447,0.03701333344776138
Midfemur,eighth - ninth,0.09715428208008045,0.11313668847355121,304,-0.20329545156214138,0.3976040157223023,0.8587336556416261,1
Midfemur,eighth - tenth,0.4522856391586635,0.16201355792207825,304,0.02203678725332736,0.8825344910639996,2.7916530255831673,0.03345554838057259
Midfemur,ninth - tenth,0.355131357078583,0.16981579958545895,304,-0.0958373997594752,0.8061001139166413,2.091273944741902,0.14933346520196575
Midtibia,female - eighth,0.08369046459258515,0.09327529108711333,304,-0.1640146498193097,0.33139557900447997,0.897241526852202,1
Midtibia,female - ninth,0.07308197603594749,0.10581352979828715,304,-0.20792012215672537,0.3540840742286203,0.6906675939765361,1
Midtibia,female - tenth,0.37340271474376346,0.15544450765768575,304,-0.03940113829473302,0.78620656778226,2.4021608763820552,0.10138922468704005
Midtibia,eighth - ninth,-0.010608488556637666,0.11109079249920524,304,-0.3056250695333062,0.2844080924200309,-0.09549385973381692,1
Midtibia,eighth - tenth,0.2897122501511783,0.1590838019745216,304,-0.13275623973405248,0.7121807400364091,1.8211297854044108,0.3478498408299977
Midtibia,ninth - tenth,0.30032073870781595,0.16674495258224784,304,-0.1424929697845725,0.7431344472002044,1.8010784377996758,0.3478498408299977
Hindfemur,female - eighth,0.07721833330924838,0.09717941806139074,304,-0.1808547167860502,0.33529138340454695,0.7945955517089799,0.8196498756799278
Hindfemur,female - ninth,0.1727438545364354,0.11024245680686842,304,-0.12001985660427919,0.46550756567715,1.566944891649702,0.3545036039849641
Hindfemur,female - tenth,0.525593430081281,0.16195078695498494,304,0.09551127494423556,0.9556755852183265,3.2453897876233997,0.007822382607708782
Hindfemur,eighth - ninth,0.09552552122718702,0.11574060441118245,304,-0.21183926234661324,0.4028903048009873,0.8253414755622072,0.8196498756799278
Hindfemur,eighth - tenth,0.44837509677203263,0.16574240743391686,304,0.008223782122387446,0.8885264114216778,2.705252709393667,0.036051270812146215
Hindfemur,ninth - tenth,0.35284957554484564,0.17372422286501726,304,-0.10849852639468138,0.8141976774843727,2.0310902516974143,0.1724626650389542
Hindtibia,female - eighth,0.23147669605822188,0.11115240513774842,303,-0.06370991977376153,0.5266633118902053,2.082516305169992,0.15253570248691795
Hindtibia,female - ninth,0.30304862761106915,0.1257162074795435,303,-0.03081496980842663,0.636912225030565,2.410577233332314,0.08261289909340791
Hindtibia,female - tenth,0.5477206554498485,0.18468237486739097,303,0.05726104575126528,1.0381802651484318,2.9657440556692696,0.019557750062174764
Hindtibia,eighth - ninth,0.07157193155284727,0.13226561588803706,303,-0.27968488107786105,0.42282874418355565,0.5411227330119792,0.5888205974930625
Hindtibia,eighth - tenth,0.31624395939162664,0.18920150081292075,303,-0.18621705947778178,0.818704978261035,1.6714664420359082,0.2869859164212789
Hindtibia,ninth - tenth,0.24467202783877934,0.1981083429969448,303,-0.28144282559042405,0.7707868812679828,1.2350415138374695,0.4355437521891075
