ID,Category,head length,head width,testes,pronotum,1.femur,1.tibia,1.tarsus,ear,2.femur,2.tibia,2.tarsus,3.femur,3.tibia,3.tarsus
1,nine,19.29,10.02,0.01957,6.31,10.91,12.8,3.625,3.085,10.68,12.455,3.52,17.73,19.35,3.665
2,ten,28.88,13.53,0.01862,7.19,13.3,15.31,4.375,4.165,13.15,14.98,4.12,21.145,23.505,4.05
3,eight,18.54,9.28,0.00753,6.35,11.185,12.015,3.26,2.74,10.9,12.035,,17.945,18.965,3.59
34,nine,21.52,10.64,0.01271,6.31,11.595,13.56,3.815,3.01,11.185,12.79,3.415,18.63,19.57,3.87
35,nine,23.54,11.75,0.02487,6.79,11.74,14.145,3.655,3.205,11.58,13.08,3.875,19.625,20.63,4.15
37,nine,19.61,9.78,0.01981,6.3,11.185,12.51,3.41,3.255,10.28,12.045,3.05,17.965,18.635,
38,nine,20.53,10.32,0.01257,6.46,11.17,13.1,3.75,3.265,10.73,12.63,3.67,17.905,19.14,2.23
39,nine,20.17,10.2,0.02548,6.71,11.625,13.465,3.97,2.995,11.315,12.49,3.85,18.65,19.43,4.01
42,nine,23.18,11.45,0.01503,7.41,11.905,13.555,3.905,3.135,11.005,12.68,3.395,19.525,20.405,3.77
43,nine,20.68,10.35,0.01502,6.32,11,12.625,3.555,3.04,10.465,12.1,3.47,18.095,18.62,3.56
44,ten,24.89,12.4,0.01754,7.33,12.77,14.01,3.945,3.355,11.69,13.15,3.905,20.34,20.485,3.87
47,ten,24.36,11.78,0.02411,6.79,12.905,13.895,4.22,3.655,11.925,13.16,3.99,19.475,20.38,
52,nine,20.24,10.43,0.02049,6.88,11.54,13.105,3.63,2.79,11.145,12.265,3.605,18.135,18.23,3.61
58,nine,24.03,11.76,0.0143,7.08,11.535,12.875,3.605,3.09,11.705,12.41,3.79,18.73,19.835,3.915
61,nine,21.63,10.79,0.01337,6.29,11.67,12.63,3.52,2.755,10.835,11.43,3.515,18.05,18,3.445
62,nine,19.76,10.29,0.01356,6.84,11.625,13.29,3.72,3.235,11.17,12.41,3.775,18.42,18.64,3.545
65,eight,18.02,9.44,0.01516,6.55,10.775,12.45,3.335,2.82,10.035,11.57,3.45,17.615,18.3,3.84
66,nine,19.58,9.88,0.0143,6.48,11.075,12.46,3.34,3.04,10.81,11.855,3.565,18.12,18.435,3.675
67,eight,17.49,9.27,0.01719,5.9,10.61,12.035,3.465,2.78,10.14,11.165,3.435,17.165,18.185,3.325
68,ten,24.38,11.57,0.01966,6.53,11.95,13.39,3.98,3.25,11.375,12.655,3.865,18.965,20.275,3.85
B83,eight,17.09,8.68,0.01105,6.26,10.325,11.935,3.01,2.755,10.225,11.62,3.305,17.39,17.15,2.875
B84,ten,27.18,13.16,0.02088,7.23,12.755,14.775,3.785,3.785,12.39,14.165,4.08,20.045,21.325,3.995
B85,nine,19.65,10.52,0.03831,6.67,10.225,12,3.73,,11.3,13.175,3.9,18.485,19.535,3.48
B86,nine,22.3,11.25,0.0416,6.9,12.165,13.97,3.655,3.535,11.73,13.025,3.715,19.62,20.18,3.475
B87,nine,24.11,12.04,0.01666,7.34,12.21,13.445,3.66,3.035,11.63,13.455,3.815,19.32,19.97,4.02
B88,ten,27.18,13.7,0.02792,7.07,13.06,15.765,4.255,3.99,12.995,14.94,4.34,22.005,25.165,4.19
B89,ten,28.46,13.7,0.01929,7.44,13.575,15.19,4.48,3.155,13.17,14.925,4.135,21.31,22.55,4.49
B90,nine,19.14,10.13,0.03208,6.75,11.47,13.02,3.735,3.57,11.245,12.605,3.38,17.99,18.505,2.78
B91,ten,29.89,14.73,0.03368,8.16,13.425,15.165,4.335,4.055,12.93,14.935,4.115,21.85,22.925,4.53
B92,eight,14.26,7.57,0.035,5.74,9.1,11.455,3.275,2.81,8.165,9.42,2.895,15.19,16.525,3.21
B93,nine,19.83,10.48,0.01712,6.35,11.44,12.935,3.665,3.415,10.98,12.39,2.965,18.125,20.02,3.655
B94,nine,21.83,10.89,0.01576,6.41,11.625,12.93,3.88,3.135,10.94,12.56,3.675,18.485,20.81,3.925
B95,ten,31.85,14.71,0.01352,7.57,13.875,15.81,4.4,4.54,13.7,14.82,4.345,20.915,23.135,3.485
B96,ten,26.19,12.73,0.01102,7.1,12.35,14.62,4.27,3.7,11.935,13.215,4.025,19.65,20.405,3.74
B98,eight,17.85,9.14,0.01269,6.33,10.9,12.845,3.45,3.005,10.65,11.99,3.245,17.125,18.19,3.245
B99,nine,19.41,9.94,0.01167,6.91,12.28,14.9,4.22,3.655,11.91,13.635,3.97,18.905,20.235,3.87
Found #1,ten,27.59,13.97,0.01253,,13.06,15.055,4.315,4.335,12.215,14.41,4.24,20.825,21.91,4.3
Y01,ten,26.82,13.42,0.00566,7.77,7.0575,14.97,4.4,3.695,12.715,14.505,4.09,20.5,22.165,4.175
Y03,nine,19.57,9.97,0.01226,6.2,10.81,12.525,3.685,2.68,10.255,12.045,3.49,17.39,18.4,3.48
Y04,nine,20.65,10.87,0.0193,6.91,11.875,13.94,3.96,3.79,11.485,12.985,3.99,19.77,20.2,4.025
Y06,ten,29.99,14.2,0.029,7.51,13.725,15.46,4.405,4.575,12.74,14.745,4.245,21.21,23.505,4.355
Y07,eight,18.75,9.49,0.01008,6.34,10.775,12.895,3.445,3.095,10.49,11.945,3.555,17.665,18.42,3.64
Y08,eight,18.75,9.7,0.03019,6.71,11.215,12.465,3.395,2.715,10.785,11.915,3.535,17.815,17.175,
Y10,eight,13.62,7.52,0.00926,5.85,9.655,11.565,3.02,2.44,9.7,11,3.32,15.495,16.37,3.235
Y11,ten,24.38,11.79,0.01276,7.3,11.985,13.835,4.035,3.465,11.635,13.295,3.945,20.11,20.33,3.505
Y12,ten,26.38,12.97,0.01333,7.54,12.835,14.13,4.16,3.495,12.065,13.875,4.065,19.89,20.57,3.99
Y13,eight,15.55,8.18,0.01564,5.6,9.775,11.83,3.325,2.56,9.68,11.125,3.31,16.555,17.07,3.17
Y14,eight,15.2,8.2,0.01349,6.08,9.795,11.43,3.36,2.705,9.73,10.725,3.34,15.86,17.45,
Y15,nine,21.57,11.41,0.03127,6.61,11.87,13.6,3.875,3.645,11.96,13.295,3.935,20.365,21.575,4.045
Y16,nine,19.18,9.88,0.01532,6.99,11.805,13.18,3.04,2.705,11.34,12.78,3.62,18.855,19.015,3.345
Y18,eight,18.67,9.64,0.01751,6.48,10.41,12.235,3.75,3.085,10.14,11.555,3.505,17.115,17.69,3.375
Y19,nine,19.8,10.37,0.01052,6.51,10.58,12.61,3.7,2.74,10.84,12.34,3.59,18.21,18.375,3.64
Y21,eight,18.52,10.38,0.0143,6.87,11.835,13.355,3.78,3.395,11.4,12.52,3.89,19.035,20.2,3.715
Y22,eight,13.52,7.36,0.01204,5.51,9.465,11.335,3.41,2.47,9.31,10.385,,15.025,13.725,
Y23,nine,20.6,10.59,0.01163,6.66,11.455,13.185,3.75,3.285,10.885,12.77,3.69,18.58,19.745,3.685
Y24,eight,16.54,8.66,0.03158,6.32,10.73,12.015,3.555,2.515,10.035,11.55,3.45,16.51,17.14,3.38
Y25,eight,17.47,9.07,0.01171,6.06,10.69,12.19,3.505,2.68,10.245,11.805,3.445,17.205,17.89,3.74
Y26,ten,30.15,13.8,0.01788,7.97,13.98,15.205,4.51,3.98,13.435,15.095,4.32,21.38,23.49,4.36
Y27,eight,17.44,9.14,0.01202,6.44,11.265,12.665,3.47,2.97,11.065,12.42,3.58,17.46,18.345,3.125
Y28,eight,15.17,8.57,0.02052,5.93,10.31,12.1,3.35,2.785,9.94,11.375,3.3,16.905,17.845,3.23
Y29,eight,16.45,8.68,0.01864,6.18,10.385,11.825,3.15,2.765,10.4,11.59,3.545,17.255,18.225,2.26
Y30,eight,18.26,9.61,0.0106,6.31,11.27,12.23,3.69,2.435,10.8,11.93,3.57,17.265,17.845,3.57
Y31,nine,19.52,10.48,0.0137,6.2,11.22,12.28,3.76,2.955,11.025,11.86,3.565,18.215,18.7,3.485
Y32,eight,18.45,9.27,0.01626,6.64,10.69,12.615,3.555,2.975,10.2,11.93,3.47,17.815,19,3.355
Y33,ten,25.05,12.75,0.02648,6.98,13.135,15.035,4.2,3.91,12.475,14.225,4.225,20.995,22.16,4.28
