ID,year,sex,Category,testes,head length,1st left femur,1st right femur,1.femur,1st left tibia,1st right tibia,1.tibia,1st left tarsus,1st right tarsus,1.tarsus,left ear,right ear,ear,2nd left femur,2nd right femur,2.femur,2nd left tibia,2nd right tibia,2.tibia,2nd left tarsus,2nd right tarsus,2.tarsus,3rd left femur,3rd right femur,3.femur,3rd left tibia,3rd right tibia,3.tibia,3rd left tarsus,3rd right tarsus,3.tarsus,pronotum,head width,left eye,right eye,best eye clarity
m01,2006,Male,nine,0.01957,19.29,10.88,10.94,10.91,12.62,12.98,12.8,3.67,3.58,3.625,3.06,3.11,3.085,10.64,10.72,10.68,12.45,12.46,12.455,3.58,3.46,3.52,17.71,17.75,17.73,19.41,19.29,19.35,3.62,3.71,3.665,6.31,10.02,3.9,3.66,"neither, maybe right"
m02,2006,Male,ten,0.01862,28.88,13.63,12.97,13.3,15.39,15.23,15.31,4.23,4.52,4.375,4.18,4.15,4.165,13.26,13.04,13.15,14.9,15.06,14.98,4.01,4.23,4.12,19.73,22.56,21.145,23.61,23.4,23.505,4.01,4.09,4.05,7.19,13.53,4.44,4.97,neither
m03,2006,Male,eight,0.00753,18.54,11.18,11.19,11.185,11.23,12.8,12.015,3.26,no tarsus,3.26,,2.74,2.74,10.77,11.03,10.9,11.82,12.25,12.035,no tarsus,no tarsus,,17.36,18.53,17.945,18.59,19.34,18.965,3.56,3.62,3.59,6.35,9.28,3.45,3.04,right
m34,2006,Male,nine,0.01271,21.52,11.72,11.47,11.595,13.64,13.48,13.56,3.91,3.72,3.815,3.01,3.01,3.01,11.16,11.21,11.185,12.76,12.82,12.79,3.48,3.35,3.415,18.63,,18.63,19.57,,19.57,3.87,no picture,3.87,6.31,10.64,3.44,2.55,left
m35,2006,Male,nine,0.02487,23.54,11.82,11.66,11.74,14.42,13.87,14.145,3.9,3.41,3.655,3.3,3.11,3.205,11.66,11.5,11.58,13.01,13.15,13.08,3.93,3.82,3.875,19.44,19.81,19.625,20.4,20.86,20.63,no tarsus,4.15,4.15,6.79,11.75,,,no picture
m37,2006,Male,nine,0.01981,19.61,11.19,11.18,11.185,12.42,12.6,12.51,3.41,no tarsus,3.41,3.19,3.32,3.255,10.41,10.15,10.28,12.12,11.97,12.045,3.56,2.54,3.05,17.72,18.21,17.965,18.13,19.14,18.635,no tarsus,no tarsus,3.49,6.3,9.78,3.12,2.72,neither
m38,2006,Male,nine,0.01257,20.53,10.91,11.43,11.17,13.02,13.18,13.1,no tarsus,3.75,3.75,3.33,3.2,3.265,no picture,10.73,10.73,no picture,12.63,12.63,no picture,3.67,3.67,18.09,17.72,17.905,19.24,19.04,19.14,no tarsus,2.23,2.23,6.46,10.32,3.92,3.49,left
m39,2006,Male,nine,0.02548,20.17,11.71,11.54,11.625,13.52,13.41,13.465,3.93,4.01,3.97,2.87,3.12,2.995,11.35,11.28,11.315,12.42,12.56,12.49,3.86,3.84,3.85,18.19,19.11,18.65,19.88,18.98,19.43,no tarsus,4.01,4.01,6.71,10.2,3.39,2.75,left
m42,2006,Male,nine,0.01503,23.18,11.74,12.07,11.905,13.51,13.6,13.555,3.82,3.99,3.905,3.07,3.2,3.135,11.16,10.85,11.005,12.83,12.53,12.68,3.78,3.01,3.395,19.37,19.68,19.525,20.56,20.25,20.405,no tarsus,3.77,3.77,7.41,11.45,4.17,3.66,both
m43,2006,Male,nine,0.01502,20.68,10.83,11.17,11,12.84,12.41,12.625,3.53,3.58,3.555,2.97,3.11,3.04,10.51,10.42,10.465,12.2,12,12.1,3.5,3.44,3.47,17.77,18.42,18.095,18.35,18.89,18.62,3.41,3.71,3.56,6.32,10.35,2.73,1.89,left
