group,leg,emmean,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,response_scale,predicted,lower,upper
Female,Foreleg,3.1645115944063775,0.005657031187192223,330.97393502111225,3.153383323824909,3.175639864987846,559.3944048904973,0,Leg length,original length,23.67717714263643,23.415151757541675,23.942134701869755
Eighth instar,Foreleg,3.2212206012988194,0.009201179006963654,330.97393502196206,3.203120434220044,3.2393207683775946,350.0878092754123,0,Leg length,original length,25.058688189218028,24.609201906139564,25.516384324832394
Ninth instar,Foreleg,3.2721513262039807,0.004977364696924802,330.9739350233183,3.262360066566694,3.2819425858412674,657.4063837889225,0,Leg length,original length,26.368004547871806,26.111088388155142,26.627448595822862
Tenth instar,Foreleg,3.3210672559809558,0.008063108673227879,330.97393502397637,3.3052058523446077,3.336928659617304,411.88422363795866,0,Leg length,original length,27.689886991749585,27.25415134234494,28.13258912320598
Female,Midleg,3.153061485779938,0.0056376185943860695,314.1579649205175,3.1419692238710577,3.1641537476888186,559.2896065937755,0,Leg length,original length,23.407617083414767,23.149408370853624,23.66870585831592
Eighth instar,Midleg,3.1740212220493205,0.009180721884218972,315.30827491038553,3.155958003814753,3.192084440283888,345.7267589714535,0,Leg length,original length,23.903412281941545,23.475515956132018,24.339108021658884
Ninth instar,Midleg,3.225658321150685,0.004960284438585784,314.1579649224693,3.215898743908243,3.2354178983931265,650.2970466891906,0,Leg length,original length,25.170138737509458,24.925683653779608,25.4169912795715
Tenth instar,Midleg,3.267741511534813,0.008035439416996883,314.1579649229982,3.2519314319641546,3.283551591105472,406.6661873677693,0,Leg length,original length,26.251982540413245,25.84020033958225,26.67032678715305
Female,Hindleg,3.6771814158470573,0.006075836260252248,312.60139935321934,3.665226711259518,3.6891361204345965,605.2140410535674,0,Leg length,original length,39.53480471039827,39.064991632700206,40.01026797049114
Eighth instar,Hindleg,3.611779203563176,0.009913089486548161,314.57991225047095,3.5922748662751127,3.631283540851239,364.34445673715334,0,Leg length,original length,37.03188149164996,36.31659743091769,37.76125363672193
Ninth instar,Hindleg,3.672618436687813,0.005345852251008203,312.6013993557593,3.6621000353201665,3.6831368380554594,687.0033559186328,0,Leg length,original length,39.35481916786619,38.94303881611187,39.770953649735816
Tenth instar,Hindleg,3.7157037383914577,0.008660042065539292,312.60139935606003,3.6986643976036793,3.732743079179236,429.0630126587113,0,Leg length,original length,41.08749175789434,40.39331890301736,41.79359420819786
