contrast,leg,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,Holm_family
Female - Eighth instar,Foreleg,-0.030149948344973386,0.08944299721606615,331.4186953512621,-0.2675485737743368,0.20724867708439,-0.33708562194243774,0.7362657239156905,Six group slope contrasts within Foreleg
Female - Ninth instar,Foreleg,0.10689445233118894,0.10156211457679866,331.4186953520556,-0.16267060191209942,0.3764595065744773,1.0525032171357371,0.5978946356141513,Six group slope contrasts within Foreleg
Female - Tenth instar,Foreleg,0.3789933260541446,0.14919900061135183,331.4186953510778,-0.017009030340588982,0.7749956824488782,2.540186760643146,0.05767680853203679,Six group slope contrasts within Foreleg
Eighth instar - Ninth instar,Foreleg,0.13704440067616233,0.1065562850918004,331.41869535246343,-0.14577612635229006,0.4198649277046147,1.2861221706264985,0.5978946356141513,Six group slope contrasts within Foreleg
Eighth instar - Tenth instar,Foreleg,0.409143274399118,0.15264245988151667,331.4186953514318,0.004001326053053256,0.8142852227451828,2.6804027838433755,0.046325357851308056,Six group slope contrasts within Foreleg
Ninth instar - Tenth instar,Foreleg,0.2720988737229557,0.1600454120710681,331.4186953526228,-0.15269190939630573,0.6968896568422172,1.7001354190779947,0.360174500751257,Six group slope contrasts within Foreleg
Female - Eighth instar,Midleg,0.037749769290577974,0.08915647187180452,314.89933019810474,-0.19896332102088052,0.2744628596020365,0.42341030884283154,1,Six group slope contrasts within Midleg
Female - Ninth instar,Midleg,0.07283373737514967,0.10121359537837611,314.6822834706492,-0.1958925530969807,0.34156002784728,0.7196042893533087,1,Six group slope contrasts within Midleg
Female - Tenth instar,Midleg,0.39868967923703214,0.14868701130987672,314.68228346924553,0.003919501956792415,0.7934598565172719,2.681402199995318,0.046308614884053446,Six group slope contrasts within Midleg
Eighth instar - Ninth instar,Midleg,0.03508396808457172,0.10620775731733467,314.83522242298733,-0.246901158219613,0.3170690943887564,0.33033338591027284,1,Six group slope contrasts within Midleg
Eighth instar - Tenth instar,Midleg,0.36093990994645414,0.15213061216344206,314.7568188710703,-0.04297256207142425,0.7648523819643325,2.3725659472051364,0.09132856520263362,Six group slope contrasts within Midleg
Ninth instar - Tenth instar,Midleg,0.3258559418618824,0.159496202368625,314.6822834707923,-0.09761308566038002,0.7493249693841448,2.043032605307865,0.16752799007250918,Six group slope contrasts within Midleg
Female - Eighth instar,Hindleg,0.1630018263644696,0.09624532312981658,314.6986282801831,-0.09253341098069631,0.4185370637096355,1.693607762577837,0.2554587494416999,Six group slope contrasts within Hindleg
Female - Ninth instar,Hindleg,0.2397998955668118,0.1090810281920828,313.40881801955527,-0.04982223871201652,0.5294220298456401,2.1983648260497115,0.11707442153731851,Six group slope contrasts within Hindleg
Female - Tenth instar,Hindleg,0.5366608619493803,0.16024459966920912,313.4088180187562,0.11119381481879564,0.962127909079965,3.349010594161691,0.005459844266541189,Six group slope contrasts within Hindleg
Eighth instar - Ninth instar,Hindleg,0.0767980692023422,0.11459658668529941,314.31845583099835,-0.2274628574732808,0.3810589958779652,0.6701601803659475,0.5032477394434447,Six group slope contrasts within Hindleg
Eighth instar - Tenth instar,Hindleg,0.37365903558491065,0.16404889116243504,313.85260467300293,-0.06190489155399209,0.8092229627238134,2.277729723969469,0.11707442153731851,Six group slope contrasts within Hindleg
Ninth instar - Tenth instar,Hindleg,0.29686096638256854,0.171893999833338,313.4088180202644,-0.15953652020684173,0.7532584529719788,1.7270001667911261,0.2554587494416999,Six group slope contrasts within Hindleg
