contrast,group,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,Holm_family
Foreleg - Midleg,Female,-0.01668603986696232,0.029945483971375638,305.0485517326504,-0.088772477941765,0.05540039820784036,-0.55721389852681,0.5777899069632848,Three leg slope contrasts within Female
Foreleg - Hindleg,Female,-0.09858351568438962,0.04835968903280625,306.5165537667919,-0.2149945635727453,0.017827532203966046,-2.038547345031779,0.12705938426391455,Three leg slope contrasts within Female
Midleg - Hindleg,Female,-0.08189747581742732,0.045463480338692165,305.81916644557083,-0.19133817077522391,0.027543219140369266,-1.8013903732690615,0.14525252073652367,Three leg slope contrasts within Female
Foreleg - Midleg,Eighth instar,0.05121367776858904,0.034178549386906655,305.1602769170765,-0.031062664308450352,0.13349001984562842,1.4984157808701009,0.2701179320129751,Three leg slope contrasts within Eighth instar
Foreleg - Hindleg,Eighth instar,0.09456825902505334,0.05542400229307921,307.83796357207893,-0.038844786275033294,0.22798130432513997,1.7062690371038411,0.2668996302864767,Three leg slope contrasts within Eighth instar
Midleg - Hindleg,Eighth instar,0.0433545812564643,0.05213951174109669,306.5981078845247,-0.0821550407414113,0.1688642032543399,0.8315110711382429,0.406332092138866,Three leg slope contrasts within Eighth instar
Foreleg - Midleg,Ninth instar,-0.0507467548230016,0.041963821716269216,305.048551732911,-0.15176440537837255,0.050270895732369356,-1.2092977414239485,0.5483604357432879,Three leg slope contrasts within Ninth instar
Foreleg - Hindleg,Ninth instar,0.034321927551233186,0.0677683944185617,306.5165537667339,-0.12880959719088075,0.19745345229334715,0.5064592107531538,0.6128984114130296,Three leg slope contrasts within Ninth instar
Midleg - Hindleg,Ninth instar,0.08506868237423479,0.06370981966287939,305.8191664453263,-0.06829500398673816,0.23843236873520773,1.335252286450909,0.5483604357432879,Three leg slope contrasts within Ninth instar
Foreleg - Midleg,Tenth instar,0.0030103133159251755,0.06956145352443695,305.0485517328853,-0.1644418947257208,0.17046252135757112,0.04327559536788075,1,Three leg slope contrasts within Tenth instar
Foreleg - Hindleg,Tenth instar,0.059084020210846036,0.11233647999569266,306.51655376682186,-0.21133143559401996,0.329499476015712,0.5259557733437216,1,Three leg slope contrasts within Tenth instar
Midleg - Hindleg,Tenth instar,0.05607370689492086,0.10560877151499938,305.81916644534755,-0.1981500626479547,0.3102974764377964,0.530956909076031,1,Three leg slope contrasts within Tenth instar
