ID,blind_code,sex,morph,r1,r2,r3,diff_r1_r2,diff_r2_r3,diff_r1_r3,max_diff,mean_r123
CVQJ,R008,f,female,11.8885,11.867,11.806,0.0215,0.061,0.0825,0.0825,11.85383333
DOCI,R033,m,ninth,13.065,13.0155,12.9585,0.0495,0.057,0.1065,0.1065,13.013
DYFV,R048,m,tenth,15.121,14.908,14.866,0.213,0.042,0.255,0.255,14.965
ECJN,R021,m,tenth,,,,6.814,0.011,6.803,6.814,9.022
EWKB,R038,m,ninth,11.93,11.8445,11.8465,0.0855,0.002,0.0835,0.0855,11.87366667
GLXO,R034,f,female,14.0585,14.0945,14.029,0.036,0.0655,0.0295,0.0655,14.06066667
GWYL,R039,m,eighth,11.6735,11.677,11.585,0.0035,0.092,0.0885,0.092,11.64516667
HDZC,R009,m,tenth,14.2935,14.3145,14.2215,0.021,0.093,0.072,0.093,14.2765
HNUV,R041,m,eighth,11.482,11.3035,11.1745,0.1785,0.129,0.3075,0.3075,11.32
ILNB,R002,m,tenth,15.2115,15.226,15.1795,0.0145,0.0465,0.032,0.0465,15.20566667
JDYH,R011,m,ninth,12.843,12.877,12.7635,0.034,0.1135,0.0795,0.1135,12.82783333
JUCL,R012,m,ninth,12.6395,12.654,12.582,0.0145,0.072,0.0575,0.072,12.62516667
JUJH,R028,m,ninth,13.918,13.9575,13.8865,0.0395,0.071,0.0315,0.071,13.92066667
JXVQ,R014,m,tenth,14.0435,14.0925,14.018,0.049,0.0745,0.0255,0.0745,14.05133333
LAZJ,R022,m,ninth,12.5445,12.56,12.5215,0.0155,0.0385,0.023,0.0385,12.542
LLJC,R035,m,tenth,14.7275,14.752,14.6585,0.0245,0.0935,0.069,0.0935,14.71266667
LRSS,R007,m,ninth,13.6845,13.7075,13.5855,0.023,0.122,0.099,0.122,13.65916667
LUXM,R004,f,female,13.5785,13.6655,13.5405,0.087,0.125,0.038,0.125,13.59483333
MJSX,R026,m,eighth,11.3995,11.334,11.077,0.0655,0.257,0.3225,0.3225,11.27016667
MUVY,R019,m,tenth,14.065,14.144,14.03,0.079,0.114,0.035,0.114,14.07966667
NRDG,R043,m,eighth,12.1895,12.2105,12.115,0.021,0.0955,0.0745,0.0955,12.17166667
ONAU,R005,f,female,12.5645,12.789,12.679,0.2245,0.11,0.1145,0.2245,12.6775
PIKP,R047,m,tenth,14.281,14.362,14.229,0.081,0.133,0.052,0.133,14.29066667
PTRO,R018,f,female,11.985,12.1655,11.939,0.1805,0.2265,0.046,0.2265,12.02983333
PZMO,R010,m,eighth,11.0925,11.252,11.1765,0.1595,0.0755,0.084,0.1595,11.17366667
QDVU,R040,f,female,12.875,13.052,12.944,0.177,0.108,0.069,0.177,12.957
QRKY,R001,f,female,11.972,12.1125,12.0815,0.1405,0.031,0.1095,0.1405,12.05533333
QSRM,R030,m,ninth,13.1505,13.3285,13.199,0.178,0.1295,0.0485,0.178,13.226
RDRL,R024,m,eighth,12.2265,12.4515,12.4455,0.225,0.006,0.219,0.225,12.3745
SEVZ,R036,f,female,14.369,14.296,14.297,0.073,0.001,0.072,0.073,14.32066667
SMVB,R029,m,eighth,12.455,12.6325,12.551,0.1775,0.0815,0.096,0.1775,12.54616667
SMXT,R042,m,eighth,10.7595,10.7375,10.8355,0.022,0.098,0.076,0.098,10.7775
TKSH,R013,m,ninth,13.388,13.4675,13.501,0.0795,0.0335,0.113,0.113,13.45216667
UKOQ,R037,m,tenth,14.244,14.415,14.3405,0.171,0.0745,0.0965,0.171,14.33316667
UNBX,R044,m,eighth,12.506,12.6415,12.491,0.1355,0.1505,0.015,0.1505,12.54616667
UQVJ,R046,m,ninth,12.117,12.2965,12.235,0.1795,0.0615,0.118,0.1795,12.21616667
UWVR,R006,f,female,12.3055,12.4705,12.364,0.165,0.1065,0.0585,0.165,12.38
UYSP,R027,m,tenth,13.94,14.287,14.0555,0.347,0.2315,0.1155,0.347,14.09416667
VFPH,R015,m,ninth,13.544,13.6985,13.6205,0.1545,0.078,0.0765,0.1545,13.621
WHVM,R017,m,tenth,14.265,14.422,14.336,0.157,0.086,0.071,0.157,14.341
WJST,R020,f,female,12.8005,13.1495,12.8695,0.349,0.28,0.069,0.349,12.93983333
WWFJ,R025,m,eighth,11.5685,11.736,11.6695,0.1675,0.0665,0.101,0.1675,11.658
XQBJ,R032,m,tenth,13.4925,13.6225,13.5925,0.13,0.03,0.1,0.13,13.56916667
XWCJ,R023,m,eighth,12.411,12.702,12.297,0.291,0.405,0.114,0.405,12.47
YNZS,R016,f,female,13.4515,13.4735,13.363,0.022,0.1105,0.0885,0.1105,13.42933333
YRUH,R045,f,female,13.0755,,13.105,,,0.0295,0.0295,13.09025
YZUH,R003,m,eighth,11.34,11.446,11.426,0.106,0.02,0.086,0.106,11.404
ZFXN,R031,m,ninth,13.9395,13.857,14.027,0.0825,0.17,0.0875,0.17,13.94116667
