term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
logP_c,0.0863739062837898,0.0863739062837898,1,312.25730043078323,321.59273053626674,6.235296934161374e-50
group,0.07310994573952963,0.024369981913176544,3,312.5021361954656,90.73584099378316,2.9650740229178897e-42
leg,11.696354132137788,5.848177066068894,2,623.2468036371002,21774.298654009523,0
relative_head_size,0.030566019683595784,0.030566019683595784,1,312.24210727081714,113.80531638080669,7.348068001746616e-23
logP_c:group,0.004848321248470676,0.0016161070828235589,3,312.334866827999,6.017190977754456,5.376146440405558e-4
logP_c:leg,2.069152952564324e-4,1.034576476282162e-4,2,622.8623870790703,0.3851999848924413,0.6804765210813419
group:leg,0.1703388610355077,0.028389810172584615,6,623.1047667413224,105.70271700819477,1.2907139835456322e-91
group:relative_head_size,9.760505364127553e-4,3.2535017880425175e-4,3,312.3522650424067,1.2113641362745498,0.305667323967197
leg:relative_head_size,0.0024700476131809834,0.0012350238065904917,2,622.8472398293542,4.598317887045362,0.010413000264325746
logP_c:group:leg,0.0036657536163952117,6.109589360658686e-4,6,622.9388868356143,2.27476052604824,0.035160667946781146
group:leg:relative_head_size,0.00841313421552703,0.0014021890359211715,6,622.955869217332,5.220717925021458,2.9435266165414174e-5
