group,leg,emmean,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,response_scale,predicted,lower,upper
female,Foreleg,3.1645115944074753,0.005792048147140877,447.8909005765975,3.1531286291803315,3.175894559634619,546.3545043163307,0,Leg length,original length,23.677177142662426,23.409188803185568,23.948233412032085
eighth,Foreleg,3.2212206012987132,0.009420784516700751,447.8911705149983,3.2027061726084334,3.239735029988993,341.92700147087277,0,Leg length,original length,25.058688189215367,24.599009369831496,25.526956973089817
ninth,Foreleg,3.2721513262039355,0.005096159985070866,447.89090057703504,3.2621359723207575,3.2821666800871134,642.0817509241585,0,Leg length,original length,26.368004547870612,26.10523769906958,26.633416322476375
tenth,Foreleg,3.3210672559808887,0.008255551738286114,447.89090057703504,3.304842829667343,3.3372916822944343,402.28289534896135,0,Leg length,original length,27.68988699174773,27.244259262991267,28.14280374498159
female,Midleg,3.153061485780645,0.0057920481471411146,447.8909005766996,3.141678520553501,3.1644444510077894,544.3776373538881,0,Leg length,original length,23.407617083431315,23.142679739105912,23.67558742986406
eighth,Midleg,3.174180267774188,0.009440914337587591,450.8150416565064,3.1556266044945254,3.1927339310538505,336.21534464481505,0,Leg length,original length,23.90721431981565,23.46773747506502,24.35492118236315
ninth,Midleg,3.2256583211506515,0.005096159985070851,447.89090057703504,3.2156429672674736,3.2356736750338295,632.958606205493,0,Leg length,original length,25.17013873750862,24.919309061416424,25.423493183699918
tenth,Midleg,3.267741511534768,0.008255551738286127,447.89090057703504,3.2515170852212223,3.2839659378483135,395.8235155114126,0,Leg length,original length,26.251982540412055,25.829495754592937,26.681379839927903
female,Hindleg,3.6771814158477723,0.0057920481471411085,447.8909005766996,3.665798450620628,3.6885643810749165,634.8672045592004,0,Leg length,original length,39.53480471042654,39.08733301217247,39.987399063651104
eighth,Hindleg,3.611777478276155,0.009444341110390995,451.3616514165519,3.5932171410689557,3.6303378154833545,382.4276819377427,0,Leg length,original length,37.03181760108058,36.35083377276281,37.72555874267841
ninth,Hindleg,3.6726184366877765,0.00509615998507085,447.89090057703504,3.6626030828045986,3.6826337905709545,720.6638817161698,0,Leg length,original length,39.354819167864754,38.96263394205064,39.75095200285683
tenth,Hindleg,3.715703738391408,0.008255551738286127,447.89090057703504,3.6994793120778624,3.7319281647049536,450.08545233377674,0,Leg length,original length,41.0874917578923,40.42624941920648,41.75954987683853
