group,leg,logP_c.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
female,Foreleg,0.7106991384422229,0.06040239308172928,447.890900576685,0.591991848271477,0.8294064286129688,11.766075848693443,4.913281117107818e-28
eighth,Foreleg,0.740849086795576,0.06883337752384967,447.89106253359586,0.6055725970032807,0.8761255765878714,10.762933818537142,3.4984097802301725e-24
ninth,Foreleg,0.6038046861195564,0.08464432423067633,447.89090057703504,0.4374553438979336,0.7701540283411792,7.133433831594449,3.960810588582986e-12
tenth,Foreleg,0.3317058123981327,0.14031091509944127,447.89090057703504,0.055956331904944034,0.6074552928913213,2.3640770367939363,0.01850088987698889
female,Midleg,0.7273851783125398,0.06040239308173086,447.89090057675793,0.6086778881417909,0.8460924684832887,12.042323841843656,3.9715115710883833e-29
eighth,Midleg,0.6903070577915982,0.06888254489656588,448.8683185565116,0.5549347391487838,0.8256793764344126,10.02150920567996,1.8189194765922826e-21
ninth,Midleg,0.6545514409427308,0.08464432423067614,447.89090057703504,0.4882020987211083,0.8209007831643532,7.7329631595725274,7.00078646432141e-14
tenth,Midleg,0.3286954990819332,0.14031091509944132,447.89090057703504,0.052946018588744426,0.6044449795751219,2.34262244565207,0.01958567626027073
female,Hindleg,0.8092826541299062,0.060402393081730794,447.89090057675793,0.6905753639591574,0.927989944300655,13.398188595522392,1.163299936684321e-34
eighth,Hindleg,0.646556218396833,0.0690096334150357,451.6423376920535,0.5109363893753105,0.7821760474183554,9.369071916500898,3.510040458512038e-19
ninth,Hindleg,0.5694827585684659,0.08464432423067611,447.89090057703504,0.4031334163468435,0.7358321007900882,6.727949732535977,5.2720104703777054e-11
tenth,Hindleg,0.272621792187088,0.14031091509944132,447.89090057703504,-0.003127688306100773,0.5483712726802767,1.9429834948612168,0.05264437619967136
