leg,group,logP_c.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
Foreleg,female,0.7106991384515098,0.05899985221493026,305,0.5946008603400351,0.8267974165629844,12.045778281994801,1.3437441800670185e-27
Foreleg,eighth,0.7408490867964582,0.06723506957525148,305,0.6085457756295775,0.873152397963339,11.018789620902794,5.435042814801876e-24
Foreleg,ninth,0.6038046861202967,0.08267888680644452,305,0.44111145835704685,0.7664979138835466,7.30300938296175,2.4668511907063585e-12
Foreleg,tenth,0.3317058123973414,0.1370529019240622,305,0.06201690087939171,0.6013947239152911,2.4202757310540703,0.016092810383100346
Midleg,female,0.7273851783184605,0.05868642680722946,304,0.6119021367618676,0.8428682198750534,12.39443629287131,7.836773411550443e-29
Midleg,eighth,0.6949429846047336,0.06698988105859915,304,0.5631204212107663,0.8267655479987008,10.373850104269252,8.7371863043797e-22
Midleg,ninth,0.6545514409432982,0.08223967106551087,304,0.4927203691274047,0.8163825127591917,7.959071728556555,3.4709350022831813e-14
Midleg,tenth,0.32869549908141643,0.13632483464847575,304,0.06043574292658749,0.5969552552362454,2.411119734192112,0.016496527825753487
Hindleg,female,0.8092826541358925,0.06323797152279637,303,0.6848414498803735,0.9337238583914115,12.797416404227292,2.8484850720725018e-30
Hindleg,eighth,0.6583246730978269,0.07256810098119812,303,0.5155234152589184,0.8011259309367355,9.0718189424358,1.5182296631744325e-17
Hindleg,ninth,0.5694827585690645,0.0886179353527152,303,0.3950982498889549,0.7438672672491741,6.426269764719991,5.065994645428562e-10
Hindleg,tenth,0.2726217921864973,0.14689778336084064,303,-0.016447205817330446,0.561690790190325,1.8558604898538693,0.06444424686945664
