model,Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
Foreleg,logP_c,8.982505231400385,7.357679655149678,11.022585790040779,2.9970827868779977,0.11132751657124264,0.09072281396108783,0.13591241354196426
Foreleg,group,25.362316875403142,20.579210617024383,31.313912810227208,1.714081577995209,0.039428574483659225,0.03193468686140677,0.04859272877904941
Foreleg,logP_c:group,32.72636168251252,26.52348408479418,40.43670159863742,5.720695908935601,0.030556406168864,0.024730009136890052,0.03770243746270485
Midleg,logP_c,3.6383761627276883,3.0390741050786367,4.413818437844971,1.907452794364172,0.2748478868799263,0.22656119957853227,0.3290475866741409
Midleg,group,3.6383761627276883,3.0390741050786367,4.413818437844971,1.2401796467011463,0.2748478868799263,0.22656119957853227,0.3290475866741409
Hindleg,logP_c,8.868647054873557,7.261516535310794,10.88827644629021,2.9780273764479666,0.11275677043100654,0.0918419003166212,0.13771228022924276
Hindleg,group,25.136680119844293,20.384407264929965,31.05401812113617,1.71153054051211,0.039782500920260526,0.03220195196960274,0.049057104629205206
Hindleg,logP_c:group,32.3146257587233,26.1747522070117,39.95195386017651,5.684595478899383,0.03094573978564647,0.02503006495000948,0.03820475518129718
Ear,logP_c,6.784611757801631,5.576728410768447,8.311277879143047,2.6047287301754922,0.14739236904014427,0.1203184413445586,0.179316603991157
Ear,log_foretibia_c,4.828920377646543,4.000708171333271,5.885723776278772,2.197480461266162,0.20708562614307738,0.16990263865767863,0.24995574712632473
Ear,group,10.243281127052121,8.364363786145708,12.60157869366118,1.473691285405994,0.09762496875723127,0.07935513671021377,0.11955481917899691
Eye,logP_c,7.275043754217281,5.971989208469411,8.919601685833698,2.697228902821798,0.1374562179671165,0.11211262960186008,0.16744839367455833
Eye,log_head_size_c,20.33626372640811,16.49976777041939,25.122367537064616,4.509574672450619,0.049173241134822014,0.03980516559693814,0.06060691361928072
Eye,group,73.37120076877747,59.24954874491519,90.9164167545918,2.046072120504142,0.013629325805248945,0.010999113644120762,0.016877765673883216
