segment,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Forefemur,female - eighth,-0.1049597501238097,0.10077216186655939,305,-0.3725680390903615,0.1626485388427421,-1.0415550106267983,0.5968858662798193
Forefemur,female - ninth,0.10241481206621923,0.11442632926219533,305,-0.2014531770628391,0.40628280119527754,0.8950283796270959,0.5968858662798193
Forefemur,female - tenth,0.4729419137967658,0.16809707084855346,305,0.02654710915182995,0.9193367184417016,2.8135047886876112,0.026093382620590695
Forefemur,eighth - ninth,0.20737456219002892,0.1200530789820332,305,-0.11143569707671624,0.5261848214567741,1.72735729852513,0.2553475818219041
Forefemur,eighth - tenth,0.5779016639205755,0.1719766907825289,305,0.1212042277438633,1.0345991000972878,3.3603487850068836,0.005264630429614818
Forefemur,ninth - tenth,0.3705271017305466,0.1803173269369027,305,-0.10831954042549291,0.849373743886586,2.054861327110305,0.1629757755536912
Foretibia,female - eighth,0.03944812616909552,0.08950728360571426,305,-0.19824540518023745,0.2771416575184285,0.4407253195490462,1
Foretibia,female - ninth,0.11232528871237123,0.10163511147844986,305,-0.15757462985530152,0.382225207280044,1.1051819305200254,1
Foretibia,female - tenth,0.29093592412626634,0.14930623611761784,305,-0.1055583619879894,0.6874302102405221,1.9485852144653755,0.31357058258764725
Foretibia,eighth - ninth,0.0728771625432757,0.1066328715108168,305,-0.2102946952797854,0.3560490203663368,0.6834399328342486,1
Foretibia,eighth - tenth,0.2514877979571708,0.15275217034469682,305,-0.15415743366940798,0.6571330295837496,1.646377903434495,0.5035797512917692
Foretibia,ninth - tenth,0.1786106354138951,0.16016044334285057,305,-0.24670783954210873,0.6039291103698989,1.1151981830591513,1
Midfemur,female - eighth,-0.025445203414449315,0.0949930890994233,304,-0.27771216210703764,0.226821755278139,-0.2678637325691916,1
Midfemur,female - ninth,0.07170907866563124,0.10776223742540397,304,-0.21446807542989038,0.3578862327611529,0.6654379157195048,1
Midfemur,female - tenth,0.42684043574421454,0.1583072407906169,304,0.006434208808421271,0.8472466626800078,2.696278664276448,0.037013333447761296
Midfemur,eighth - ninth,0.09715428208008056,0.11313668847355121,304,-0.20329545156214127,0.3976040157223024,0.8587336556416271,1
Midfemur,eighth - tenth,0.4522856391586639,0.16201355792207825,304,0.02203678725332775,0.8825344910640001,2.79165302558317,0.033455548380572325
Midfemur,ninth - tenth,0.3551313570785833,0.16981579958545895,304,-0.09583739975947492,0.8061001139166415,2.091273944741904,0.14933346520196497
Midtibia,female - eighth,0.08369046459258517,0.09327529108711335,304,-0.16401464981930972,0.33139557900448,0.8972415268522019,1
Midtibia,female - ninth,0.07308197603594774,0.10581352979828716,304,-0.20792012215672512,0.3540840742286206,0.6906675939765383,1
Midtibia,female - tenth,0.37340271474376363,0.1554445076576858,304,-0.03940113829473296,0.7862065677822603,2.4021608763820552,0.10138922468704005
Midtibia,eighth - ninth,-0.01060848855663743,0.11109079249920525,304,-0.30562506953330604,0.2844080924200312,-0.09549385973381479,1
Midtibia,eighth - tenth,0.28971225015117846,0.15908380197452165,304,-0.13275623973405243,0.7121807400364093,1.821129785404411,0.34784984082999737
Midtibia,ninth - tenth,0.3003207387078159,0.16674495258224786,304,-0.1424929697845726,0.7431344472002044,1.8010784377996751,0.34784984082999737
Hindfemur,female - eighth,0.07721833330925004,0.09717941806139069,304,-0.18085471678604836,0.33529138340454845,0.7945955517089974,0.8196498756799278
Hindfemur,female - ninth,0.172743854536437,0.11024245680686837,304,-0.12001985660427741,0.46550756567715146,1.5669448916497175,0.35450360398495306
Hindfemur,female - tenth,0.5255934300812822,0.16195078695498485,304,0.095511274944237,0.9556755852183274,3.245389787623409,0.007822382607708525
Hindfemur,eighth - ninth,0.09552552122718697,0.11574060441118238,304,-0.21183926234661307,0.402890304800987,0.8253414755622072,0.8196498756799278
Hindfemur,eighth - tenth,0.4483750967720322,0.16574240743391677,304,0.008223782122387224,0.8885264114216771,2.705252709393666,0.036051270812146374
Hindfemur,ninth - tenth,0.3528495755448452,0.17372422286501718,304,-0.1084985263946816,0.814197677484372,2.031090251697413,0.17246266503895477
Hindtibia,female - eighth,0.23147669605822163,0.11115240513774842,303,-0.06370991977376178,0.5266633118902051,2.0825163051699898,0.15253570248691872
Hindtibia,female - ninth,0.30304862761106915,0.1257162074795435,303,-0.03081496980842663,0.636912225030565,2.410577233332314,0.08261289909340791
Hindtibia,female - tenth,0.5477206554498485,0.18468237486739097,303,0.05726104575126528,1.0381802651484318,2.9657440556692696,0.019557750062174764
Hindtibia,eighth - ninth,0.07157193155284752,0.13226561588803706,303,-0.2796848810778608,0.42282874418355587,0.5411227330119811,0.588820597493061
Hindtibia,eighth - tenth,0.31624395939162686,0.18920150081292075,303,-0.18621705947778155,0.8187049782610353,1.6714664420359093,0.28698591642127824
Hindtibia,ninth - tenth,0.24467202783877934,0.1981083429969448,303,-0.28144282559042405,0.7707868812679828,1.2350415138374695,0.4355437521891075
