group,emmean,SE,df,lower.CL,upper.CL,predicted_length,lower_CL,upper_CL,leg
female,3.1678066033596255,0.004367827772139174,308,3.159212046103534,3.176401160615717,23.755322327147976,23.55203070139608,23.960368684185035,Foreleg
eighth,3.2123466263722866,0.00609770100165078,308,3.200348204473992,3.2243450482705813,24.83730176014458,24.5410740212949,25.137105172707148,Foreleg
ninth,3.2747007614142674,0.004111808813496825,308,3.2666099716402024,3.2827915511883323,26.435313830962233,26.22229417480889,26.65006397543995,Foreleg
tenth,3.3065070714829354,0.005772694072265675,308,3.2951481644210645,3.3178659785448064,27.289638048654094,26.981411458965404,27.601385715464176,Foreleg
female,3.1574790112867466,0.004339398412563813,307,3.1489402846525567,3.1660177379209364,23.511249559960376,23.311348093690842,23.71286523838341,Midleg
eighth,3.1724391731208703,0.006085066979129478,307,3.160465457286185,3.1844128889555554,23.86562581205794,23.581569588369756,24.153103688317362,Midleg
ninth,3.226342745195214,0.004084289200786885,307,3.218306002387842,3.2343794880025856,25.187371682313717,24.985758495940964,25.390611710510225,Midleg
tenth,3.2529368310354467,0.0057339154106344275,307,3.2416540836174583,3.264219578453435,25.866193117373477,25.57599160749064,26.159687438640944,Midleg
female,3.6881480898423504,0.004725406041499913,306,3.6788496875204033,3.6974464921642975,39.97075612440298,39.60081455107208,40.34415360562947,Hindleg
eighth,3.61504069285488,0.006623815913084581,306,3.6020067007015144,3.628074685008246,37.15285775073491,36.671749883482995,37.64027741877809,Hindleg
ninth,3.6766054510120316,0.004445011170001783,306,3.6678587947837116,3.6853521072403517,39.512040609415614,39.16794939081904,39.859154676247975,Hindleg
tenth,3.6984788929818952,0.006239840952171668,306,3.686200466305182,3.7107573196586086,40.38582645063541,39.892983899069016,40.88475763626461,Hindleg
