leg,contrast,estimate,SE,df,t.ratio,p.value,ratio,ratio_lower,ratio_upper,percent_difference
Foreleg,female - eighth,-0.044540023012661065,0.009213150895587895,308,-4.834396344684958,4.223056117799235e-6,0.9564373198246192,0.9393211938656851,0.9738653324627374,-4.356268017538079
Foreleg,female - ninth,-0.1068941580546419,0.006701227607881172,308,-15.95142924692275,1.78220294572745e-41,0.8986207797285414,0.8868951029363162,0.9105014821780065,-10.137922027145862
Foreleg,female - tenth,-0.1387004681233098,0.006518305696163101,308,-21.278607446249975,1.175408110586346e-61,0.8704887285348065,0.8594382100771678,0.8816813327837806,-12.951127146519347
Foreleg,eighth - ninth,-0.06235413504198084,0.006341914825946416,308,-9.832067562130277,1.528666031347004e-19,0.9395501002546831,0.9279436332241834,0.9513017378236798,-6.044989974531689
Foreleg,eighth - tenth,-0.09416044511064874,0.009269152612674067,308,-10.158473923700377,1.6943108927241383e-20,0.9101367235381688,0.8937510731641909,0.9268227814263191,-8.986327646183124
Foreleg,ninth - tenth,-0.031806310068667895,0.007418534199525098,308,-4.287411665596149,2.421241486465396e-5,0.9686941902208928,0.9547109665858062,0.9828822198654128,-3.130580977910724
Midleg,female - eighth,-0.01496016183412359,0.009176591987323372,307,-1.6302524787840293,0.10407364899375635,0.9851511854376552,0.9675905350962895,1.0030305412946563,-1.484881456234477
Midleg,female - ninth,-0.0688637339084671,0.006657503737828205,307,-10.34377698012854,5.176786675131473e-21,0.933453869522627,0.9213526276632262,0.9457140516727948,-6.6546130477373016
Midleg,female - tenth,-0.09545781974870028,0.006474403558561595,307,-14.74387854962627,8.614509151308667e-37,0.9089567008671499,0.897495070850395,0.9205647037910187,-9.104329913285014
Midleg,eighth - ninth,-0.053903572074343514,0.006322314032318938,307,-8.525924495176083,2.096459498298234e-15,0.9475234698194455,0.9358544585680464,0.9593379800021565,-5.247653018055454
Midleg,eighth - tenth,-0.08049765791457669,0.009228825838594414,307,-8.722415973865296,7.019378659853074e-16,0.9226570645228875,0.906117621275547,0.9394984036571516,-7.734293547711246
Midleg,ninth - tenth,-0.026594085840233178,0.00736906496168918,307,-3.6088819922870004,7.178844153216585e-4,0.9737564228342583,0.9597931819820718,0.9879228033823256,-2.624357716574166
Hindleg,female - eighth,0.07310739698747037,0.00998496169846568,306,7.321750367725926,8.7068140156663e-12,1.0758460733377189,1.0549958909206245,1.0971083238117292,7.584607333771887
Hindleg,female - ninth,0.011542638830318643,0.007249350511115735,306,1.5922307539992484,0.22473062822313566,1.01160951213636,0.9973374626852675,1.026085796766773,1.1609512136359967
Hindleg,female - tenth,-0.01033080313954464,0.007045271736986879,306,-1.4663455896681872,0.22473062822313566,0.989722376320817,0.9761494925088123,1.0034839844792338,-1.0277623679182946
Hindleg,eighth - ninth,-0.06156475815715173,0.006884975343395751,306,-8.941899583737255,2.229984874963974e-16,0.9402920521872887,0.9276884636516116,0.9530668732543605,-5.9707947812711275
Hindleg,eighth - tenth,-0.08343820012701501,0.010042184437150582,306,-8.3087699343919,1.5901176941485122e-14,0.9199479375802242,0.9020179294989007,0.9382343523129929,-8.00520624197758
Hindleg,ninth - tenth,-0.02187344196986328,0.008020519298535068,306,-2.727185255181472,0.02026916258736257,0.9783640470428943,0.9631042093536352,0.9938656681695436,-2.163595295710574
