cat,rel.head,rel.ear,rel.size
eight,-0.169987534,-0.024655698,-0.010527205
eight,-0.107708825,-0.003577998,0.029781224
eight,-0.253972701,0.007282694,-0.049702148
eight,-0.127080708,0.004247347,0.011585174
eight,-0.221322531,0.082157747,0.019437522
eight,0.065882238,0.022486758,-0.012315692
eight,-0.191037707,0.033424064,-0.016044886
eight,-0.170267122,-0.033152128,0.039176325
eight,0.521793057,-0.010997145,0.007053959
eight,-0.077204206,-0.002114068,-0.057643583
eight,0.109512521,0.023679874,0.022156898
eight,-0.421228997,0.045246481,0.024482363
eight,0.801454419,0.032465412,-0.001401671
eight,-0.002263414,0.02488701,-0.011430096
eight,0.032913741,-0.038222379,0.025437529
eight,-0.162362808,-0.015390885,-0.029001274
eight,0.410242,0.006856772,-0.008673009
eight,0.572559324,0.014904766,-0.035282906
eight,0.220777909,0.001312195,-0.007875835
eight,-0.255382329,-0.073921316,-0.003305506
eight,-0.068811735,0.012932305,0.029187584
eight,-0.506504591,-0.109851808,0.034905234
nine,0.109440467,0.017650348,-0.020179859
nine,-0.395546389,-0.023410155,-0.050411258
nine,-0.376972127,-0.03703046,-0.024413584
nine,-0.221790528,0.052784797,-0.013024793
nine,-0.233025693,0.032345728,-0.011046325
nine,0.340993151,-0.030537969,0.006184359
nine,-0.394049366,-0.039653499,0.071816657
nine,-0.725087973,0.017428847,-0.011104826
nine,-0.05580473,-0.048046669,0.050068114
nine,-1.109585311,-0.029153663,0.044899462
nine,-1.251587048,-0.027795176,-0.011661737
nine,0.460350151,0.012186654,0.029770194
nine,-0.190744251,0.017832669,0.014321036
nine,0.281791138,0.016138674,0.01678056
nine,0.324452955,0.003834637,-0.016896417
nine,-0.375881528,0.000159352,0.041056986
nine,0.809562139,0.059831054,0.014817637
nine,0.316707072,0.044634872,-0.038912813
nine,-0.495540646,-0.005143074,-0.036871818
nine,1.716613695,0.019805758,-0.016205456
nine,-0.668043363,-0.021306097,-0.004742159
nine,0.983804179,0.043791054,-0.010054682
nine,0.778304909,0.013041493,-0.066262868
nine,0.758498559,-0.077398552,0.051335071
nine,-0.35166254,-0.031640687,0.0215436
nine,0.117029093,0.016395721,-0.000535524
nine,-0.152226014,0.003254344,-0.03026956
ten,-0.082517075,0.015509639,-0.04287826
ten,-0.127587843,-0.025423647,0.032703438
ten,-0.162696709,0.025585875,-0.036962002
ten,0.486803078,0.001484478,-0.047003075
ten,0.103931388,0.006133333,-0.00511065
ten,-0.760279334,-0.01406888,-0.0665083
ten,0.015871229,-0.111191385,0.001491114
ten,-0.114233959,-0.015680039,0.068756643
ten,0.376208393,0.037496352,-0.009068964
ten,0.289743468,0.022166357,-0.000308721
ten,-0.158782209,0.052801438,-0.007746254
ten,-0.305510017,-0.021721289,0.053665301
ten,-0.004451743,0.049000335,-0.010605771
ten,-0.100780567,0.001846667,0.037934942
ten,0.115131032,-0.019128831,0.049099004
ten,-0.029771657,-0.024518448,0.045612523
ten,-0.809542586,0.011365872,-0.049527314
ten,0.177422964,-0.011241821,0.043960757
ten,-0.263614933,0.029051127,-0.017449997
ten,0.354712362,0.001991253,-0.046008179
ten,0.062989229,0.011674499,0.015903904
ten,0.93695549,-0.023132885,-0.00995014
