ID,left_forefemur,left_foretibia,left_ear
ACGN,13.15,13.34,3.52
ACIU,12.161,12.496,2.745
AGNG,12.225,12.614,2.689
AIZJ,12.119,12.753,3.058
AKPI,13.863,14.159,2.714
AQZC,11.745,12.215,2.281
ASOK,12.169,12.996,2.566
ATEZ,12.07,12.821,2.753
AZJJ,11.261,12.455,2.712
BBRM,12.366,12.966,2.705
BCSB,11.93,12.763,2.874
BLLA,12.573,12.695,3.118
BYLH,12.856,13.384,3.476
BZCS,12.312,12.835,2.475
CAPF,14.107,14.575,3.108
CAXC,11.853,12.296,2.62
CBMA,11.877,12.855,3.384
CBRE,11.107,11.579,2.552
CCQV,12.461,14.03,3.05
CGRD,11.495,11.894,2.565
CHCF,12.835,13.063,2.975
CPWC,11.307,11.802,2.571
CTFK,14.314,14.55,3.589
CVHB,11.693,12.431,2.587
CVLU,9.467,10.207,2.114
CVQJ,11.758,11.925,2.676
CWPJ,14.005,14.053,3.452
CWRT,10.45,10.845,2.246
DESX,12.932,13.49,3.195
DFDF,12.565,12.929,2.53
DFME,11.088,12.134,2.976
DJFZ,15.157,14.827,3.629
DNHH,13.499,14.545,3.596
DOCI,12.471,13.104,2.927
DQAS,11.422,12.038,2.447
DQAV,11.189,12.067,2.283
DUFU,12.641,13.387,2.917
DYFV,13.683,15.236,3.872
EAXA,13.416,13.723,3.126
EAXN,11.303,11.863,2.375
ECHF,13.006,13.353,2.989
ECJN,13.102,,3.276
ECOO,12.722,13.689,2.971
EDIK,11.199,11.589,2.499
EFLR,12.196,12.854,2.848
EJSA,12.244,12.952,3.011
EMIY,12.644,13.15,3.294
EMMR,14.1,14.836,3.384
EWKB,11.542,11.965,2.274
EXFC,10.126,10.838,2.191
FDUO,13.656,14.079,2.969
FFVD,12.209,13.165,2.516
FHEO,12.73,13.56,3.457
FJIV,12.521,13.027,2.984
FKWM,11.757,12.383,2.91
FLUS,13.069,13.85,3.257
FRAY,11.431,12.302,2.454
FRKH,12.545,12.977,2.691
FXZS,13.223,13.705,2.908
FYEF,13.451,14.497,4.321
FZRV,12.159,12.495,3.144
GDWH,13.784,14.201,3.466
GLXO,13.618,14.085,3.607
GMLX,11.903,12.306,2.708
GRAC,12.061,13.012,2.832
GRRD,13.711,14.077,2.829
GVKA,10.181,10.935,2.141
GWYL,11.021,11.533,2.274
GXQD,12.818,13.705,2.915
GYFU,12.457,12.805,2.789
HDAF,14.276,14.242,3.389
HDAI,13.328,13.508,3.099
HDZC,14.262,14.34,3.141
HEDP,11.745,12.218,2.358
HIHW,11.684,11.796,2.285
HKWK,10.228,11.275,2.223
HNNH,12.886,13.395,3.168
HNUV,10.552,11.368,2.36
HOHH,13.123,13.532,3.7
HRBI,11.132,12.007,2.446
HTCT,12.309,12.407,2.749
HZFK,10.963,11.902,2.302
IEAL,12.415,13.732,3.777
IEJY,12.361,12.468,2.919
IEPT,14.492,14.651,3.555
IJNE,11.953,12.934,2.642
ILNB,14.879,15.042,4.16
INPV,12.94,13.424,3.539
IULK,13.364,13.959,3.477
IVIQ,11.631,12.684,3.392
IVMB,12.536,12.936,2.768
JDGM,12.79,13.249,2.644
JDYH,12.223,12.812,2.942
JHFO,12.877,13.035,3.356
JONV,13.697,14.042,3.41
JOZD,11.298,12.107,3.247
JPJS,11.029,11.382,2.529
JPJT,12.413,13.288,2.783
JRYP,11.133,11.886,2.792
JUCL,12.419,12.46,3.182
JUGA,11.871,12.74,2.916
JUJH,13.223,13.627,3.219
JUYN,11.498,11.695,2.516
JXVQ,13.12,13.995,3.187
JZEI,11.398,11.951,2.428
JZJE,11.876,12.393,2.846
KAIL,11.928,12.415,2.263
KAOK,12.535,12.851,3.092
KDQD,13.195,13.494,3.537
KECL,12.458,13.131,2.945
KEHR,11.979,13.312,3.272
KEMO,13.556,13.385,2.785
KIIU,13.76,13.928,3.449
KORY,9.458,10.97,2.431
KPNC,11.049,11.808,2.444
KSLC,12.72,13.323,3.388
KTFS,12.657,13.465,3.008
KTNC,12.129,12.468,2.965
KVWU,12.596,13.133,3.06
KWNJ,12.102,12.591,2.982
KYRB,12.974,13.092,2.776
LAZJ,12.264,12.606,2.797
LEZS,12.521,12.812,2.552
LGMD,13.191,13.427,3.265
LHWT,14.45,15.176,3.92
LIHW,12.076,12.406,2.823
LJJN,13.998,14.415,3.356
LKHO,11.717,12.664,2.456
LLJC,13.613,14.69,4.16
LMMX,11.944,12.69,2.792
LNMX,12.348,12.595,2.52
LQLO,13.074,13.518,2.96
LRRL,14.013,14.923,3.166
LRSS,13.436,13.62,3.132
LTEN,11.605,12.664,3.013
LUXM,12.76,13.601,3.15
LYTH,11.974,13.221,2.812
MAKB,13.429,13.849,3.356
MEAE,11.581,12.312,2.862
MEMQ,10.792,11.398,2.157
MJSX,10.614,11.492,2.799
MKMF,12.944,13.691,2.349
MLES,12.375,12.817,2.685
MONY,12.676,13.028,2.818
MQFA,13.457,13.812,3.727
MTZI,11.648,12.213,2.562
MUVY,13.698,14.085,3.086
MVOV,9.855,10.643,2.083
MXAY,12.438,13.164,3.547
MYTW,13.262,13.595,3.58
NACP,12.218,12.558,2.658
NAPZ,11.555,12.69,2.655
NBFT,13.542,14.187,2.99
NDWV,12.534,12.962,2.748
NFQJ,12.757,13.112,2.579
NFZB,12.322,12.895,3.193
NLMH,12.579,12.701,3.445
NMCP,13.3,13.761,3.112
NRDG,11.583,12.128,2.587
NRVV,11.344,11.967,2.445
NSFR,12.488,12.974,2.713
NUDB,12.769,13.164,2.728
NVHP,12.146,12.602,2.633
OCGB,11.554,12.653,2.821
ODLJ,11.824,12.473,2.952
OHRS,12.505,13.645,3.269
OHZZ,12.217,12.62,2.972
OLFY,12.162,12.694,2.893
ONAU,11.715,12.636,2.963
OQDA,12.287,12.464,2.721
OTIL,13.246,13.743,3.057
OVOZ,11.541,12.72,2.932
OWAU,13.124,12.768,2.338
OZHE,11.262,11.691,2.257
PAQJ,11.268,11.739,2.205
PBXK,11.2,11.885,2.387
PFPR,10.798,11.384,2.419
PIKP,13.649,14.252,3.11
PMTK,10.537,11.017,2.339
PQXQ,12.066,12.92,3.01
PTRO,11.835,11.945,2.555
PVUO,12.461,13.732,3.383
PVXU,12.643,12.861,3.056
PWML,10.058,11.11,1.935
PXBQ,11.879,12.426,2.371
PXBW,11.576,11.978,2.724
PZFT,13.491,13.855,3.441
PZMO,10.436,11.336,2.281
PZWX,12.43,12.783,3.051
QDVU,12.089,12.881,3.014
QDXY,13.884,14.056,2.98
QIIV,10.745,11.601,2.218
QMKN,12.436,13.071,3.187
QOGZ,12.476,12.644,3.131
QQJU,11.44,13.106,3.049
QRKY,11.68,12.274,2.931
QSRM,13.133,13.353,3.184
QXSG,11.979,12.836,3.001
QYFB,10.758,11.292,2.519
QZHA,11.292,12.511,2.76
RBAX,12.619,13.248,2.715
RBFY,12.899,13.267,3.13
RCMK,11.132,11.599,2.194
