ID,right_forefemur,right_foretibia,right_ear
ACGN,13.714,14.2,3.621
ACIU,12.151,12.527,3.045
AGNG,12.167,12.591,2.934
AIZJ,12.406,13.051,3.583
AKPI,12.877,13.876,3.064
AQZC,12.001,12.468,2.648
ASOK,12.3,13.144,3.162
ATEZ,12.019,12.731,3.063
AZJJ,11.016,12.292,2.698
BBRM,12.289,12.735,3.125
BCSB,12.04,12.778,3.187
BLLA,12.899,13.126,3.262
BYLH,12.821,13.09,3.411
BZCS,11.925,12.634,2.847
CAPF,13.955,14.595,3.584
CAXC,11.743,12.248,2.774
CBMA,11.853,12.761,3.475
CBRE,11.205,11.574,2.612
CCQV,12.613,13.44,3.266
CGRD,11.439,11.742,2.47
CHCF,12.001,12.543,2.854
CPWC,10.916,12.455,2.857
CTFK,14.315,14.758,3.67
CVHB,11.469,12.386,2.815
CVLU,9.415,10.765,2.568
CVQJ,11.293,11.852,2.953
CWPJ,13.8,13.921,3.482
CWRT,10.158,11.26,2.386
DESX,12.883,13.698,3.539
DFDF,12.782,13.22,2.851
DFME,10.965,11.946,2.689
DJFZ,14.841,14.998,3.898
DNHH,13.399,,
DOCI,12.329,13.026,3.228
DQAS,11.138,11.815,2.597
DQAV,11.297,12.14,2.978
DSPJ,11.523,12.122,2.831
DUFU,12.757,13.423,3.253
DYFV,13.975,15.006,4.26
EAXA,13.433,13.84,3.223
EAXN,11.179,11.806,2.75
ECHF,13.009,13.436,3.421
ECJN,13.438,13.561,3.353
ECOO,12.685,13.359,2.828
EDIK,11.17,11.779,2.64
EFLR,12.03,13.216,3.016
EJSA,12.183,13.045,3.233
EMIY,12.467,13.318,3.634
EMMR,14.306,15.358,3.691
EWKB,11.327,11.895,2.467
EXFC,9.969,10.803,2.357
FDUO,13.452,14.254,3.725
FFVD,12.086,12.794,3.035
FHEO,12.617,13.585,3.325
FJIV,12.323,12.836,2.482
FKWM,11.595,12.346,3.108
FLUS,12.693,13.359,3.608
FRAY,11.368,12.263,2.777
FRKH,12.295,13.024,2.993
FXZS,13.122,13.69,3.138
FYEF,13.292,14.791,4.292
FZRV,11.933,12.506,3.119
GDWH,13.565,14.111,3.522
GLXO,13.247,14.032,3.568
GMLX,11.718,12.457,2.866
GRAC,11.99,12.774,2.825
GRRD,13.46,14.029,2.853
GVKA,10.15,11.117,2.206
GWYL,10.807,11.814,2.463
GXQD,12.675,13.091,2.944
GYFU,12.108,12.608,3.076
